,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.626716,0.030934,0.626716,0.030934,9,0,0,0,1.9270999999999998,0,1,0,1,0.595782,3.911764705882353,16.208333333333332
1,1.129077,4.124974,1.129077,2.6384139999999996,16,9,1,4,1.9622999999999997,0,1,1,1,-1.5093369999999997,17.34873949579832,14.729166666666666
2,1.9620760000000002,5.256254,1.9620760000000002,3.7696939999999994,18,16,2,4,3.0450999999999997,1,1,1,4,-1.8076179999999997,18.518207282913167,11.617063492063492
3,3.6837560000000003,6.157502,3.6837560000000003,4.670941999999999,20,22,5,6,5.1419,2,1,1,7,-0.9871859999999997,17.888655462184875,10.825297619047618
4,5.233446000000001,7.834282,5.233446000000001,6.347721999999999,22,31,7,8,6.4366,2,2,1,8,-1.1142759999999996,19.404257703081235,10.803095238095237
5,6.064381000000001,9.394662,6.064381000000001,7.9081019999999995,27,36,7,9,7.1854000000000005,2,2,2,8,-1.8437209999999997,18.003548085901027,10.105143467643467
6,7.8714010000000005,11.008562,7.128251000000001,8.77872,32,44,8,10,8.7157,2,3,2,9,-1.6504689999999997,16.9078031212485,9.686761627728014
7,9.183951,13.120082,8.440801,10.14696,38,50,10,13,9.4718,2,3,3,9,-1.7061589999999995,15.856827731092437,9.341657165002752
8,9.721781,13.696862,8.978631,10.72374,44,56,10,13,10.7097,2,4,3,10,-1.7451089999999994,15.177262509942247,9.183695257780224
9,12.453851,15.439212,10.967421,12.46609,49,57,12,14,12.8507,3,4,3,13,-1.4986689999999994,14.35120292561469,9.40216783726536
10,12.831181,17.697832,11.344751,14.72471,52,69,13,14,13.0292,4,4,3,16,-3.3799589999999995,14.55304162068868,9.433788942968508
11,13.322571,19.094361999999997,11.836141000000001,16.12124,53,72,13,14,13.586699999999999,4,5,3,17,-4.285099,14.368065930075735,10.168473197721132
12,15.889561,21.733011999999995,14.403131000000002,18.75989,61,92,16,15,14.927,5,5,3,20,-4.356759,14.72436855083914,10.001667567127198
13,17.097371,23.337001999999995,14.867795000000003,20.363879999999998,64,105,17,16,15.9392,5,6,3,21,-5.496085000000001,14.779770797207773,9.962139588194466
14,17.2429,25.132011999999996,15.013324000000003,21.41574,66,113,17,17,16.1053,5,6,4,21,-6.4024160000000006,14.872230521838365,9.820519471504024
15,18.054688,27.413961999999998,15.825112000000003,22.95441,75,133,17,19,16.4884,5,6,5,21,-7.129298,14.495600729608082,9.877932656708936
16,19.262078,27.995793,17.032502,23.536241,79,137,18,20,18.43,5,7,5,22,-6.503739,13.967726517892006,9.923268891528918
17,20.296618,29.865482999999998,18.067042,25.405931,84,146,20,22,19.1907,5,8,5,23,-7.338889,13.709418479019217,9.71541051876721
18,20.835362,30.912632999999996,18.605786000000002,26.453080999999997,90,149,21,23,20.0351,5,9,5,24,-7.847295,13.294887681877855,9.896178386200516
19,21.753441,32.330662999999994,19.523865,27.127836999999996,99,156,23,26,20.9194,5,9,6,24,-7.603972,13.212901918473616,9.751369466890491
20,23.273131,34.95205299999999,21.043555,29.749226999999998,101,167,23,28,21.6279,5,9,7,24,-8.705672,13.29593143374299,9.75819648475786
21,23.508772,36.80665299999999,21.279196000000002,30.860546999999997,105,176,23,31,21.831500000000002,5,9,8,24,-9.581351,13.160320914027398,9.685455496216235
22,24.886022,37.49051699999999,22.656446000000003,31.544410999999997,113,177,23,33,23.8257,5,9,9,24,-8.887965,12.828133048200119,9.751926375262736
23,28.120302000000002,39.23910699999999,25.147456000000002,33.293001,117,185,25,34,26.1842,6,9,9,27,-8.145544999999998,12.799309322706932,9.77552035205103
24,29.217972000000003,39.66153599999999,26.245126000000003,33.71543,123,194,25,34,28.1901,6,10,9,28,-7.470303999999999,12.551336949798657,9.751456059708119
25,30.941762000000004,40.32290799999999,27.968916000000004,34.376802,124,197,27,34,30.411900000000003,7,10,9,31,-6.407885999999999,12.30363595600298,9.812297493309089
26,33.203272000000005,41.44324799999999,29.487156000000002,35.497142,126,204,29,37,32.66330000000001,7,10,10,31,-6.009985999999999,12.166127553592094,10.109697781081266
27,34.987202,41.89785899999999,31.271086000000004,35.951753,130,208,31,37,35.159600000000005,8,10,10,34,-4.680666999999999,12.156226172709838,10.033160955566458
28,35.231139000000006,42.959698999999986,31.515023000000003,37.01359299999999,135,218,32,39,35.68280000000001,8,10,11,34,-5.498569999999999,12.156586189742832,9.918716981729192
29,35.918302000000004,45.63918899999999,32.202186000000005,39.693082999999994,139,224,32,41,35.89110000000001,8,10,12,34,-7.490896999999999,12.389144427862515,9.923509749004886
