,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.14522,2.45697,1.14522,2.45697,3,6,1,2,0.5294000000000001,0,0,1,0,-1.3117500000000002,20.9375,5.913043478260869
1,2.82158,4.15269,2.82158,4.15269,14,9,3,4,1.8133000000000001,0,1,1,1,-1.33111,13.65922619047619,13.338874680306905
2,3.82315,6.463609999999999,3.079873,5.72046,15,26,4,8,2.2545,0,1,2,1,-2.640587,18.809854497354497,10.849104859335037
3,5.04499,6.997463999999999,3.5584320000000003,6.254314,16,32,4,9,4.3173,0,1,3,1,-2.695882,17.244890873015873,14.449328644501279
4,5.826031,8.782053999999999,4.339473,8.038904,18,33,4,10,4.9145,0,1,4,1,-3.699431,15.395912698412697,13.230051150895141
5,7.004771,9.183023999999998,5.518212999999999,8.439874,19,42,6,11,7.010300000000001,1,1,4,4,-2.9216610000000003,15.885482804232803,11.775042625745952
6,7.415227,11.273663999999998,5.928668999999999,10.530514,20,52,6,12,7.2620000000000005,1,1,5,4,-4.601845000000001,16.838350340136053,10.68112897332846
7,8.603117,11.681821999999999,7.116558999999999,10.938672,25,53,7,12,9.3155,2,1,5,7,-3.8221130000000008,16.44784226190476,10.270987851662404
8,9.576341,12.863062,7.346761999999999,12.119912000000001,26,62,8,13,10.5019,2,2,5,8,-4.773150000000001,15.744748677248676,10.304370153858645
9,11.040930999999999,14.020722,8.811352,13.277572000000001,35,67,8,15,12.142999999999999,2,2,6,8,-4.466220000000001,14.918273809523807,10.689722612156991
10,12.392900999999998,14.427532999999999,10.163321999999999,13.684383,36,70,9,16,14.565399999999999,2,3,6,9,-3.521061000000001,14.543127705627704,10.62269155217735
11,13.789430999999999,14.918923,11.559852,14.175773,39,71,9,16,16.7408,2,4,6,10,-2.615921000000001,14.852033730158729,10.765245033940351
12,14.714101,15.313441,12.484522,14.570291,42,72,10,16,18.5977,3,4,6,13,-2.085769000000001,14.448700031852203,10.5525338774834
13,16.381801,17.164911,14.152222,16.421761,47,78,14,18,19.8115,4,4,6,16,-2.269539000000001,14.867542886719903,10.366450630595489
14,17.873680999999998,18.273331,15.644102,17.530181,55,79,15,19,21.4545,4,5,6,17,-1.8860790000000007,14.166116950682165,10.612196027152281
15,18.852275999999996,19.515660999999998,16.622697,18.772510999999998,57,90,15,19,22.56,4,6,6,18,-2.1498140000000006,15.4874654104953,10.213138320909808
16,19.985225999999997,20.213184,17.755647,19.470034,66,93,16,20,24.3046,4,7,6,19,-1.7143870000000008,15.276718145452161,10.265616252497157
17,20.343687999999997,21.895794,18.114109,21.152644,67,97,16,21,24.6595,4,7,7,19,-3.0385350000000004,15.011344915149262,10.446938225397641
18,22.292767999999995,22.336669999999998,20.063188999999998,21.593519999999998,70,103,17,21,27.223300000000002,5,7,7,22,-1.5303310000000006,14.678764008683917,10.562734046351945
19,23.108238999999994,24.375999999999998,20.878659999999996,23.632849999999998,73,115,18,24,27.6492,5,7,8,22,-2.7541900000000004,14.658159141583052,10.350597344034348
20,23.530850999999995,24.867102,21.301271999999997,24.123952,75,118,20,26,28.78,5,8,8,23,-2.8226800000000005,14.28699139025226,10.213902232413664
21,24.400090999999996,26.736142,22.170512,25.992992,79,125,22,27,29.3857,6,8,8,26,-3.8224800000000005,14.209775204064321,9.929558191546377
22,26.481060999999997,26.861939,24.251482,26.118789,86,127,25,27,32.150999999999996,7,8,8,29,-1.8673070000000003,14.038698021278915,9.800209811676773
23,27.532840999999998,28.740869,25.303262,27.997719,90,131,25,30,32.900099999999995,7,8,9,29,-2.6944570000000003,13.803016976274646,9.64186773619024
24,29.044071,29.417765,26.814492,28.674615,93,135,26,31,35.04559999999999,7,9,9,30,-1.8601230000000002,13.536301702629066,9.71219302674263
25,31.308791,31.163375,29.079212000000002,30.420225,99,143,27,31,36.779399999999995,8,9,9,33,-1.3410130000000002,13.430010378402073,9.693042745494289
26,31.411502,32.523894999999996,29.181923,30.869070999999998,99,147,27,32,36.909099999999995,8,9,10,33,-1.6871480000000003,13.430287771794589,9.825184479558107
27,31.866113,34.307824999999994,29.636534,32.653000999999996,103,151,27,34,37.242999999999995,8,9,11,33,-3.0164670000000005,13.235158446611448,9.898888208462779
28,33.149163,35.100849,30.176304000000002,33.446025,107,155,29,34,39.0434,9,9,11,36,-3.2697210000000005,12.977346799819852,9.74375413230889
29,34.999953000000005,36.002976,32.027094000000005,34.348152,117,156,30,34,41.1506,10,9,11,39,-2.3210580000000007,12.860558046843401,10.21562899456526
30,35.82941400000001,36.911614,32.85655500000001,34.513512999999996,123,158,31,35,42.299499999999995,10,10,11,40,-1.6569580000000008,12.64304478916534,10.090393650654551
31,36.48064900000001,38.121034,33.50779000000001,35.722933,126,165,32,36,43.1562,10,11,11,41,-2.2151430000000008,12.828915548594832,9.991980613777478
32,37.57984900000001,39.049301,33.86371400000001,36.651199999999996,129,169,33,38,44.6844,10,11,12,41,-2.787486000000001,12.907692999503213,9.93540544366301
33,38.09770200000001,39.209736,34.38156700000001,36.811634999999995,137,170,33,39,46.316399999999994,10,11,13,41,-2.430068000000001,12.797172617164884,9.977921530053875
34,38.485439000000014,39.494127,34.76930400000001,37.096025999999995,139,174,33,39,47.665099999999995,10,12,13,42,-2.3267220000000006,12.71130101857922,10.048195200623763
35,39.77370900000001,39.792561,36.05757400000001,37.394459999999995,145,180,36,39,49.9601,11,12,13,45,-1.3368860000000007,12.530296044485896,9.910189778384215
36,40.33259100000001,42.631921,36.61645600000001,39.490539999999996,152,187,36,41,50.112199999999994,11,12,14,45,-2.8740840000000007,12.61596371895925,10.03821326609084
37,41.24928400000001,43.936600999999996,37.53314900000001,40.79521999999999,155,190,37,43,51.14569999999999,11,12,15,45,-3.2620710000000006,12.471570785777809,9.964576074877924
