,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.410646,1.39716,0.410646,1.39716,3,8,2,1,0.5298,w,2018-08-18 21:15:00,1,0,0,3,-0.9865139999999999,11.157894736842104,9.142857142857142
1,a,1.69572,1.67636,1.69572,1.67636,3,11,2,2,1.4312,d,2018-08-24 23:15:00,0,1,0,1,0.019359999999999822,20.764705882352942,6.380952380952381
2,a,1.32388,0.798059,0.5806,0.798059,1,8,1,2,1.8908000000000003,l,2018-08-31 23:00:00,0,0,1,0,-0.21745899999999996,7.55,4.774193548387097
3,h,1.47969,1.7617,1.47969,1.7617,3,9,1,2,1.1398000000000001,l,2018-09-15 14:15:00,0,0,1,0,-0.2820100000000001,12.0,9.909090909090908
4,a,0.200875,0.565773,0.200875,0.565773,4,3,1,0,0.8349,w,2018-09-21 19:00:00,1,0,0,3,-0.36489799999999994,8.818181818181818,12.1
5,h,1.23911,1.77977,1.23911,1.03675,11,5,2,2,0.9078,d,2018-09-25 19:00:00,0,1,0,1,0.20235999999999987,5.25,12.608695652173912
6,h,1.12097,0.924746,0.377694,0.924746,4,7,0,1,1.5417,l,2018-09-29 11:00:00,0,0,1,0,-0.547052,9.708333333333334,11.222222222222221
7,a,2.11494,1.18842,0.628384,1.18842,1,8,3,1,2.1776000000000004,w,2018-10-05 19:00:00,1,0,0,3,-0.560036,11.958333333333334,5.739130434782608
8,h,0.57678,0.53783,0.57678,0.53783,6,6,0,0,1.3317999999999999,d,2018-10-22 19:00:00,0,1,0,1,0.03894999999999993,7.92,9.74074074074074
9,a,0.211158,1.41243,0.211158,1.41243,2,10,0,2,0.3608,l,2018-10-27 18:45:00,0,0,1,0,-1.2012720000000001,20.214285714285715,5.9714285714285715
10,h,0.74078,0.413773,0.74078,0.413773,6,2,0,0,1.6505,d,2018-11-04 17:30:00,0,1,0,1,0.327007,10.26086956521739,9.785714285714286
11,a,1.43351,1.06813,1.43351,1.06813,9,6,3,1,1.6896000000000002,w,2018-11-09 20:00:00,1,0,0,3,0.36538000000000004,9.777777777777779,6.428571428571429
12,h,2.07409,0.545872,2.07409,0.545872,9,0,2,1,2.4944,w,2018-11-26 20:00:00,1,0,0,3,1.5282179999999999,12.625,13.285714285714286
13,a,1.39194,1.31385,1.39194,1.31385,8,4,0,1,1.3881999999999999,l,2018-12-02 11:00:00,0,0,1,0,0.07808999999999999,11.26923076923077,7.03030303030303
14,h,1.7451,1.31256,1.7451,1.31256,9,1,1,2,1.6883000000000001,l,2018-12-09 17:30:00,0,0,1,0,0.43254000000000015,6.333333333333333,12.037037037037036
15,a,0.608285,0.358274,0.608285,0.358274,7,2,0,1,1.5611000000000002,l,2018-12-15 12:00:00,0,0,1,0,0.250011,3.4782608695652173,8.952380952380953
16,h,1.06219,0.877996,1.06219,0.877996,6,1,0,1,1.4662000000000002,l,2018-12-21 20:00:00,0,0,1,0,0.18419399999999997,4.310344827586207,13.391304347826088
17,a,2.29324,2.2027,1.54996,2.2027,5,9,2,0,1.4693,w,2019-01-06 17:30:00,1,0,0,3,-0.6527400000000001,23.266666666666666,8.96875
18,h,2.68319,2.4151,1.93991,2.4151,1,5,3,2,1.5943,w,2019-01-14 20:00:00,1,0,0,3,-0.4751899999999998,9.307692307692308,5.382352941176471
19,a,1.82818,0.768424,1.82818,0.768424,13,2,2,2,2.2204,d,2019-01-20 17:30:00,0,1,0,1,1.059756,5.129032258064516,14.347826086956522
20,h,0.307366,0.549205,0.307366,0.549205,5,3,0,0,0.9639,d,2019-01-27 17:30:00,0,1,0,1,-0.24183900000000008,4.62962962962963,14.115384615384615
21,h,1.63134,1.22419,1.63134,0.30001,4,6,2,1,1.7692999999999999,w,2019-02-02 15:15:00,1,0,0,3,1.33133,10.571428571428571,6.65625
22,a,0.502054,1.62448,0.502054,1.62448,3,4,0,0,0.3594,d,2019-02-10 15:15:00,0,1,0,1,-1.122426,6.214285714285714,11.4375
23,h,1.87893,1.05178,1.87893,1.05178,4,4,3,0,2.0109000000000004,w,2019-02-16 17:30:00,1,0,0,3,0.82715,6.0,8.382352941176471
24,a,0.422429,1.09767,0.422429,1.09767,9,6,0,0,0.6861999999999999,d,2019-02-25 20:00:00,0,1,0,1,-0.675241,9.173913043478262,6.6
25,h,0.727428,2.1178,0.727428,2.1178,9,5,0,2,0.39740000000000003,l,2019-03-03 17:30:00,0,0,1,0,-1.390372,8.95,13.04
26,a,1.23303,2.88735,0.489883,2.88735,0,14,2,5,0.384,l,2019-03-10 17:30:00,0,0,1,0,-2.3974670000000002,7.5,11.333333333333334
27,h,2.68033,1.05307,2.68033,1.05307,5,4,1,1,2.4608999999999996,d,2019-03-15 20:00:00,0,1,0,1,1.6272600000000002,9.2,13.3
28,a,0.736713,1.99145,0.736713,1.99145,7,6,1,1,0.40590000000000004,d,2019-03-31 16:30:00,0,1,0,1,-1.254737,6.913043478260869,9.25
29,h,2.57254,1.42634,2.57254,1.42634,7,4,2,1,2.17,w,2019-04-04 20:30:00,1,0,0,3,1.1462,13.37037037037037,6.72
30,a,1.24845,3.30598,0.505174,2.56271,1,3,1,3,0.2248,l,2019-04-07 17:30:00,0,0,1,0,-2.057536,16.5,6.125
31,h,0.293383,0.99834,0.293383,0.99834,0,5,1,1,0.6534,d,2019-04-14 15:15:00,0,1,0,1,-0.7049570000000001,13.45,4.166666666666667
32,a,0.883156,1.2673,0.883156,1.2673,3,8,1,2,1.0083000000000002,l,2019-04-20 19:45:00,0,0,1,0,-0.38414400000000004,16.529411764705884,11.033333333333333
33,h,0.843995,1.06313,0.843995,1.06313,6,3,0,1,1.1107,l,2019-04-25 19:30:00,0,0,1,0,-0.21913499999999986,6.958333333333333,13.633333333333333
34,h,2.18907,0.470273,1.4458,0.470273,6,8,2,1,2.6163000000000003,w,2019-04-28 15:15:00,1,0,0,3,0.975527,5.913043478260869,7.535714285714286
35,a,0.746692,0.684194,0.746692,0.684194,1,8,1,0,1.4033,w,2019-05-04 17:30:00,1,0,0,3,0.062498000000000054,6.92,8.96
36,h,2.53737,0.901711,1.7941,0.901711,8,6,3,1,2.5174999999999996,w,2019-05-12 17:30:00,1,0,0,3,0.892389,12.521739130434783,11.392857142857142
37,a,0.318551,1.06125,0.318551,1.06125,5,4,0,2,0.6148,l,2019-05-18 14:15:00,0,0,1,0,-0.742699,5.44,9.692307692307692
