,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.030934,0.626716,0.030934,0.626716,0,9,0,0,0.5582,d,2018-08-17 21:15:00,0,1,0,1,-0.595782,16.208333333333332,3.911764705882353
1,h,0.510742,1.20392,0.510742,1.20392,4,15,0,1,0.7070000000000001,l,2018-08-25 23:15:00,0,0,1,0,-0.6931780000000001,21.066666666666666,10.1875
2,a,1.09505,1.0807,1.09505,1.0807,0,6,0,0,1.3508,d,2018-08-31 21:00:00,0,1,0,1,0.014350000000000085,7.458333333333333,4.54054054054054
3,h,1.10397,0.848478,1.10397,0.848478,2,3,0,1,1.5283,l,2018-09-16 16:30:00,0,0,1,0,0.25549199999999994,12.6,19.866666666666667
4,a,2.16098,2.13067,2.16098,2.13067,7,7,3,3,1.4016000000000002,d,2018-09-22 14:15:00,0,1,0,1,0.03031000000000006,9.62962962962963,11.181818181818182
5,h,1.25362,1.09992,1.25362,1.09992,5,3,2,1,1.4475,w,2018-09-27 18:00:00,1,0,0,3,0.15369999999999995,3.5757575757575757,11.65
6,a,0.848198,2.90806,0.848198,2.15121,2,7,1,0,0.22849999999999998,w,2018-09-30 14:15:00,1,0,0,3,-1.3030119999999998,22.076923076923077,6.9655172413793105
7,h,0.927264,0.800191,0.927264,0.800191,3,7,1,0,1.4469999999999998,w,2018-10-07 10:00:00,1,0,0,3,0.127073,15.764705882352942,10.31578947368421
8,a,0.501587,0.820674,0.501587,0.820674,4,6,1,0,1.0133,w,2018-10-21 18:45:00,1,0,0,3,-0.319087,23.083333333333332,6.4375
9,h,1.2412,0.508367,1.2412,0.508367,7,7,1,1,1.9856999999999998,d,2018-10-26 19:00:00,0,1,0,1,0.7328330000000001,11.19047619047619,9.923076923076923
10,a,1.1095,1.93382,1.1095,1.19067,3,5,0,2,0.7335,l,2018-11-03 15:15:00,0,0,1,0,-0.08116999999999996,21.615384615384617,7.848484848484849
11,h,0.407826,1.21893,0.407826,1.21893,3,3,0,0,0.6228,d,2018-11-10 12:00:00,0,1,0,1,-0.811104,10.722222222222221,7.03125
12,a,0.53321,1.40358,0.53321,1.40358,1,10,0,1,0.6154,l,2018-11-25 15:15:00,0,0,1,0,-0.8703700000000001,9.185185185185185,11.909090909090908
13,h,1.85147,1.6677,1.85147,1.6677,6,5,2,4,1.4958,l,2018-12-01 15:15:00,0,0,1,0,0.18377,7.947368421052632,20.3125
14,a,1.31256,1.7451,1.31256,1.7451,1,9,2,1,1.0442,w,2018-12-09 17:30:00,1,0,0,3,-0.43254000000000015,12.037037037037036,6.333333333333333
15,h,0.691151,1.94316,0.691151,1.19988,2,5,2,3,0.42790000000000006,l,2018-12-15 15:15:00,0,0,1,0,-0.5087290000000001,6.1875,10.6
16,a,0.59208,1.14498,0.59208,0.401699,3,3,1,1,0.7059,d,2018-12-22 19:45:00,0,1,0,1,0.19038100000000008,14.76923076923077,10.03225806451613
17,h,1.7931,1.02768,1.04983,1.02768,15,3,0,1,2.0192,l,2019-01-05 12:00:00,0,0,1,0,0.022150000000000114,4.770833333333333,6.696969696969697
18,a,0.167732,3.62567,0.167732,2.76929,1,16,1,1,0.009,d,2019-01-12 15:15:00,0,1,0,1,-2.601558,11.153846153846153,5.931034482758621
19,a,1.49778,1.42912,1.49778,1.42912,3,7,0,2,1.4326999999999999,l,2019-01-20 17:30:00,0,0,1,0,0.06865999999999994,4.84375,10.941176470588236
20,h,1.95805,0.902965,1.95805,0.902965,6,2,2,1,2.1522,w,2019-01-27 11:00:00,1,0,0,3,1.055085,7.333333333333333,4.92
21,a,0.546436,1.97934,0.546436,1.97934,2,4,0,4,0.36360000000000003,l,2019-02-01 20:00:00,0,0,1,0,-1.4329040000000002,7.55,8.64
22,h,0.504205,1.32176,0.504205,1.32176,3,4,0,0,0.6264000000000001,d,2019-02-08 20:00:00,0,1,0,1,-0.817555,8.555555555555555,6.869565217391305
23,a,0.306817,3.7496,0.306817,2.25759,2,14,0,1,0.023,l,2019-02-16 19:45:00,0,0,1,0,-1.9507729999999999,13.2,9.6
24,h,0.586609,0.826265,0.586609,0.826265,2,3,0,2,1.0173,l,2019-02-24 17:30:00,0,0,1,0,-0.23965599999999998,10.307692307692308,39.8
25,a,1.44858,2.93379,0.705297,2.93379,7,13,1,3,0.49029999999999996,l,2019-03-02 12:00:00,0,0,1,0,-2.2284930000000003,12.0,15.615384615384615
26,h,2.02975,2.61033,1.28647,1.86705,4,9,1,4,0.9535,l,2019-03-10 19:45:00,0,0,1,0,-0.5805800000000001,9.89655172413793,8.227272727272727
27,a,2.20799,1.64354,1.46471,1.64354,5,6,2,1,1.8115999999999999,w,2019-03-17 11:00:00,1,0,0,3,-0.17883000000000004,8.9,7.380952380952381
28,h,1.99145,0.736713,1.99145,0.736713,6,7,1,1,2.4126000000000003,d,2019-03-31 16:30:00,0,1,0,1,1.254737,9.25,6.913043478260869
29,a,0.902127,1.85079,0.902127,1.85079,1,10,0,1,0.6453,l,2019-04-04 19:30:00,0,0,1,0,-0.9486629999999999,23.9,9.473684210526315
30,h,1.33089,2.24314,1.33089,2.24314,4,5,0,2,0.6695000000000001,l,2019-04-07 15:15:00,0,0,1,0,-0.91225,11.153846153846153,7.833333333333333
31,h,1.39618,1.36776,0.652905,0.628128,3,1,2,2,1.3487,d,2019-04-14 11:00:00,0,1,0,1,0.024776999999999938,2.9310344827586206,8.125
32,a,1.87763,0.698942,1.13436,0.698942,5,0,2,2,2.3379000000000003,d,2019-04-19 20:00:00,0,1,0,1,0.4354180000000001,5.2,10.35
33,h,0.939017,0.313348,0.939017,0.313348,4,3,1,0,1.9406,w,2019-04-23 19:30:00,1,0,0,3,0.625669,9.52,8.392857142857142
34,a,0.584597,0.510006,0.584597,0.510006,1,11,0,1,1.3369,l,2019-04-27 15:15:00,0,0,1,0,0.07459100000000007,12.0,5.875
35,h,1.16372,1.34312,1.16372,1.34312,4,4,1,0,1.1942,w,2019-05-05 17:30:00,1,0,0,3,-0.1794,12.578947368421053,4.36
36,a,1.48157,1.86651,0.73842,1.86651,2,5,2,1,1.0398,w,2019-05-12 17:30:00,1,0,0,3,-1.1280899999999998,14.090909090909092,3.1153846153846154
37,h,0.755975,1.58197,0.755975,1.58197,6,6,0,2,0.662,l,2019-05-18 14:15:00,0,0,1,0,-0.8259950000000001,10.875,15.6
