,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.39716,0.410646,1.39716,0.410646,8,3,1,2,2.2155,0,0,1,0,0.9865139999999999,9.142857142857142,11.157894736842104
1,2.0685890000000002,2.382256,2.0685890000000002,2.382256,11,14,1,2,2.6958,0,1,1,1,-0.31366700000000014,9.12912087912088,13.766447368421051
2,3.1998690000000005,3.215255,3.1998690000000005,3.215255,18,16,1,3,4.290100000000001,0,1,2,1,-0.015386000000000122,7.883699633699634,16.13001253132832
3,3.7337230000000003,4.437095,3.7337230000000003,3.693814,24,17,2,3,4.943200000000001,1,1,2,4,0.03990899999999992,12.225274725274726,15.235009398496238
4,4.2142170000000005,4.813287,4.2142170000000005,4.070006,30,22,2,3,6.311900000000001,1,2,2,5,0.14421099999999987,11.892219780219781,14.769825700615172
5,6.666267,5.567576,6.666267,4.824295,34,32,5,3,8.881100000000002,2,2,2,8,1.8419719999999997,13.024218237902451,13.741521417179309
6,9.574327,6.415774,8.817477,5.672493,41,34,5,4,11.544700000000002,2,2,3,8,3.1449839999999996,12.15868952411343,14.93229308285699
7,11.168517,9.161923999999999,10.411667,8.418643,45,44,6,7,12.227900000000002,2,2,4,8,1.9930239999999995,12.476353333599253,13.969923114166534
8,13.030847,10.785594,12.273997,10.042313,59,53,7,8,13.746900000000002,2,3,4,9,2.2316839999999996,11.927128889125262,14.065857582962844
9,14.122447,12.761534,13.365597,12.018253,65,62,8,10,14.441800000000002,2,3,5,9,1.3473439999999994,11.674416000212736,13.688438491333226
10,15.229887,13.523444999999999,14.473037,12.780164,77,68,9,11,16.0468,2,4,5,10,1.6928729999999994,10.980694387545174,14.360701658787782
11,16.091531,15.878815,15.334681,15.135534,82,76,11,13,16.386400000000002,2,5,5,11,0.1991469999999993,10.739247633027523,13.997309853888801
12,17.300781,16.870166,16.543931,16.126885,86,88,13,14,17.9251,3,5,5,14,0.41704599999999925,11.07839382649834,13.675838466526725
13,18.242196,17.868386,17.485346,17.125105,93,94,13,16,19.223100000000002,3,5,6,14,0.36024099999999926,11.3243470624938,13.497129507737549
14,19.983976,20.350396,19.227126,19.607115,102,102,15,19,20.119500000000002,3,5,7,14,-0.37998900000000047,11.186674542278164,13.463987540555046
15,21.632816,24.343306,20.132687999999998,22.113855,107,114,17,21,20.3379,3,6,7,15,-1.9811670000000006,11.843757383385778,13.099988319270354
16,22.651956,25.742486,21.151828,23.513035000000002,118,118,19,23,21.3714,3,7,7,16,-2.3612070000000007,12.428799518728411,13.126459594607393
17,23.702845999999997,27.762656,22.202717999999997,25.533205000000002,127,130,19,23,22.032500000000002,3,8,7,17,-3.3304870000000006,12.067675735941911,12.828322950462537
18,26.619795999999997,28.60821,24.376398,26.378759000000002,135,136,20,25,24.7098,3,8,8,17,-2.0023610000000005,11.653182681013794,12.81242783672628
19,27.682215999999997,29.072136999999998,25.438817999999998,26.842686,139,144,21,26,26.7936,3,9,8,18,-1.4038680000000006,11.538944599594682,12.567639778223299
20,28.610970999999996,30.705346999999996,26.367572999999997,28.475896,145,153,21,29,27.634400000000003,3,9,9,18,-2.1083230000000004,11.628568791593935,12.598580327086372
21,31.413850999999994,32.052066999999994,28.427172999999996,29.822616,156,164,23,31,30.052500000000002,3,10,9,19,-1.3954430000000002,11.373861119248756,12.265428074456572
22,32.73561099999999,32.55627199999999,29.748932999999997,30.326821,160,167,23,31,32.1513,3,11,9,20,-0.5778880000000002,11.178022166994083,12.104129269286963
23,34.58947099999999,35.05013199999999,31.602793,32.820681,164,179,26,31,33.1579,4,11,9,23,-1.2178880000000003,11.28727124336933,11.992647692590483
24,36.00187099999999,36.75732199999999,33.015193,34.527871,172,184,26,33,34.280699999999996,4,11,10,23,-1.5126780000000002,11.422447060301224,12.197647667239805
25,37.20881099999999,38.07092199999999,33.478854999999996,35.841471,180,186,27,35,35.5213,4,11,11,23,-2.362616,11.223506788751177,12.190045833884428
26,38.19144799999999,39.19789199999999,34.46149199999999,36.968441,184,194,29,35,36.7551,5,11,11,26,-2.506949,11.054734932377677,12.085784877073893
27,40.86704799999999,39.379392999999986,37.137091999999996,37.149941999999996,186,197,32,36,39.6307,6,11,11,29,-0.012849999999999806,10.846013196070956,12.01129256003554
28,43.44796799999999,41.271132999999985,39.718011999999995,38.298412,196,206,34,39,41.5252,6,11,12,29,1.4196,11.134574317388706,11.821247988999833
