,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.68416,0.859231,0.68416,0.859231,3,3,1,0,1.1599,w,2019-08-18 16:00:00,1,0,0,3,-0.17507099999999998,13.15,4.913043478260869
1,h,0.675919,0.159461,0.675919,0.159461,5,1,0,0,1.8239,d,2019-08-25 16:00:00,0,1,0,1,0.5164580000000001,14.851851851851851,8.722222222222221
2,a,1.01227,0.972134,1.01227,0.972134,3,7,1,1,1.4427,d,2019-08-31 18:00:00,0,1,0,1,0.04013599999999995,11.625,5.583333333333333
3,h,0.773661,1.091,0.773661,1.091,1,13,0,1,1.0984999999999998,l,2019-09-15 12:00:00,0,0,1,0,-0.3173389999999999,11.166666666666666,8.8
4,a,0.522331,1.9352,0.522331,1.19192,1,5,0,2,0.3024,l,2019-09-22 16:30:00,0,0,1,0,-0.6695890000000001,10.533333333333333,9.136363636363637
5,a,0.195935,3.80899,0.195935,2.32244,1,11,0,3,0.0177,l,2019-09-26 19:00:00,0,0,1,0,-2.126505,12.636363636363637,9.26086956521739
6,h,1.84115,0.16946,1.09826,0.16946,6,2,2,0,2.7487000000000004,w,2019-09-29 14:00:00,1,0,0,3,0.9288000000000001,7.818181818181818,11.26086956521739
7,a,1.4742,1.7079,1.4742,0.964748,5,0,1,2,1.1629,l,2019-10-05 17:30:00,0,0,1,0,0.5094519999999999,14.904761904761905,18.1
8,h,2.08309,1.1334,2.08309,1.1334,8,7,2,0,2.0955,w,2019-10-20 11:00:00,1,0,0,3,0.9496899999999999,9.777777777777779,9.38888888888889
9,a,0.591294,2.56098,0.591294,2.56098,1,5,1,4,0.2293,l,2019-10-25 20:00:00,0,0,1,0,-1.9696859999999998,13.2,7.3
10,h,0.442747,1.72516,0.442747,1.72516,2,6,1,1,0.3769,d,2019-10-29 18:00:00,0,1,0,1,-1.282413,7.230769230769231,5.258064516129032
11,a,1.45796,3.87668,0.714682,2.39012,6,8,2,4,0.18480000000000002,l,2019-11-03 15:00:00,0,0,1,0,-1.675438,7.851851851851852,6.285714285714286
12,h,2.8505,0.280826,2.10722,0.280826,7,2,3,0,2.9306,w,2019-11-09 12:00:00,1,0,0,3,1.8263939999999999,7.962962962962963,7.761904761904762
13,a,1.47648,1.61983,1.47648,1.61983,6,5,2,0,1.2653,w,2019-11-24 15:00:00,1,0,0,3,-0.1433500000000001,9.1875,4.333333333333333
14,h,1.10771,2.08673,0.36443,2.08673,2,9,1,2,0.5146999999999999,l,2019-11-30 12:00:00,0,0,1,0,-1.7223000000000002,17.666666666666668,7.6
15,a,0.37368,2.63161,0.37368,1.88833,2,4,0,3,0.1051,l,2019-12-07 15:00:00,0,0,1,0,-1.51465,9.588235294117647,7.0
16,h,1.56275,0.915597,1.56275,0.915597,4,4,1,1,1.9415,d,2019-12-13 20:00:00,0,1,0,1,0.6471530000000001,3.607142857142857,14.26086956521739
17,a,0.432162,1.43229,0.432162,0.689009,0,12,1,4,0.4551,l,2019-12-21 15:00:00,0,0,1,0,-0.256847,21.952380952380953,6.642857142857143
18,h,0.304027,2.02653,0.304027,1.28338,1,7,1,1,0.17709999999999998,d,2020-01-05 15:00:00,0,1,0,1,-0.9793529999999999,8.432432432432432,5.666666666666667
19,a,1.73657,1.16982,1.73657,1.16982,7,7,1,0,1.7933,w,2020-01-18 12:00:00,1,0,0,3,0.5667499999999999,6.9375,6.5
