,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.68416,0.859231,0.68416,0.859231,3,3,1,0,1.1599,1,0,0,3,-0.17507099999999998,13.15,4.913043478260869
1,1.360079,1.018692,1.360079,1.018692,8,4,1,0,2.9838,1,1,0,4,0.3413870000000001,14.000925925925927,6.817632850241545
2,2.372349,1.990826,2.372349,1.990826,11,11,2,1,4.4265,1,2,0,5,0.38152300000000006,13.208950617283952,6.406199677938808
3,3.14601,3.081826,3.14601,3.081826,12,24,2,2,5.5249999999999995,1,2,1,5,0.06418400000000013,12.69837962962963,7.004649758454106
4,3.668341,5.0170259999999995,3.668341,4.273746,13,29,2,4,5.827399999999999,1,2,2,5,-0.605405,12.26537037037037,7.430992534036013
5,3.864276,8.826016,3.864276,6.596185999999999,14,40,2,7,5.845099999999999,1,2,3,5,-2.73191,12.327202581369248,7.735972039232909
6,5.705426,8.995476,4.962536,6.765645999999999,20,42,4,7,8.593799999999998,2,2,3,8,-1.80311,11.683056758056756,8.239528828659264
7,7.179626,10.703376,6.436736,7.7303939999999995,25,42,5,9,9.756699999999999,2,2,4,8,-1.2936580000000002,12.085769901394901,9.472087725076856
8,9.262716,11.836776,8.519826,8.863793999999999,33,49,7,9,11.852199999999998,3,2,4,11,-0.3439680000000003,11.82932633210411,9.46284340994486
9,9.854009999999999,14.397756000000001,9.11112,11.424774,34,54,8,13,12.081499999999998,3,2,5,11,-2.313654,11.966393698893699,9.246559068950372
10,10.296757,16.122916,9.553867,13.149934,36,60,9,14,12.458399999999997,3,3,5,12,-3.596067,11.535882383609655,8.883968655057522
11,11.754717,19.999596,10.268549,15.540054,42,68,11,18,12.643199999999997,3,3,6,12,-5.271505,11.228879839296505,8.667447457612253
12,14.605217,20.280422,12.375769,15.820879999999999,49,70,14,18,15.573799999999997,4,3,6,15,-3.4451110000000007,10.977655464193926,8.597790327173216
13,16.081697,21.900252000000002,13.852249,17.44071,55,75,16,18,16.8391,5,3,6,18,-3.5884610000000006,10.849787216751503,8.293186256184653
14,17.189407,23.986982,14.216679000000001,19.52744,57,84,17,20,17.3538,5,3,7,18,-5.310761000000001,11.304245846745847,8.246973839105674
15,17.563087,26.618592,14.590359000000001,21.41577,59,88,17,23,17.4589,5,3,8,18,-6.825411000000001,11.196995187206584,8.16903797416157
16,19.125837,27.534188999999998,16.153109,22.331367,63,92,18,24,19.4004,5,4,8,19,-6.1782580000000005,10.750533285438129,8.527381008929561
