,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.333556,2.44678,0.333556,1.7035,2,5,0,1,0.0974,l,2019-08-18 21:00:00,0,0,1,0,-1.369944,11.571428571428571,6.894736842105263
1,h,0.265811,0.454246,0.265811,0.454246,4,2,1,1,0.9780000000000001,d,2019-08-24 20:00:00,0,1,0,1,-0.18843499999999996,7.0,5.421052631578948
2,h,0.972134,1.01227,0.972134,1.01227,7,3,1,1,1.1427,d,2019-08-31 18:00:00,0,1,0,1,-0.04013599999999995,5.583333333333333,11.625
3,a,1.49492,1.00209,0.751644,0.258813,8,1,1,1,1.7656999999999998,d,2019-09-15 19:00:00,0,1,0,1,0.49283099999999996,6.153846153846154,6.153846153846154
4,h,2.70951,0.726341,1.96624,0.726341,13,1,4,2,2.6895,w,2019-09-22 10:00:00,1,0,0,3,1.2398989999999999,6.85,5.166666666666667
5,a,2.65542,1.67819,2.65542,1.67819,8,4,3,3,2.0606999999999998,d,2019-09-25 18:00:00,0,1,0,1,0.9772299999999998,7.2368421052631575,5.0
6,h,1.0808,1.3084,1.0808,1.3084,7,3,0,2,1.1536,l,2019-09-28 14:00:00,0,0,1,0,-0.22760000000000002,7.970588235294118,5.65
7,a,0.86893,0.770489,0.86893,0.770489,3,2,2,1,1.4018,w,2019-10-06 17:30:00,1,0,0,3,0.098441,6.208333333333333,4.476190476190476
8,h,1.0435,0.372249,1.0435,0.372249,1,5,2,0,2.0715,w,2019-10-19 17:30:00,1,0,0,3,0.671251,4.194444444444445,5.7272727272727275
9,a,0.62652,2.14059,0.62652,2.14059,4,4,0,2,0.2742,l,2019-10-27 17:30:00,0,0,1,0,-1.51407,7.675675675675675,3.857142857142857
10,h,1.1273,1.91693,1.1273,1.91693,2,3,3,1,0.6429,w,2019-10-31 20:15:00,1,0,0,3,-0.78963,7.541666666666667,7.352941176470588
11,a,0.389551,0.133684,0.389551,0.133684,5,3,1,0,1.5154,w,2019-11-03 17:30:00,1,0,0,3,0.25586699999999996,7.3125,7.75
12,h,1.06639,0.065756,1.06639,0.065756,2,2,0,0,2.4371,d,2019-11-10 17:30:00,0,1,0,1,1.000634,4.62962962962963,7.9411764705882355
13,a,0.773228,1.12432,0.773228,1.12432,2,0,1,1,0.9652999999999999,d,2019-11-24 11:00:00,0,1,0,1,-0.35109199999999996,7.615384615384615,3.129032258064516
14,h,2.05726,0.476355,1.31411,0.476355,5,2,4,0,2.5875,w,2019-12-01 17:30:00,1,0,0,3,0.8377549999999999,6.666666666666667,5.785714285714286
15,a,0.913932,0.267821,0.913932,0.267821,2,4,1,0,2.0262,w,2019-12-08 11:00:00,1,0,0,3,0.646111,5.8,3.5
16,h,1.88065,0.435816,1.88065,0.435816,9,1,2,0,2.5168,w,2019-12-15 11:00:00,1,0,0,3,1.444834,5.973684210526316,7.555555555555555
17,a,0.646333,2.63083,0.646333,2.63083,0,5,0,1,0.16599999999999998,l,2019-12-21 17:30:00,0,0,1,0,-1.984497,11.96,7.142857142857143
18,h,1.26627,2.09016,1.26627,2.09016,3,3,0,3,0.7852,l,2020-01-04 15:00:00,0,0,1,0,-0.82389,8.225806451612904,6.875
19,a,1.96098,0.280841,1.96098,0.280841,3,3,3,0,2.7059,w,2020-01-17 20:00:00,1,0,0,3,1.680139,7.481481481481482,3.5454545454545454
20,h,1.45193,1.33797,0.708651,1.33797,4,4,1,0,1.4684,w,2020-01-26 15:00:00,1,0,0,3,-0.6293190000000001,10.409090909090908,7.444444444444445
21,a,2.25172,0.734487,1.50845,0.734487,3,6,2,0,2.4957000000000003,w,2020-02-02 15:00:00,1,0,0,3,0.7739630000000001,12.23076923076923,5.818181818181818
22,h,3.27894,0.257146,3.27894,0.257146,16,3,3,0,2.9334,w,2020-02-08 15:00:00,1,0,0,3,3.021794,7.310344827586207,7.444444444444445
23,a,1.18616,1.87978,1.18616,1.87978,3,5,1,2,0.8564,l,2020-02-15 15:00:00,0,0,1,0,-0.6936199999999999,7.762711864406779,5.357142857142857
24,h,0.460518,2.82001,0.460518,2.82001,4,7,0,3,0.0685,l,2020-02-23 17:30:00,0,0,1,0,-2.359492,6.074074074074074,4.888888888888889
25,a,0.913015,0.0726554,0.913015,0.0726554,2,1,1,0,2.2016,w,2020-03-01 17:30:00,1,0,0,3,0.8403596,4.340909090909091,6.380952380952381
26,h,1.15002,0.156144,1.15002,0.156144,4,1,0,0,2.2872,d,2020-03-07 20:00:00,0,1,0,1,0.993876,5.138888888888889,9.31578947368421
27,a,0.786113,2.17942,0.786113,2.17942,5,1,1,2,0.2992,l,2020-06-12 17:30:00,0,0,1,0,-1.393307,6.125,3.869565217391304
28,h,2.00352,0.786529,2.00352,0.786529,10,4,0,0,2.2688,d,2020-06-16 17:30:00,0,1,0,1,1.216991,5.2,11.25
29,h,0.820376,0.816384,0.820376,0.816384,5,3,1,1,1.3092,d,2020-06-20 17:30:00,0,1,0,1,0.0039919999999999956,3.85,6.176470588235294
30,a,0.675045,1.08861,0.675045,0.345592,5,2,1,1,0.8525,d,2020-06-23 17:30:00,0,1,0,1,0.329453,5.333333333333333,11.416666666666666
31,h,1.3901,0.731053,0.647472,0.731053,2,5,2,1,1.9838,w,2020-06-29 20:00:00,1,0,0,3,-0.0835809999999999,6.774193548387097,7.214285714285714
32,a,0.35097,1.75594,0.35097,1.01267,1,3,0,1,0.2781,l,2020-07-02 20:00:00,0,0,1,0,-0.6617,8.022222222222222,4.2727272727272725
33,a,0.293418,0.667423,0.293418,0.667423,1,3,0,0,0.8099000000000001,d,2020-07-05 17:30:00,0,1,0,1,-0.374005,4.114285714285714,5.625
34,h,0.580238,1.95451,0.580238,0.467957,2,2,1,3,0.2968,l,2020-07-08 18:30:00,0,0,1,0,0.11228100000000002,8.0,6.2
35,a,0.596646,0.118514,0.596646,0.118514,8,2,0,0,1.7843,d,2020-07-13 17:30:00,0,1,0,1,0.478132,4.178571428571429,3.607142857142857
36,h,1.13873,1.74341,1.13873,1.74341,3,8,0,2,0.8652,l,2020-07-16 19:00:00,0,0,1,0,-0.6046799999999999,10.5,6.473684210526316
37,a,1.73078,2.58924,0.885053,2.58924,8,3,0,1,0.7454,l,2020-07-19 19:00:00,0,0,1,0,-1.7041870000000001,7.212121212121212,6.176470588235294
