,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.96668,1.93202,1.2234,1.18874,2,6,4,4,1.3907,d,2019-08-17 20:00:00,0,1,0,1,0.034660000000000135,12.826086956521738,8.434782608695652
1,h,0.428332,1.39211,0.428332,1.39211,6,3,0,1,0.48840000000000006,l,2019-08-23 19:00:00,0,0,1,0,-0.963778,11.333333333333334,7.541666666666667
2,a,1.58505,1.34324,1.58505,1.34324,4,10,3,0,1.5623,w,2019-09-01 18:00:00,1,0,0,3,0.24181000000000008,14.75,15.777777777777779
3,a,1.1436,0.233721,1.1436,0.233721,2,2,2,0,2.2676000000000003,w,2019-09-15 14:00:00,1,0,0,3,0.9098789999999999,6.5,13.933333333333334
4,h,1.87283,0.557709,1.12955,0.557709,2,10,2,0,2.5958999999999994,w,2019-09-21 19:00:00,1,0,0,3,0.571841,14.73076923076923,5.2727272727272725
5,a,0.650478,1.26726,0.650478,1.26726,3,2,1,1,0.7126,d,2019-09-24 17:00:00,0,1,0,1,-0.616782,7.461538461538462,10.090909090909092
6,h,0.718298,0.989332,0.718298,0.989332,6,2,1,0,1.0867,w,2019-09-28 16:30:00,1,0,0,3,-0.271034,7.2,7.4
7,a,1.6065,2.7833,0.863224,2.7833,3,6,2,4,0.5997,l,2019-10-05 15:00:00,0,0,1,0,-1.9200760000000001,9.2,8.3
8,h,0.360979,0.658856,0.360979,0.658856,4,3,1,0,0.9553,w,2019-10-18 20:00:00,1,0,0,3,-0.297877,8.11111111111111,7.7894736842105265
9,h,1.61831,0.683829,1.61831,0.683829,5,5,1,0,2.144,w,2019-10-27 13:00:00,1,0,0,3,0.9344809999999999,20.72222222222222,14.909090909090908
10,a,1.91693,1.1273,1.91693,1.1273,3,2,1,3,2.0904000000000003,l,2019-10-31 20:15:00,0,0,1,0,0.78963,7.352941176470588,7.541666666666667
11,h,0.163677,1.02564,0.163677,1.02564,1,5,1,2,0.4847,l,2019-11-03 20:00:00,0,0,1,0,-0.8619630000000001,14.25,5.333333333333333
12,a,0.417522,1.04627,0.417522,1.04627,2,7,0,2,0.7316,l,2019-11-09 15:00:00,0,0,1,0,-0.6287480000000001,15.615384615384615,8.4
13,h,0.669993,2.0596,0.669993,2.0596,1,10,1,1,0.4293,d,2019-11-23 17:30:00,0,1,0,1,-1.3896070000000003,11.5,6.2
14,a,0.233324,1.82466,0.233324,1.08138,2,1,0,2,0.19080000000000003,l,2019-12-01 13:00:00,0,0,1,0,-0.848056,9.68,5.814814814814815
15,h,2.63161,0.37368,1.88833,0.37368,4,2,3,0,2.8297,w,2019-12-07 15:00:00,1,0,0,3,1.51465,7.0,9.588235294117647
16,h,1.21053,0.917727,1.21053,0.917727,4,8,1,2,1.5738999999999999,l,2019-12-14 12:00:00,0,0,1,0,0.29280300000000015,7.0,5.857142857142857
17,a,1.72232,2.55405,1.72232,2.55405,3,12,0,3,0.8536999999999999,l,2019-12-20 20:00:00,0,0,1,0,-0.8317300000000001,4.0,5.363636363636363
18,h,1.38848,0.78276,1.38848,0.78276,7,4,1,0,1.95,w,2020-01-05 11:00:00,1,0,0,3,0.6057199999999999,6.705882352941177,12.384615384615385
19,a,0.187953,1.43259,0.187953,1.43259,0,16,0,1,0.3532,l,2020-01-19 20:00:00,0,0,1,0,-1.244637,22.583333333333332,3.5
20,a,0.475664,0.807577,0.475664,0.807577,1,7,0,2,0.9804999999999999,l,2020-01-25 20:00:00,0,0,1,0,-0.331913,7.45,8.590909090909092
21,h,0.875651,2.69997,0.875651,1.9567,4,3,2,1,0.2645,w,2020-02-01 12:00:00,1,0,0,3,-1.0810490000000001,5.548387096774194,5.833333333333333
22,a,0.89501,0.92576,0.89501,0.92576,3,6,0,1,1.2937,l,2020-02-08 20:00:00,0,0,1,0,-0.030750000000000055,5.4324324324324325,6.366666666666666
23,h,2.13521,0.638079,2.13521,0.638079,2,3,2,1,2.4837,w,2020-02-15 20:00:00,1,0,0,3,1.497131,5.516129032258065,9.863636363636363
24,a,1.68194,0.783825,1.68194,0.783825,3,7,3,0,2.1163,w,2020-02-23 11:00:00,1,0,0,3,0.898115,8.615384615384615,3.269230769230769
25,h,0.918043,0.27654,0.918043,0.27654,2,3,0,0,1.9554999999999998,d,2020-02-29 20:00:00,0,1,0,1,0.641503,13.4,5.32
26,a,1.22846,1.06858,1.22846,1.06858,5,10,1,1,1.4924,d,2020-03-08 15:00:00,0,1,0,1,0.15988000000000002,7.84,9.055555555555555
27,h,2.17942,0.786113,2.17942,0.786113,1,5,2,1,2.5455999999999994,w,2020-06-12 17:30:00,1,0,0,3,1.393307,3.869565217391304,6.125
28,a,1.03374,1.49004,1.03374,0.746888,3,6,2,2,0.9524000000000001,d,2020-06-15 20:00:00,0,1,0,1,0.2868520000000001,21.736842105263158,3.5
29,h,0.883633,0.803321,0.883633,0.803321,9,4,0,1,1.3594,l,2020-06-19 17:30:00,0,0,1,0,0.08031200000000005,10.26923076923077,11.142857142857142
30,a,0.147341,1.11797,0.147341,0.374821,0,3,0,0,0.31020000000000003,d,2020-06-22 20:00:00,0,1,0,1,-0.22748000000000002,9.083333333333334,5.068965517241379
31,h,1.49293,1.68478,1.49293,1.68478,3,5,1,2,1.2222,l,2020-06-28 18:30:00,0,0,1,0,-0.19184999999999985,7.461538461538462,8.153846153846153
32,a,1.23821,1.01978,1.23821,1.01978,5,5,2,0,1.5404,w,2020-07-01 17:30:00,1,0,0,3,0.21843000000000012,7.115384615384615,4.8
33,h,2.67712,0.851494,1.93385,0.851494,10,4,2,2,2.6021,d,2020-07-04 20:00:00,0,1,0,1,1.082356,5.71875,9.363636363636363
34,a,0.312385,1.18927,0.312385,1.18927,1,4,3,2,0.5866,w,2020-07-10 17:30:00,1,0,0,3,-0.876885,14.05,3.230769230769231
35,h,0.930144,0.527843,0.930144,0.527843,4,3,1,2,1.6979,l,2020-07-13 20:00:00,0,0,1,0,0.402301,13.23076923076923,8.0
36,a,1.09278,1.21791,1.09278,1.21791,9,3,2,1,1.2468,w,2020-07-16 19:00:00,1,0,0,3,-0.12512999999999996,7.0,9.5
37,h,2.33033,0.564731,2.33033,0.564731,6,0,4,0,2.6562,w,2020-07-19 19:00:00,1,0,0,3,1.765599,14.863636363636363,8.75
