,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.68856,0.794158,1.68856,0.794158,3,6,2,1,2.076,w,2019-08-17 19:00:00,1,0,0,3,0.894402,15.176470588235293,6.954545454545454
1,h,0.871995,1.59382,0.871995,1.59382,6,7,0,1,0.7412000000000001,l,2019-08-25 16:00:00,0,0,1,0,-0.721825,16.714285714285715,8.176470588235293
2,a,1.16388,2.09044,1.16388,0.603888,7,5,0,2,0.5479,l,2019-09-01 16:00:00,0,0,1,0,0.559992,10.04,13.421052631578947
3,h,2.1905,1.39203,1.44722,0.648757,5,3,0,0,1.9909000000000001,d,2019-09-13 19:00:00,0,1,0,1,0.7984629999999999,9.421052631578947,5.833333333333333
4,a,0.726341,2.70951,0.726341,1.96624,1,13,2,4,0.20370000000000002,l,2019-09-22 10:00:00,0,0,1,0,-1.2398989999999999,5.166666666666667,6.85
5,h,0.673477,1.21545,0.673477,1.21545,3,10,0,2,0.9072999999999999,l,2019-09-25 17:00:00,0,0,1,0,-0.5419729999999999,20.0,8.73076923076923
6,a,0.16946,1.84115,0.16946,1.09826,2,6,0,2,0.1462,l,2019-09-29 14:00:00,0,0,1,0,-0.9288000000000001,11.26086956521739,7.818181818181818
7,h,1.02963,0.731578,1.02963,0.731578,1,5,2,0,1.669,w,2019-10-06 11:00:00,1,0,0,3,0.2980520000000001,19.142857142857142,6.785714285714286
8,h,0.245649,0.808026,0.245649,0.808026,1,8,1,0,0.736,w,2019-10-19 20:00:00,1,0,0,3,-0.562377,13.909090909090908,5.225806451612903
9,a,0.858516,1.7617,0.858516,1.7617,3,1,0,1,0.5869,l,2019-10-26 15:00:00,0,0,1,0,-0.9031840000000001,9.333333333333334,8.535714285714286
10,h,2.15631,0.869837,0.669752,0.869837,7,4,2,2,2.3777000000000004,d,2019-10-31 18:00:00,0,1,0,1,-0.20008499999999996,16.5,12.066666666666666
11,a,0.590538,1.96371,0.590538,1.22043,6,6,0,3,0.374,l,2019-11-03 11:00:00,0,0,1,0,-0.6298919999999999,7.222222222222222,7.518518518518518
12,h,1.56727,3.04498,0.0807154,2.3017,2,8,3,1,0.40170000000000006,w,2019-11-10 11:00:00,1,0,0,3,-2.2209846,11.538461538461538,5.366666666666666
13,a,1.41139,1.83517,1.41139,1.83517,9,6,1,2,0.9921,l,2019-11-22 20:00:00,0,0,1,0,-0.42378000000000005,13.11111111111111,11.95
14,h,2.37108,2.27656,1.6278,1.53328,10,6,1,2,1.4403,l,2019-11-30 17:30:00,0,0,1,0,0.09451999999999994,10.25,9.285714285714286
15,a,1.0224,4.28236,1.0224,4.28236,2,42,2,5,0.0956,l,2019-12-07 20:00:00,0,0,1,0,-3.2599599999999995,20.235294117647058,5.777777777777778
16,a,1.51622,2.18849,0.772945,1.44521,0,4,2,2,0.8560000000000001,d,2019-12-15 13:00:00,0,1,0,1,-0.6722650000000001,7.6875,4.681818181818182
17,h,0.788281,1.80841,0.788281,1.06514,5,7,0,2,0.5305,l,2019-12-21 12:00:00,0,0,1,0,-0.27685899999999997,7.219512195121951,5.791666666666667
