,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.769069,0.718119,0.769069,0.718119,7,4,0,0,1.3727999999999998,0,1,0,1,0.05095000000000005,7.0,13.241379310344827
1,4.634059000000001,2.1327689999999997,3.890779,2.1327689999999997,14,9,3,2,4.098199999999999,1,1,0,4,1.7580100000000003,8.625,14.461598746081505
2,7.280049,2.6729559999999997,6.536769,2.6729559999999997,23,11,4,2,6.8546,2,1,0,7,3.8638130000000004,9.488095238095239,15.553346532475388
3,9.157189,3.250285,8.413909,3.250285,36,17,6,2,9.2539,3,1,0,10,5.163624,9.070616883116884,14.213086822433464
4,10.293089,5.018285,9.549809,5.018285,46,19,6,3,10.1525,3,1,1,10,4.531524,8.556493506493506,16.084755172232484
5,13.501569,6.591794999999999,12.015009,6.591794999999999,54,24,9,4,12.572099999999999,4,1,1,13,5.423214,9.380411255411255,15.362295976860404
6,15.740549,7.390944999999999,14.253988999999999,7.390944999999999,63,24,13,5,14.977599999999999,5,1,1,16,6.863044,9.369356833642547,16.104190202388285
7,16.798789,9.737874999999999,15.312228999999999,7.508042,77,26,14,9,15.3898,5,1,2,16,7.804187000000001,9.040779822029823,15.653666427089748
8,17.450838,11.464994999999998,15.964277999999998,8.491883,82,31,15,10,15.8932,5,2,2,17,7.472395000000001,9.3100582545027,15.031654108030393
9,19.111518,13.815234999999998,17.624958,10.098972999999999,90,34,16,12,16.7808,5,2,3,17,7.525985,9.436195286195286,15.66420298294164
10,20.808048,14.349143999999997,19.321488,10.632881999999999,94,40,17,12,19.191,6,2,3,20,8.688606,9.840177532904805,14.799413180084686
11,21.459747999999998,15.133918999999997,19.973188,11.417656999999998,100,41,19,12,20.318199999999997,7,2,3,23,8.555531,9.79467254241764,14.549999716152898
12,24.040067999999998,15.862222999999997,22.553508,12.145960999999998,113,48,22,13,22.9108,8,2,3,26,10.407547000000001,9.76069320657556,14.823931361918916
13,26.399227999999997,16.504321999999995,24.912668,12.788059999999998,122,50,25,14,25.4698,9,2,3,29,12.124608000000002,9.682548453724923,14.714387877542219
14,28.443367999999996,17.303951999999995,26.956808,13.587689999999998,127,52,27,14,27.7599,10,2,3,32,13.369118000000002,9.487045223476596,14.900095352372738
15,29.998317999999998,18.328111999999994,28.511758,13.868571999999999,138,53,28,15,29.5708,10,3,3,33,14.643186000000002,9.326090191126955,16.179066665576713
16,31.245037999999997,18.892895999999993,29.758478,14.433355999999998,142,56,30,15,31.549799999999998,11,3,3,36,15.325122000000002,9.614308794684952,15.955648178245871
17,31.667388,19.482043999999995,30.180828,15.022503999999998,155,61,30,15,32.628499999999995,11,4,3,37,15.158324000000002,9.677402750535787,15.890651850883005
18,33.089928,20.244614999999996,31.603368000000003,15.785074999999997,162,68,34,16,34.5898,12,4,3,40,15.818293000000002,9.90800384416084,15.764828069257584
