,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.858211,0.31178,0.858211,0.31178,2,3,1,1,1.9495,0,1,0,1,0.5464309999999999,10.285714285714286,6.052631578947368
1,1.1489129999999999,2.07953,1.1489129999999999,1.33626,4,4,1,3,2.2005,0,1,1,1,-0.18734700000000015,9.660714285714286,6.442982456140351
2,2.673743,3.1626000000000003,1.930469,2.41933,7,7,2,4,3.9302,0,2,1,2,-0.4888610000000001,7.798809523809524,6.487629329734593
3,3.21393,5.808590000000001,2.470656,5.06532,9,16,2,5,4.0904,0,2,2,2,-2.594664,10.283317669172932,7.6692934258723735
4,4.30866,7.499890000000001,2.822106,6.013339,12,18,3,7,4.8801,0,2,3,2,-3.1912329999999995,9.826654135338346,7.671798377061535
5,5.216622999999999,8.754280000000001,2.9867909999999998,7.267729,12,20,5,9,5.9252,0,3,3,3,-4.280937999999999,9.871170112781956,8.044680465733096
6,5.5218359999999995,11.06708,3.292004,8.837259,17,24,5,11,6.0553,0,3,4,3,-5.545254999999999,11.230233723043872,8.514488018247416
7,6.315748999999999,12.91722,4.085917,10.687399,20,30,5,13,6.6125,0,3,5,3,-6.601481999999999,11.175719213545742,8.340802015966489
8,8.600729,14.49658,5.627747,11.523738,24,37,7,14,8.6252,1,3,5,6,-5.895990999999999,10.945877396167644,8.0569033792718
9,10.056189,15.89911,7.083207,12.926268,24,42,10,15,10.0008,2,3,5,9,-5.843060999999999,10.74328965655088,7.73121304134462
10,11.315878999999999,17.0092,8.342897,13.29308,26,44,11,16,11.4423,2,4,5,10,-4.950182999999999,10.682710876584716,7.588184104571664
11,11.756305999999999,18.2847,8.783324,14.56858,29,54,11,18,12.087299999999999,2,4,6,10,-5.7852559999999995,10.811715739433426,8.257918762524026
12,13.633785999999999,19.61873,9.917524,15.902610000000001,34,61,14,20,13.881699999999999,3,4,6,13,-5.985085999999999,10.880497786626332,8.204232703868332
13,14.5124,21.35839,10.796138000000001,16.898994000000002,37,71,15,21,14.544899999999998,3,5,6,14,-6.102855999999999,11.05362993230209,8.189644653592023
14,15.011541,24.59704,11.295279,20.137644,40,95,15,24,14.666699999999999,3,5,7,14,-8.842365,11.406576342612388,8.467910767594978
15,15.31129,25.383886,11.595028000000001,20.924490000000002,45,101,15,24,15.440199999999999,3,6,7,15,-9.329462,10.967703782737575,8.450385094620291
16,16.480529999999998,26.152557,12.764268000000001,21.693161000000003,47,105,16,24,17.1721,4,6,7,18,-8.928892999999999,10.943868266105952,8.347639130448727
17,17.043336999999998,27.246247,13.327075,22.786851000000002,51,110,16,25,18.0229,4,6,8,18,-9.459775999999998,10.819040567820604,8.42554806764602
18,18.064156999999998,27.822133,14.347895000000001,23.362737000000003,59,111,18,27,19.7776,4,7,8,19,-9.014841999999998,10.603000838687189,8.54429912628666
19,18.695252999999997,28.869493000000002,14.978991,24.410097000000004,62,118,20,29,20.7266,4,8,8,20,-9.431105999999998,10.692416014144134,8.444503524811036
20,20.444492999999998,30.052863000000002,16.728231,25.593467000000004,66,120,21,32,22.5152,4,8,9,20,-8.865235999999998,10.49638465993525,9.157463674423209
21,20.497894199999998,31.659253000000003,16.7816322,27.199857000000005,67,127,21,33,22.7065,4,8,10,20,-10.418224799999997,10.582213329238893,8.977892441573252
22,21.466468199999998,33.581563,17.0069282,29.122167000000005,68,134,22,34,23.322699999999998,4,9,10,21,-12.115238799999997,10.406004565563546,8.79044784266427
23,22.3761822,34.891433000000006,17.916642200000002,30.432037000000005,71,143,22,35,24.284,4,9,11,21,-12.515394799999997,10.627182946760302,8.657133728007803
24,23.1385732,35.75222300000001,18.679033200000003,31.292827000000006,73,146,23,36,25.5291,4,10,11,22,-12.613793799999998,10.584031112760858,8.474986309921974
25,24.4558132,36.72395900000001,19.996273200000005,32.26456300000001,76,153,25,37,27.2598,5,10,11,25,-12.268289799999998,10.392337608423903,8.295659913386514
26,25.3468132,37.19185100000001,20.887273200000003,32.73245500000001,84,165,25,37,29.004299999999997,5,11,11,26,-11.845181799999999,10.28609582751226,8.178706991945633
27,26.1567702,38.304371,20.953952600000004,33.844975000000005,88,175,26,38,30.033499999999997,5,12,11,27,-12.891022399999999,10.356523280677143,8.118753170804718
28,26.5926912,39.992331,21.389873600000005,35.532935,93,184,26,39,30.484299999999998,5,12,12,27,-14.143061399999999,10.644721985284336,8.050997756426836
29,27.7848312,41.216971,21.838736600000004,36.757575,99,195,27,41,31.809099999999997,5,12,13,27,-14.918838399999999,10.59489791910819,8.137703628314059
30,29.0884212,42.553121000000004,23.142326600000004,38.093725000000006,100,195,28,42,33.143499999999996,5,13,13,28,-14.951398399999999,10.661729169029433,8.09985143753895
31,32.3274512,44.110091000000004,26.381356600000004,39.650695000000006,103,198,29,43,35.66479999999999,5,14,13,29,-13.269338399999999,10.532497500918316,8.193321989206767
32,32.9680552,45.840851,27.021960600000003,41.381455,108,204,31,45,36.165299999999995,5,15,13,30,-14.359494399999999,10.578650775301263,8.34967408579052
33,33.7305252,47.722001,27.784430600000004,43.262605,111,214,32,46,36.65429999999999,5,16,13,31,-15.478174399999999,10.771190458380637,8.339389553855504
34,34.4853382,48.986430999999996,28.539243600000002,44.527035,116,219,32,49,37.50279999999999,5,16,14,31,-15.987791399999999,10.80357821399153,8.486155294493647
35,35.875098200000004,49.587202,29.9290036,45.127806,121,228,32,51,39.5607,5,16,15,31,-15.198802399999998,10.822408860310695,8.432246940353672
36,36.921508200000005,51.267162,30.975413600000003,46.064486,128,233,33,55,40.396899999999995,5,16,16,31,-15.089072399999997,11.234544528178747,8.470614640664433
37,37.917143200000005,52.558762,31.971048600000003,47.356086000000005,134,243,34,57,41.5329,5,16,17,31,-15.385037399999998,11.192845987963516,8.495311384570394
