,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.556003,2.01913,0.556003,1.27586,3,11,1,1,0.34950000000000003,d,2020-09-13 16:30:00,0,1,0,1,-0.719857,13.238095238095237,5.620689655172414
1,h,0.223846,1.50522,0.223846,1.50522,0,1,0,2,0.1765,l,2020-09-20 14:00:00,0,0,1,0,-1.281374,3.6785714285714284,12.0
2,a,1.10618,0.306092,1.10618,0.306092,3,3,1,1,2.0675,d,2020-09-26 14:00:00,0,1,0,1,0.8000879999999999,4.829268292682927,11.631578947368421
3,h,0.631932,1.79241,0.631932,1.79241,3,11,0,0,0.48960000000000004,d,2020-09-30 17:00:00,0,1,0,1,-1.160478,15.428571428571429,8.909090909090908
4,a,1.70374,0.188885,1.70374,0.188885,12,0,0,0,2.5993000000000004,d,2020-10-03 16:30:00,0,1,0,1,1.514855,7.717391304347826,10.391304347826088
5,h,1.25439,0.907963,1.25439,0.164685,2,0,2,2,1.6073,d,2020-10-18 16:30:00,0,1,0,1,1.089705,9.909090909090908,10.09375
6,a,0.591473,1.79773,0.591473,1.05446,2,16,1,4,0.42010000000000003,l,2020-10-25 20:00:00,0,0,1,0,-0.4629869999999999,15.0625,8.857142857142858
7,a,0.79915,2.23898,0.79915,2.23898,0,9,1,4,0.41859999999999997,l,2020-10-31 13:00:00,0,0,1,0,-1.4398300000000002,20.555555555555557,9.303030303030303
8,h,2.23211,0.839508,2.23211,0.839508,2,1,1,1,2.4539000000000004,d,2020-11-07 13:00:00,0,1,0,1,1.3926020000000001,6.869565217391305,6.953488372093023
9,a,0.807899,0.878778,0.807899,0.878778,1,7,1,1,1.3013,d,2020-11-20 20:00:00,0,1,0,1,-0.07087899999999991,10.818181818181818,8.84
10,h,0.167609,1.69981,0.167609,1.69981,2,11,0,1,0.20450000000000002,l,2020-11-28 17:30:00,0,0,1,0,-1.5322010000000001,19.764705882352942,7.0
11,a,1.68663,1.82994,1.68663,1.82994,3,3,3,3,1.2743,d,2020-12-06 13:00:00,0,1,0,1,-0.14330999999999983,9.076923076923077,7.382352941176471
12,h,0.380766,0.171439,0.380766,0.171439,1,2,1,0,1.4329,w,2020-12-12 17:30:00,1,0,0,3,0.20932699999999999,5.153846153846154,11.96551724137931
