,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.72531,2.37179,1.72531,2.37179,4,5,4,2,0.9055,w,2020-09-13 19:00:00,1,0,0,3,-0.6464799999999999,14.5,9.909090909090908
1,a,0.456643,2.33534,0.456643,2.33534,2,8,1,2,0.2014,l,2020-09-19 19:00:00,0,0,1,0,-1.8786969999999998,8.821428571428571,9.409090909090908
2,h,0.306092,1.10618,0.306092,1.10618,3,3,1,1,0.6038,d,2020-09-26 14:00:00,0,1,0,1,-0.8000879999999999,11.631578947368421,4.829268292682927
3,a,0.836796,0.589249,0.836796,0.589249,4,12,1,0,1.6146,w,2020-09-29 17:00:00,1,0,0,3,0.24754699999999996,11.333333333333334,7.190476190476191
4,h,0.475219,1.87508,0.475219,1.87508,3,7,0,2,0.34709999999999996,l,2020-10-03 19:00:00,0,0,1,0,-1.399861,9.85,8.1
5,a,0.677588,1.59975,0.677588,0.856476,1,11,1,2,0.5994,l,2020-10-18 14:00:00,0,0,1,0,-0.17888800000000005,14.571428571428571,10.35
6,a,1.23519,0.165573,1.23519,0.165573,8,1,1,2,2.4331,l,2020-10-23 19:00:00,0,0,1,0,1.069617,11.407407407407407,15.833333333333334
7,h,1.75934,2.35774,1.01619,2.35774,4,8,2,2,0.9068,d,2020-11-01 20:00:00,0,1,0,1,-1.3415500000000002,6.72,3.25
8,h,2.34693,1.05824,0.117097,1.05824,2,14,4,1,2.4173999999999998,w,2020-11-08 20:00:00,1,0,0,3,-0.9411430000000001,12.5,6.7407407407407405
9,a,1.79824,1.82668,1.79824,1.0834,9,2,2,2,1.3250000000000002,d,2020-11-22 20:00:00,0,1,0,1,0.7148400000000001,6.647058823529412,10.413793103448276
10,h,0.181436,1.10533,0.181436,1.10533,1,9,0,1,0.47869999999999996,l,2020-11-28 15:15:00,0,0,1,0,-0.923894,15.954545454545455,5.40625
11,a,0.648196,1.09317,0.648196,1.09317,1,11,0,0,0.9782,d,2020-12-07 20:00:00,0,1,0,1,-0.444974,11.722222222222221,2.740740740740741
12,h,2.17259,1.73307,1.42931,0.98979,4,5,2,2,1.6961,d,2020-12-12 13:00:00,0,1,0,1,0.43952000000000013,7.28,5.0
13,a,1.97181,3.2847,1.97181,2.54142,10,18,2,2,0.5722,d,2020-12-19 15:15:00,0,1,0,1,-0.56961,12.26086956521739,8.294117647058824
14,h,0.559111,1.85011,0.559111,1.85011,1,15,0,1,0.3722,l,2020-12-22 16:30:00,0,0,1,0,-1.2909989999999998,13.80952380952381,4.8
