,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.634866,0.933565,0.634866,0.933565,4,4,0,0,0.9474,d,2021-08-16 20:00:00,0,1,0,1,-0.29869899999999994,8.241379310344827,12.133333333333333
1,h,1.43436,1.18383,1.43436,1.18383,7,3,1,1,1.5269,d,2021-08-21 20:00:00,0,1,0,1,0.25053000000000014,13.214285714285714,6.055555555555555
2,a,1.45227,0.934567,1.45227,0.934567,5,8,1,0,1.8574,w,2021-08-28 15:00:00,1,0,0,3,0.5177029999999999,11.826086956521738,4.0606060606060606
3,h,1.855,0.22503,1.855,0.22503,9,5,2,0,2.5978,w,2021-09-11 19:00:00,1,0,0,3,1.62997,10.043478260869565,7.043478260869565
4,a,1.10578,1.10053,1.10578,1.10053,8,11,0,0,1.3554,d,2021-09-18 14:15:00,0,1,0,1,0.005249999999999977,11.727272727272727,12.095238095238095
5,h,0.956027,1.04121,0.956027,1.04121,2,1,1,2,1.2073,l,2021-09-21 20:00:00,0,0,1,0,-0.08518300000000001,7.0,5.764705882352941
6,a,0.830524,1.08633,0.830524,1.08633,5,5,1,1,1.0790000000000002,d,2021-09-25 14:15:00,0,1,0,1,-0.255806,8.5,4.75
7,h,2.49402,0.808018,1.75074,0.808018,8,1,1,0,2.5442,w,2021-10-01 19:00:00,1,0,0,3,0.942722,6.827586206896552,12.777777777777779
8,h,2.64328,0.605636,1.15673,0.605636,9,4,2,1,2.7476,w,2021-10-23 19:00:00,1,0,0,3,0.5510940000000001,9.928571428571429,28.22222222222222
9,a,3.68446,1.23306,3.68446,0.489779,19,4,1,1,2.732,d,2021-10-26 19:00:00,0,1,0,1,3.194681,9.476190476190476,14.8125
10,a,1.01149,1.05807,1.01149,0.314794,3,5,1,1,1.2342,d,2021-10-31 20:00:00,0,1,0,1,0.696696,12.904761904761905,7.111111111111111
11,h,0.584754,0.491777,0.584754,0.491777,7,2,0,1,1.3808,l,2021-11-05 20:00:00,0,0,1,0,0.09297699999999998,2.7777777777777777,12.91304347826087
12,a,0.452179,0.630763,0.452179,0.630763,4,4,0,0,1.0951,d,2021-11-19 20:00:00,0,1,0,1,-0.17858399999999996,9.565217391304348,9.392857142857142
13,h,1.33935,0.977596,1.33935,0.977596,7,5,2,2,1.6219999999999999,d,2021-11-26 20:00:00,0,1,0,1,0.361754,6.166666666666667,18.46153846153846
14,a,2.70199,1.60531,2.70199,1.60531,10,7,0,1,2.1063,l,2021-12-01 20:00:00,0,0,1,0,1.0966799999999999,14.791666666666666,11.61111111111111
15,a,0.466017,1.35736,0.466017,1.35736,4,0,0,0,0.5825,d,2021-12-06 20:00:00,0,1,0,1,-0.8913429999999999,7.6,12.9
16,h,2.35659,0.214536,2.35659,0.214536,5,0,0,1,2.8372,l,2021-12-11 20:00:00,0,0,1,0,2.1420540000000003,9.206896551724139,18.857142857142858
17,h,1.1909,2.01927,1.1909,2.01927,3,13,3,2,0.6804000000000001,w,2021-12-19 15:15:00,1,0,0,3,-0.82837,10.333333333333334,10.5
18,h,1.0933,1.58518,1.0933,1.58518,12,12,1,2,0.9579,l,2021-12-22 20:30:00,0,0,1,0,-0.4918800000000001,9.727272727272727,14.416666666666666
19,a,2.48538,0.521945,2.48538,0.521945,8,5,3,1,2.6607,w,2022-01-03 20:00:00,1,0,0,3,1.963435,16.3125,8.722222222222221
