,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.805,1.59399,1.805,0.850713,3,4,2,1,1.5243000000000002,w,2021-08-15 15:30:00,1,0,0,3,0.9542869999999999,15.736842105263158,7.333333333333333
1,h,1.04508,0.168373,1.04508,0.168373,5,0,1,0,2.2736,w,2021-08-22 17:30:00,1,0,0,3,0.876707,11.756756756756756,16.1875
2,h,1.773,0.448731,1.773,0.448731,14,4,2,2,2.4272,d,2021-08-29 20:00:00,0,1,0,1,1.324269,13.954545454545455,17.46153846153846
3,a,0.732283,0.373891,0.732283,0.373891,12,3,2,1,1.6777,w,2021-09-12 12:00:00,1,0,0,3,0.35839200000000004,7.1923076923076925,9.592592592592593
4,h,1.10053,1.10578,1.10053,1.10578,11,8,0,0,1.3155,d,2021-09-18 14:15:00,0,1,0,1,-0.005249999999999977,12.095238095238095,11.727272727272727
5,a,1.47906,0.330581,1.47906,0.330581,6,3,2,1,2.3606,w,2021-09-21 17:30:00,1,0,0,3,1.148479,6.3125,12.125
6,a,0.558059,1.19699,0.558059,1.19699,6,5,0,1,0.7184999999999999,l,2021-09-25 12:00:00,0,0,1,0,-0.638931,4.904761904761905,22.733333333333334
7,h,1.37412,0.74746,1.37412,0.74746,4,5,2,0,1.9174,w,2021-10-02 19:00:00,1,0,0,3,0.62666,28.285714285714285,15.25
8,h,1.75286,0.834092,1.00958,0.834092,9,8,2,2,2.1587,d,2021-10-24 19:00:00,0,1,0,1,0.17548799999999998,9.92,16.466666666666665
9,a,1.33383,2.12426,1.33383,0.637703,6,1,2,2,0.7030000000000001,d,2021-10-28 19:30:00,0,1,0,1,0.696127,10.555555555555555,15.304347826086957
10,h,2.5506,0.521096,2.5506,0.521096,6,4,3,0,2.6601,w,2021-10-31 15:15:00,1,0,0,3,2.029504,13.818181818181818,12.842105263157896
11,a,2.63804,1.57167,2.63804,1.57167,5,5,3,3,2.1962,d,2021-11-07 15:15:00,0,1,0,1,1.0663700000000003,8.615384615384615,11.72
12,h,1.61044,0.378974,1.61044,0.378974,9,4,1,0,2.3814999999999995,w,2021-11-20 17:30:00,1,0,0,3,1.2314660000000002,12.0,14.647058823529411
13,a,3.32569,0.766477,3.32569,0.766477,10,2,4,1,2.7800000000000002,w,2021-11-28 17:30:00,1,0,0,3,2.5592129999999997,9.652173913043478,17.0
14,h,2.07045,0.775913,2.07045,0.775913,5,1,1,2,2.3749000000000002,l,2021-12-04 17:30:00,0,0,1,0,1.294537,4.0,14.285714285714286
15,a,0.769681,0.587828,0.769681,0.587828,7,5,0,2,1.4616,l,2021-12-12 20:00:00,0,0,1,0,0.18185299999999993,11.157894736842104,9.863636363636363
16,a,1.24499,0.373147,1.24499,0.373147,8,5,1,2,2.1439,l,2021-12-18 20:00:00,0,0,1,0,0.871843,9.0,10.285714285714286
17,a,1.77937,0.911053,1.77937,0.911053,8,2,1,2,2.0487,l,2021-12-22 20:00:00,0,0,1,0,0.8683169999999999,7.76,9.692307692307692
18,h,1.98103,0.104074,1.98103,0.104074,10,0,2,0,2.7663,w,2022-01-02 15:15:00,1,0,0,3,1.876956,9.225806451612904,8.181818181818182
