,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.993589,0.915954,0.993589,0.915954,2,3,1,1,1.433,d,2021-08-14 17:30:00,0,1,0,1,0.07763500000000001,17.4375,7.285714285714286
1,a,1.4533,1.82337,0.710021,1.82337,4,10,1,1,1.0795,d,2021-08-20 19:00:00,0,1,0,1,-1.113349,30.333333333333332,3.5217391304347827
2,h,1.36149,2.28418,0.618211,0.797628,3,15,2,3,0.6255999999999999,l,2021-08-29 17:30:00,0,0,1,0,-0.17941700000000005,16.27777777777778,5.733333333333333
3,h,0.607763,2.36611,0.607763,1.62283,3,16,0,2,0.24880000000000002,l,2021-09-12 16:30:00,0,0,1,0,-1.015067,26.133333333333333,3.0416666666666665
4,a,1.07407,0.993864,0.234637,0.993864,1,10,2,1,1.4674,w,2021-09-17 19:00:00,1,0,0,3,-0.759227,24.1875,3.3529411764705883
5,h,1.40061,0.361756,1.40061,0.361756,3,5,0,0,2.2733999999999996,d,2021-09-23 20:00:00,0,1,0,1,1.038854,16.57894736842105,7.611111111111111
6,a,1.09997,1.89007,1.09997,1.89007,2,6,1,3,0.6741999999999999,l,2021-09-26 16:30:00,0,0,1,0,-0.7901,7.147058823529412,4.884615384615385
7,h,0.156791,1.43757,0.156791,1.43757,2,3,0,0,0.2892,d,2021-10-02 16:30:00,0,1,0,1,-1.280779,10.5,5.5
8,a,0.603648,1.73503,0.603648,1.73503,3,4,0,2,0.44270000000000004,l,2021-10-18 19:00:00,0,0,1,0,-1.131382,11.454545454545455,20.181818181818183
9,h,2.00294,1.86733,2.00294,1.12405,4,2,0,2,1.4442,l,2021-10-23 14:15:00,0,0,1,0,0.8788900000000002,5.4,14.68421052631579
10,a,1.53615,1.95102,1.53615,1.95102,4,16,3,3,1.095,d,2021-10-26 19:30:00,0,1,0,1,-0.41487000000000007,19.8125,4.368421052631579
11,h,1.80233,1.03662,1.05905,1.03662,5,2,1,1,2.0418,d,2021-10-31 13:00:00,0,1,0,1,0.02242999999999995,8.066666666666666,6.217391304347826
12,a,0.491777,0.584754,0.491777,0.584754,2,7,1,0,1.1792,w,2021-11-05 20:00:00,1,0,0,3,-0.09297699999999998,12.91304347826087,2.7777777777777777
13,a,0.370193,1.54295,0.370193,1.54295,2,9,0,4,0.4685,l,2021-11-21 13:00:00,0,0,1,0,-1.172757,15.071428571428571,10.538461538461538
14,h,0.766477,3.32569,0.766477,3.32569,2,10,1,4,0.1442,l,2021-11-28 17:30:00,0,0,1,0,-2.5592129999999997,17.0,9.652173913043478
15,a,1.50592,2.33084,0.732829,1.58756,2,8,1,3,0.7283999999999999,l,2021-12-05 15:15:00,0,0,1,0,-0.8547310000000001,8.264705882352942,6.666666666666667
16,h,0.6189,1.12436,0.6189,1.12436,1,4,1,1,0.9121,d,2021-12-13 20:00:00,0,1,0,1,-0.50546,13.545454545454545,9.0
17,a,0.242189,2.79615,0.242189,2.79615,2,24,0,0,0.1056,d,2021-12-19 20:00:00,0,1,0,1,-2.553961,18.8,3.6
18,h,0.238594,1.28387,0.238594,1.28387,3,14,0,1,0.4575,l,2022-01-03 20:15:00,0,0,1,0,-1.045276,30.2,8.285714285714286
