,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.993589,0.915954,0.993589,0.915954,2,3,1,1,1.433,0,1,0,1,0.07763500000000001,17.4375,7.285714285714286
1,2.446889,2.739324,1.70361,2.739324,6,13,2,2,2.5125,0,2,0,2,-1.035714,23.885416666666664,5.403726708074534
2,3.8083790000000004,5.023504,2.321821,3.536952,9,28,4,5,3.1381,0,2,1,2,-1.215131,21.349537037037038,5.5135955831608
3,4.416142000000001,7.389614,2.929584,5.159782,12,44,4,7,3.3869000000000002,0,2,2,2,-2.2301979999999997,22.54548611111111,4.895613354037267
4,5.4902120000000005,8.383478,3.1642210000000004,6.153646,13,54,6,8,4.8543,1,2,2,5,-2.9894249999999998,22.87388888888889,4.587078918523931
5,6.890822,8.745234,4.564831,6.515402,16,59,6,8,7.1277,1,3,2,6,-1.9505709999999998,21.824731968810912,5.091084283955127
6,7.990792,10.635304,5.664801,8.405472,18,65,7,11,7.8019,1,3,3,6,-2.740671,19.727921519484987,5.061588726906593
7,8.147583,12.072873999999999,5.821592,9.843042,20,68,7,11,8.091099999999999,1,4,3,7,-4.02145,18.574431329549363,5.116390136043269
8,8.751230999999999,13.807903999999999,6.42524,11.578072,23,72,7,13,8.5338,1,4,4,7,-5.152832,17.783332898993375,6.790326585573815
9,10.754171,15.675234,8.42818,12.702122000000001,27,74,7,15,9.978,1,4,5,7,-4.273942,16.544999609094038,7.5797149796480126
10,12.290320999999999,17.626254,9.964329999999999,14.653142,31,90,10,18,11.073,1,5,5,8,-4.688812,16.8420450991764,7.287779168101064
11,14.092650999999998,18.662874,11.02338,15.689762000000002,36,92,11,19,13.1148,1,6,5,9,-4.6663820000000005,16.11076356313392,7.198580179454961
12,14.584427999999999,19.247628,11.515157,16.274516000000002,38,99,12,19,14.294,2,6,5,12,-4.759359000000001,15.864785095066763,6.858518456249024
13,14.954621,20.790578,11.88535,17.817466000000003,40,108,12,23,14.762500000000001,2,6,6,12,-5.932116000000001,15.80811677194975,7.121371533549917
14,15.721098,24.116267999999998,12.651827,21.143156000000005,42,118,13,27,14.9067,2,6,7,12,-8.491329,15.887575653819766,7.290091692182822
15,17.227018,26.447107999999997,13.384656000000001,22.730716000000005,44,126,14,30,15.635100000000001,2,6,8,12,-9.346060000000001,15.41114629310309,7.251127628088062
16,17.845918,27.571467999999996,14.003556000000001,23.855076000000004,45,130,15,31,16.5472,2,7,8,13,-9.85152,15.301399719712,7.3540024734946465
17,18.088107,30.367617999999997,14.245745000000001,26.651226000000005,47,154,15,31,16.6528,2,8,8,14,-12.405481000000002,15.495766401950224,7.145446780522722
18,18.326701,31.651487999999997,14.484339000000002,27.935096000000005,50,168,15,32,17.1103,2,8,9,14,-13.450757000000001,16.269673433426526,7.205460859743329
