,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.933565,0.634866,0.933565,0.634866,4,4,0,0,1.6812,d,2021-08-16 20:00:00,0,1,0,1,0.29869899999999994,12.133333333333333,8.241379310344827
1,a,0.168373,1.04508,0.168373,1.04508,0,5,0,1,0.4325,l,2021-08-22 17:30:00,0,0,1,0,-0.876707,16.1875,11.756756756756756
2,h,0.855435,1.70035,0.855435,1.70035,2,13,1,1,0.6987,d,2021-08-28 17:30:00,0,1,0,1,-0.8449150000000001,33.92307692307692,5.666666666666667
3,a,1.07401,0.3796,1.07401,0.3796,5,2,1,0,2.0732,w,2021-09-13 18:00:00,1,0,0,3,0.69441,18.75,8.275862068965518
4,h,0.536512,1.12463,0.536512,1.12463,2,7,1,1,0.8063,d,2021-09-18 16:30:00,0,1,0,1,-0.588118,22.454545454545453,16.4375
5,a,1.09551,2.77855,1.09551,2.77855,2,8,1,4,0.3179,l,2021-09-22 20:00:00,0,0,1,0,-1.68304,11.538461538461538,6.0285714285714285
6,a,0.573483,2.11835,0.573483,2.11835,1,4,0,1,0.24380000000000002,l,2021-09-26 16:30:00,0,0,1,0,-1.544867,17.11111111111111,7.380952380952381
7,h,1.39817,0.713553,1.39817,0.713553,4,4,1,0,1.9524,w,2021-10-03 12:00:00,1,0,0,3,0.6846169999999999,8.74074074074074,5.566666666666666
8,a,0.326072,1.10651,0.326072,1.10651,4,6,1,2,0.5725,l,2021-10-17 12:00:00,0,0,1,0,-0.7804380000000002,9.15,7.16
9,h,0.998945,1.05435,0.998945,1.05435,6,2,2,2,1.3129,d,2021-10-23 16:30:00,0,1,0,1,-0.055404999999999927,8.92,17.333333333333332
10,a,0.281657,1.81349,0.281657,1.81349,0,7,0,1,0.2294,l,2021-10-26 17:00:00,0,0,1,0,-1.531833,7.7727272727272725,11.2
11,h,1.15068,1.60735,1.15068,1.60735,6,10,1,2,1.0067,l,2021-10-30 12:00:00,0,0,1,0,-0.45667000000000013,17.6,11.636363636363637
12,a,0.679919,2.04894,0.679919,1.30567,2,7,2,2,0.3961,d,2021-11-07 17:30:00,0,1,0,1,-0.6257510000000001,9.318181818181818,6.709677419354839
13,h,0.824849,1.60069,0.824849,0.857415,7,3,0,3,0.7075,l,2021-11-21 17:30:00,0,0,1,0,-0.032565999999999984,16.692307692307693,17.9375
14,a,1.05682,2.13729,1.05682,1.39401,5,8,1,1,0.6083,d,2021-11-29 20:00:00,0,1,0,1,-0.3371899999999999,11.25,6.666666666666667
15,h,2.33084,1.50592,1.58756,0.732829,8,2,3,1,2.0352,w,2021-12-05 15:15:00,1,0,0,3,0.8547310000000001,6.666666666666667,8.264705882352942
16,a,1.12996,1.67544,1.12996,1.67544,2,7,1,2,0.9674999999999999,l,2021-12-11 17:30:00,0,0,1,0,-0.54548,4.730769230769231,6.205128205128205
17,a,1.26552,2.96397,1.26552,2.96397,3,12,2,3,0.3929,l,2021-12-18 17:30:00,0,0,1,0,-1.6984500000000002,17.916666666666668,4.419354838709677
18,h,1.44824,0.965958,1.44824,0.965958,4,7,0,0,1.7294,d,2022-01-02 15:15:00,0,1,0,1,0.482282,11.136363636363637,8.095238095238095
