,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.19326,1.57861,1.19326,0.835327,12,1,0,1,0.9923000000000001,0,0,1,0,0.35793299999999995,4.4375,10.15
1,1.585113,2.392501,1.585113,1.649218,17,6,0,2,1.8115999999999999,0,0,2,0,-0.06410500000000008,8.07358870967742,10.228846153846154
2,1.868428,3.443721,1.868428,2.700438,20,10,1,4,2.3897999999999997,0,0,3,0,-0.8320100000000001,8.894020380095023,8.642760180995475
3,2.248028,4.5177309999999995,2.248028,3.774448,22,15,1,5,3.0149,0,0,4,0,-1.52642,8.739480802312647,11.169570135746607
4,3.402308,6.504340999999999,2.659028,5.0177879999999995,26,20,1,8,3.7020999999999997,0,0,5,0,-2.35876,7.9915846418501175,10.682322775263952
5,3.732889,7.983400999999999,2.989609,6.496848,29,26,2,10,4.116,0,0,6,0,-3.507239,8.680487201541764,9.954018979386626
6,4.323474,10.447600999999999,3.580194,8.961048,32,37,2,12,4.360799999999999,0,0,7,0,-5.380854,8.429703315607226,9.942730553759967
7,4.847136,11.247549,4.103856,9.760996,33,40,3,13,5.3809,0,1,7,1,-5.65714,8.313490401156322,9.32488923453997
8,5.404557,12.080499,4.661277,10.593946,37,45,3,13,6.3850999999999996,0,2,7,2,-5.932669,8.691356547059588,9.099901541813306
9,5.865676,14.561579,5.122396,13.075026000000001,38,53,3,16,6.5874,0,2,8,2,-7.952629999999999,9.2436494637822,8.783014835907839
10,6.446783,16.825089,5.703503,14.595256000000001,39,61,4,17,6.8255,0,3,8,3,-8.891753,9.614356655386414,8.326550283725739
11,7.398567,17.444983999999998,6.655287,15.215151,41,62,6,18,8.4831,1,3,8,6,-8.559864,9.488755505532785,8.50171871246288
12,7.551729,18.937613999999996,6.808449,16.707781,42,73,6,19,8.783100000000001,1,3,9,6,-9.899332,9.512302912405017,8.223031725257112
13,9.094679,19.307806999999997,8.351399,17.077974,51,75,10,19,11.081600000000002,2,3,9,9,-8.726574999999999,9.585599957123339,8.712202928555072
14,9.834012,19.780502999999996,9.090732000000001,17.55067,52,77,10,19,12.676000000000002,2,4,9,10,-8.459938,9.361374774796598,8.90916717776251
15,11.191372,20.246519999999997,10.448092,18.016687,52,81,10,19,14.834400000000002,2,5,9,11,-7.568594999999999,9.582538851371812,8.827344229152354
16,12.238192,21.235593999999995,11.494912000000001,19.005761,53,83,11,20,16.196700000000003,2,6,9,12,-7.510848999999999,9.681169463600485,8.589601291303055
17,13.329152,21.947800999999995,12.585872000000002,19.717968,56,87,12,20,17.839900000000004,3,6,9,15,-7.132096,9.661003483299448,8.78647529363807
18,14.229191,22.860967999999996,13.485911000000002,20.631135,58,99,13,20,19.183500000000002,4,6,9,18,-7.145224,10.047266457862635,8.695546253415634
