,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.915954,0.993589,0.915954,0.993589,3,2,1,1,1.2308000000000001,d,2021-08-14 17:30:00,0,1,0,1,-0.07763500000000001,7.285714285714286,17.4375
1,h,1.63837,2.14125,1.63837,2.14125,2,12,3,3,1.0115,d,2021-08-22 20:00:00,0,1,0,1,-0.5028799999999998,12.4,8.347826086956522
2,a,0.521015,0.855875,0.521015,0.855875,2,5,0,1,0.9822,l,2021-08-28 17:30:00,0,0,1,0,-0.33486000000000005,8.65625,9.928571428571429
3,h,1.10993,2.7683,0.366653,2.7683,4,3,1,1,0.348,d,2021-09-11 16:30:00,0,1,0,1,-2.401647,9.869565217391305,5.535714285714286
4,a,1.12463,0.536512,1.12463,0.536512,7,2,1,1,1.8824,d,2021-09-18 16:30:00,0,1,0,1,0.588118,16.4375,22.454545454545453
5,h,1.40702,0.739683,0.663738,0.739683,2,3,0,2,2.0346,l,2021-09-21 20:00:00,0,0,1,0,-0.07594499999999993,6.439024390243903,6.533333333333333
6,a,0.712689,3.11328,0.712689,2.37,5,5,0,3,0.1521,l,2021-09-26 14:15:00,0,0,1,0,-1.657311,13.15625,7.818181818181818
7,a,1.43388,0.442135,0.6906,0.442135,4,2,0,1,2.3524,l,2021-10-02 14:15:00,0,0,1,0,0.248465,5.0,7.44
8,h,0.83295,0.557421,0.83295,0.557421,5,4,0,0,1.6228,d,2021-10-16 16:30:00,0,1,0,1,0.2755289999999999,7.3,11.714285714285714
9,a,1.28779,1.82952,1.28779,1.82952,2,5,3,5,0.9678,l,2021-10-24 12:00:00,0,0,1,0,-0.54173,17.823529411764707,9.28
10,h,2.12426,1.33383,0.637703,1.33383,1,6,2,2,2.0362,d,2021-10-28 19:30:00,0,1,0,1,-0.696127,15.304347826086957,10.555555555555555
11,h,1.33088,1.46089,1.33088,1.46089,6,5,0,3,1.2578,l,2021-11-01 20:00:00,0,0,1,0,-0.13000999999999996,10.869565217391305,8.6
12,a,0.802633,1.53471,0.802633,0.791437,9,2,1,2,0.6762,l,2021-11-06 17:30:00,0,0,1,0,0.011196000000000095,11.318181818181818,5.04
13,h,0.630763,0.452179,0.630763,0.452179,4,4,0,0,1.4557,d,2021-11-19 20:00:00,0,1,0,1,0.17858399999999996,9.392857142857142,9.565217391304348
14,a,0.645945,2.3097,0.645945,2.3097,5,11,1,3,0.3131,l,2021-11-28 13:00:00,0,0,1,0,-1.6637549999999999,10.789473684210526,4.666666666666667
15,h,0.510046,0.250564,0.510046,0.250564,4,1,0,0,1.5444,d,2021-12-05 17:30:00,0,1,0,1,0.259482,9.210526315789474,11.37037037037037
16,a,3.38759,2.1352,3.38759,2.1352,5,8,3,4,2.209,l,2021-12-11 13:00:00,0,0,1,0,1.2523899999999997,10.538461538461538,14.722222222222221
17,h,2.73541,2.10622,1.85919,1.36294,5,6,3,4,1.8367,l,2021-12-20 20:00:00,0,0,1,0,0.49624999999999986,4.866666666666666,9.714285714285714
18,a,0.423407,4.19047,0.423407,4.19047,3,18,0,5,0.024399999999999998,l,2022-01-03 18:00:00,0,0,1,0,-3.7670630000000003,10.892857142857142,14.333333333333334
19,h,1.32485,1.16534,1.32485,0.422064,4,3,2,0,1.4426,w,2022-01-08 13:00:00,1,0,0,3,0.9027860000000001,7.793103448275862,14.23076923076923
