,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.579404,0.583698,0.579404,0.583698,11,0,0,0,1.3114999999999999,d,2021-08-14 20:00:00,0,1,0,1,-0.00429400000000002,5.027027027027027,7.2
1,h,2.58218,0.084571,1.8389,0.084571,12,4,0,0,2.9072999999999998,d,2021-08-23 20:00:00,0,1,0,1,1.754329,6.040816326530612,14.928571428571429
2,a,2.28418,1.36149,0.797628,0.618211,15,3,3,2,2.1289,w,2021-08-29 17:30:00,1,0,0,3,0.17941700000000005,5.733333333333333,16.27777777777778
3,h,0.457252,0.924929,0.457252,0.924929,4,8,1,4,0.8266,l,2021-09-12 14:15:00,0,0,1,0,-0.467677,4.96,12.266666666666667
4,a,1.32313,0.251601,0.579857,0.251601,1,4,2,0,2.4547999999999996,w,2021-09-18 19:00:00,1,0,0,3,0.32825599999999994,6.9393939393939394,5.423076923076923
5,h,0.820269,2.20306,0.820269,2.20306,4,6,1,3,0.4505,l,2021-09-23 17:30:00,0,0,1,0,-1.3827909999999997,11.217391304347826,13.0
6,a,1.63553,2.74158,1.63553,2.74158,5,5,3,2,0.6765,w,2021-09-26 12:00:00,1,0,0,3,-1.10605,7.56,8.866666666666667
7,h,0.657174,0.148539,0.657174,0.148539,5,3,1,0,1.8775,w,2021-10-02 12:00:00,1,0,0,3,0.5086350000000001,5.222222222222222,18.6
8,a,0.957297,0.713142,0.957297,0.713142,4,10,2,1,1.5932,w,2021-10-17 16:30:00,1,0,0,3,0.2441549999999999,15.0,5.3125
9,h,1.24456,0.434896,1.24456,0.434896,6,2,1,1,2.0841,d,2021-10-22 19:00:00,0,1,0,1,0.8096640000000002,9.23076923076923,9.384615384615385
10,a,0.71046,0.655438,0.71046,0.655438,1,16,0,0,1.4013999999999998,d,2021-10-27 19:30:00,0,1,0,1,0.055022000000000015,18.57894736842105,7.8
11,a,0.790454,2.43378,0.790454,2.43378,2,5,0,2,0.3444,l,2021-10-30 14:15:00,0,0,1,0,-1.643326,22.214285714285715,6.5
12,h,0.495749,1.43263,0.495749,0.689356,3,9,0,2,0.467,l,2021-11-07 17:30:00,0,0,1,0,-0.19360699999999997,11.576923076923077,8.047619047619047
13,a,0.378974,1.61044,0.378974,1.61044,4,9,0,1,0.40900000000000003,l,2021-11-20 17:30:00,0,0,1,0,-1.2314660000000002,14.647058823529411,12.0
14,h,2.13729,1.05682,1.39401,1.05682,8,5,1,1,2.1791,d,2021-11-29 20:00:00,0,1,0,1,0.3371899999999999,6.666666666666667,11.25
15,a,0.250564,0.510046,0.250564,0.510046,1,4,0,0,0.9312,d,2021-12-05 17:30:00,0,1,0,1,-0.259482,11.37037037037037,9.210526315789474
16,h,0.367626,1.3894,0.367626,1.3894,2,7,2,2,0.428,d,2021-12-12 15:15:00,0,1,0,1,-1.021774,9.6,6.35
17,a,0.712207,1.09096,0.712207,1.09096,4,3,0,1,1.0258,l,2021-12-19 17:30:00,0,0,1,0,-0.3787529999999999,12.133333333333333,9.318181818181818
18,h,0.521945,2.48538,0.521945,2.48538,5,8,1,3,0.23010000000000003,l,2022-01-03 20:00:00,0,0,1,0,-1.963435,8.722222222222221,16.3125
