,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.814085,0.569578,0.814085,0.569578,11,1,1,1,1.5589,0,1,0,1,0.24450699999999992,6.72,18.72222222222222
1,2.637455,2.022878,2.637455,1.2795990000000002,21,5,2,2,3.2024,0,2,0,2,1.357856,5.120869565217391,24.52777777777778
2,3.058142,2.963848,3.058142,2.2205690000000002,25,10,2,3,4.0054,0,2,1,2,0.8375729999999999,5.737442455242967,19.599163679808843
3,5.495812,3.743925,5.495812,3.000646,42,13,4,4,6.4928,1,2,1,5,2.4951659999999998,6.1512961271465105,19.07437275985663
4,7.864722,4.9608550000000005,7.864722,4.217576,54,18,6,6,8.643699999999999,1,3,1,6,3.6471459999999998,6.313036901717209,18.181720430107525
5,10.067782000000001,5.781124,10.067782000000001,5.037845,60,22,9,7,11.018099999999999,2,3,1,9,5.029936999999999,7.427530751431007,17.020998909147576
6,12.531982000000001,6.371709,12.531982000000001,5.62843,71,25,11,7,13.646099999999999,3,3,1,12,6.9035519999999995,7.777169215512292,15.578713350697923
7,13.059063000000002,8.958119,13.059063000000002,8.214839999999999,74,32,11,9,13.8455,3,3,2,12,4.8442229999999995,9.339745285795477,14.463611023965946
8,14.536913000000002,10.315809,14.536913000000002,9.572529999999999,91,34,12,9,15.2845,4,3,2,15,4.964383,9.41310692070709,15.36081663668768
9,15.970663000000002,11.483489,15.227389000000002,10.74021,97,36,15,11,16.8932,5,3,2,18,4.487178999999999,9.738462895303048,14.897462245746183
10,18.551333000000003,13.661929,17.064789,12.91865,101,41,19,12,18.5425,6,3,2,21,4.146138999999999,9.212455445946494,14.280160483145881
11,19.072429000000003,16.212529,17.585885,15.469249999999999,105,47,19,15,18.7681,6,3,3,21,2.1166349999999987,9.514926264047444,14.241662261065542
12,19.461592000000003,17.634089,17.975048,16.89081,106,56,19,17,19.2419,6,3,4,21,1.0842379999999987,10.47531655142841,13.69818597854014
13,21.062282000000003,18.458938,18.832463,17.715659,109,63,22,17,21.2793,7,3,4,24,1.1168039999999988,11.008329654897809,13.91205181523782
14,23.371982000000003,19.104883,21.142163,18.361604,120,68,25,18,23.8217,8,3,4,27,2.7805589999999984,10.585552122349066,13.703879939836002
15,24.014679,20.313593,21.78486,19.570314,125,76,26,18,24.6514,9,3,4,30,2.2145459999999986,10.787381040628174,13.178269796537426
16,25.231659,21.380963,23.001839999999998,20.637684,131,80,30,18,26.0976,10,3,4,33,2.3641559999999986,10.75282921470887,13.003077455564636
17,27.250929,22.571863,25.021109999999997,21.828584,144,83,32,21,28.1538,10,3,5,33,3.1925259999999986,10.738783147225043,12.854758337662897
18,28.140365,24.443863,25.910545999999997,22.957304,154,87,32,23,28.7465,10,3,6,33,2.9532419999999986,10.502531402634252,12.851876319891167
19,29.407245,25.923083000000002,27.177425999999997,24.436524000000002,160,96,33,24,29.906000000000002,10,4,6,34,2.7409019999999984,10.506571499169207,12.372325982157479
