,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,2.15551,1.41097,2.15551,0.667695,17,2,4,1,1.9244,w,2021-08-14 20:00:00,1,0,0,3,1.4878149999999999,12.5,15.045454545454545
1,a,2.14125,1.63837,2.14125,1.63837,12,2,3,3,1.7348000000000001,d,2021-08-22 20:00:00,0,1,0,1,0.5028799999999998,8.347826086956522,12.4
2,a,0.94097,0.420687,0.94097,0.420687,5,4,1,0,1.8386,w,2021-08-28 20:00:00,1,0,0,3,0.520283,9.741935483870968,6.970588235294118
3,h,3.03734,1.99062,2.29419,1.99062,12,13,5,2,2.1004,w,2021-09-12 19:00:00,1,0,0,3,0.3035699999999999,11.7,18.15
4,a,1.36343,0.647432,1.36343,0.647432,17,4,2,1,1.9914999999999998,w,2021-09-19 19:00:00,1,0,0,3,0.7159979999999999,12.7,11.37037037037037
5,h,2.3746,1.19165,2.3746,1.19165,19,5,6,1,2.1647999999999996,w,2021-09-22 20:00:00,1,0,0,3,1.18295,5.571428571428571,19.470588235294116
6,h,1.53636,0.666401,1.53636,0.666401,9,6,0,0,2.1452,d,2021-09-25 19:00:00,0,1,0,1,0.8699589999999999,9.942857142857143,11.68421052631579
7,a,1.62384,1.29119,1.62384,1.29119,7,8,1,2,1.5985,l,2021-10-03 14:15:00,0,0,1,0,0.3326499999999999,7.545454545454546,20.0
8,a,1.5463,1.58789,1.5463,1.58789,9,12,2,1,1.3288,w,2021-10-24 14:15:00,1,0,0,3,-0.041590000000000016,20.0,6.975609756097561
9,h,0.655438,0.71046,0.655438,0.71046,16,1,0,0,1.2168999999999999,d,2021-10-27 19:30:00,0,1,0,1,-0.055022000000000015,7.8,18.57894736842105
10,a,1.60735,1.15068,1.60735,1.15068,10,6,2,1,1.7297,w,2021-10-30 12:00:00,1,0,0,3,0.45667000000000013,11.636363636363637,17.6
11,h,2.72626,1.78044,2.72626,1.78044,8,2,2,1,1.9770999999999999,w,2021-11-06 20:00:00,1,0,0,3,0.9458199999999999,17.285714285714285,13.0
12,a,3.77854,0.56422,3.77854,0.56422,20,3,4,1,2.9031,w,2021-11-21 15:15:00,1,0,0,3,3.21432,16.0,15.5
13,h,1.2476,1.30167,1.2476,1.30167,13,1,2,1,1.3024999999999998,w,2021-11-28 20:00:00,1,0,0,3,-0.05407000000000006,21.333333333333332,20.214285714285715
14,h,1.60531,2.70199,1.60531,2.70199,7,10,1,0,0.6918,w,2021-12-01 20:00:00,1,0,0,3,-1.0966799999999999,11.61111111111111,14.791666666666666
15,a,2.19245,0.585154,2.19245,0.585154,11,7,2,0,2.5472,w,2021-12-04 20:00:00,1,0,0,3,1.607296,32.0,9.851851851851851
16,h,0.587828,0.769681,0.587828,0.769681,5,7,2,0,1.1418000000000001,w,2021-12-12 20:00:00,1,0,0,3,-0.18185299999999993,9.863636363636363,11.157894736842104
17,h,2.79615,0.242189,2.79615,0.242189,24,2,0,0,2.8247999999999998,d,2021-12-19 20:00:00,0,1,0,1,2.553961,3.6,18.8
18,a,1.58518,1.0933,1.58518,1.0933,12,12,2,1,1.7682,w,2021-12-22 20:30:00,1,0,0,3,0.4918800000000001,14.416666666666666,9.727272727272727
19,a,0.913167,0.900039,0.913167,0.900039,12,2,0,1,1.3163,l,2022-01-02 13:00:00,0,0,1,0,0.013127999999999918,7.0588235294117645,17.0
20,h,4.1129,1.12054,3.36962,0.27707,16,2,4,1,2.9146,w,2022-01-08 20:00:00,1,0,0,3,3.0925499999999997,8.235294117647058,13.285714285714286
