,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,3.67402,0.484078,2.93074,0.484078,10,0,3,0,2.942,w,2021-08-15 20:15:00,1,0,0,3,2.446662,5.818181818181818,33.0
1,a,0.813891,0.391853,0.813891,0.391853,5,5,1,0,1.8045,w,2021-08-23 18:00:00,1,0,0,3,0.422038,10.307692307692308,11.709677419354838
2,a,1.70035,0.855435,1.70035,0.855435,13,2,1,1,2.0583,d,2021-08-28 17:30:00,0,1,0,1,0.8449150000000001,5.666666666666667,33.92307692307692
3,a,0.7654,1.17723,0.7654,0.430526,1,7,0,0,0.885,d,2021-09-19 14:15:00,0,1,0,1,0.33487399999999995,15.916666666666666,8.961538461538462
4,h,1.20708,0.442431,1.20708,0.442431,2,3,3,1,2.06,w,2021-09-22 17:30:00,1,0,0,3,0.7646489999999999,3.9714285714285715,7.878787878787879
5,h,1.57528,0.478568,1.57528,0.478568,9,1,2,0,2.4594,w,2021-09-25 16:30:00,1,0,0,3,1.0967120000000001,9.238095238095237,13.476190476190476
6,a,1.4028,0.0843984,1.4028,0.0843984,7,1,0,1,2.5676,l,2021-10-03 19:00:00,0,0,1,0,1.3184016,10.0,16.304347826086957
7,a,0.828384,0.888941,0.828384,0.888941,3,3,1,0,1.2923999999999998,w,2021-10-17 14:15:00,1,0,0,3,-0.06055699999999997,13.823529411764707,16.4
8,h,1.82952,1.28779,1.82952,1.28779,5,2,5,3,1.7802,w,2021-10-24 12:00:00,1,0,0,3,0.54173,9.28,17.823529411764707
9,a,1.42068,2.27366,1.42068,2.27366,2,9,1,1,0.7548999999999999,d,2021-10-27 17:00:00,0,1,0,1,-0.8529800000000001,4.592592592592593,13.64516129032258
10,h,2.43378,0.790454,2.43378,0.790454,5,2,2,0,2.5014,w,2021-10-30 14:15:00,1,0,0,3,1.643326,6.5,22.214285714285715
11,a,1.42156,0.389163,1.42156,0.389163,9,1,2,0,2.2861000000000002,w,2021-11-07 20:00:00,1,0,0,3,1.032397,7.176470588235294,22.0
12,h,1.37509,1.47367,1.37509,0.730394,11,0,2,2,1.2452,d,2021-11-20 15:15:00,0,1,0,1,0.6446959999999999,4.333333333333333,13.714285714285714
13,a,1.30167,1.2476,1.30167,1.2476,1,13,1,2,1.3982,l,2021-11-28 20:00:00,0,0,1,0,0.05407000000000006,20.214285714285715,21.333333333333332
14,h,0.46965,1.90918,0.46965,1.90918,2,7,1,0,0.26139999999999997,w,2021-12-04 13:00:00,1,0,0,3,-1.43953,9.833333333333334,8.192307692307692
15,a,0.214536,2.35659,0.214536,2.35659,0,5,1,0,0.0949,w,2021-12-11 20:00:00,1,0,0,3,-2.1420540000000003,18.857142857142858,9.206896551724139
16,h,0.373147,1.24499,0.373147,1.24499,5,8,2,1,0.5698,w,2021-12-18 20:00:00,1,0,0,3,-0.871843,10.285714285714286,9.0
17,h,0.299426,1.90576,0.299426,1.90576,0,6,1,1,0.23049999999999998,d,2021-12-21 22:30:00,0,1,0,1,-1.606334,12.571428571428571,8.384615384615385
18,a,1.28387,0.238594,1.28387,0.238594,14,3,1,0,2.2692,w,2022-01-03 20:15:00,1,0,0,3,1.045276,8.285714285714286,30.2
