,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.813737,1.23869,0.813737,1.23869,3,1,0,3,0.9584999999999999,l,2014-08-09 20:00:00,0,0,1,0,-0.424953,7.0,21.214285714285715
1,a,1.06246,1.81988,1.06246,1.81988,2,2,2,6,0.7427,l,2014-08-16 19:00:00,0,0,1,0,-0.75742,15.041666666666666,14.5
2,h,0.632883,0.388902,0.632883,0.388902,3,6,0,0,1.5169000000000001,d,2014-08-22 19:30:00,0,1,0,1,0.24398099999999995,21.0,9.083333333333334
3,a,0.710663,0.851431,0.710663,0.851431,1,8,0,1,1.2274,l,2014-08-30 19:00:00,0,0,1,0,-0.140768,9.857142857142858,4.92
4,h,0.912171,1.12115,0.912171,1.12115,2,2,1,3,1.1282999999999999,l,2014-09-14 20:00:00,0,0,1,0,-0.20897900000000014,10.0,8.173913043478262
5,a,0.365111,0.539429,0.365111,0.539429,4,3,1,2,1.0768,l,2014-09-19 19:30:00,0,0,1,0,-0.17431800000000003,10.73076923076923,23.22222222222222
6,h,0.96835,0.860457,0.96835,0.860457,1,3,2,1,1.409,w,2014-09-24 18:00:00,1,0,0,3,0.10789300000000002,10.607142857142858,8.392857142857142
7,a,0.834365,0.791519,0.834365,0.791519,2,6,2,0,1.4161000000000001,w,2014-09-27 19:00:00,1,0,0,3,0.04284600000000005,11.153846153846153,9.294117647058824
8,h,1.25083,0.334334,0.490737,0.334334,2,5,3,0,2.2937000000000003,w,2014-10-04 19:00:00,1,0,0,3,0.15640299999999996,5.8076923076923075,9.55
9,a,1.3361,2.44399,1.3361,1.68389,6,6,0,2,0.5792999999999999,l,2014-10-18 19:00:00,0,0,1,0,-0.34779000000000004,7.645161290322581,7.068965517241379
10,h,0.258938,2.12732,0.258938,1.36722,3,6,0,2,0.1407,l,2014-10-25 19:00:00,0,0,1,0,-1.108282,9.047619047619047,10.380952380952381
11,a,0.196777,2.13023,0.196777,2.13023,6,8,0,2,0.1489,l,2014-11-01 19:00:00,0,0,1,0,-1.933453,4.536585365853658,5.205882352941177
12,h,1.37071,1.13378,1.37071,1.13378,3,3,1,0,1.5604,w,2014-11-08 19:00:00,1,0,0,3,0.23693000000000008,5.942857142857143,5.95
13,h,0.910803,0.583473,0.910803,0.583473,3,2,2,0,1.6877000000000002,w,2014-11-30 16:00:00,1,0,0,3,0.32733,6.242424242424242,11.285714285714286
14,a,1.15876,1.69568,1.15876,1.69568,3,8,2,1,0.9283,w,2014-12-03 18:00:00,1,0,0,3,-0.5369200000000001,8.38888888888889,4.2
15,h,0.973267,2.92037,0.973267,2.16027,3,7,2,3,0.249,l,2014-12-07 13:00:00,0,0,1,0,-1.1870030000000003,9.285714285714286,2.8285714285714287
16,a,0.810448,1.86473,0.810448,1.86473,1,5,2,3,0.48560000000000003,l,2014-12-13 19:00:00,0,0,1,0,-1.0542820000000002,9.766666666666667,11.588235294117647
17,a,0.321493,1.3033,0.321493,1.3033,3,8,0,3,0.4365,l,2014-12-21 16:00:00,0,0,1,0,-0.9818069999999999,12.862068965517242,10.368421052631579
18,a,0.749129,0.437156,0.749129,0.437156,3,4,0,1,1.6859,l,2015-01-07 19:30:00,0,0,1,0,0.31197300000000006,10.0,6.333333333333333
19,h,1.16628,2.1526,1.16628,1.3925,2,6,1,1,0.6148,d,2015-01-10 19:00:00,0,1,0,1,-0.2262200000000001,11.555555555555555,14.333333333333334
20,a,0.39894,3.42779,0.39894,3.42779,1,11,2,4,0.0431,l,2015-01-18 13:00:00,0,0,1,0,-3.02885,18.115384615384617,5.5588235294117645
21,h,0.438885,1.3373,0.438885,1.3373,5,5,1,0,0.4888,w,2015-01-25 13:00:00,1,0,0,3,-0.898415,9.9,5.303030303030303
22,a,0.0877751,2.36677,0.0877751,1.60667,1,5,0,1,0.0648,l,2015-01-31 15:30:00,0,0,1,0,-1.5188949,14.24,11.625
23,h,0.363124,0.188163,0.363124,0.188163,3,3,0,1,1.4131,l,2015-02-07 19:00:00,0,0,1,0,0.174961,5.571428571428571,8.10344827586207
24,a,0.81777,1.38094,0.81777,1.38094,2,8,2,0,0.8754,w,2015-02-14 19:00:00,1,0,0,3,-0.5631700000000001,10.04,5.4
25,a,0.917162,0.769832,0.917162,0.769832,5,2,2,1,1.5264,w,2015-02-28 19:00:00,1,0,0,3,0.14733000000000007,5.351351351351352,9.24
26,h,0.550926,0.561594,0.550926,0.561594,0,3,1,0,1.3338999999999999,w,2015-03-04 18:00:00,1,0,0,3,-0.01066800000000001,8.5,6.9
27,h,1.24794,1.68478,1.24794,1.68478,3,7,1,3,1.0143,l,2015-03-07 19:00:00,0,0,1,0,-0.4368399999999999,10.166666666666666,12.266666666666667
28,a,0.788056,1.36711,0.788056,1.36711,2,5,1,2,0.8560000000000001,l,2015-03-14 19:00:00,0,0,1,0,-0.5790540000000001,4.884615384615385,7.782608695652174
29,h,1.34575,0.230609,1.34575,0.230609,4,3,1,0,2.4472,w,2015-03-21 19:00:00,1,0,0,3,1.115141,4.083333333333333,7.541666666666667
30,a,1.60029,1.28484,0.840193,1.28484,2,5,2,2,1.6372,d,2015-04-04 19:00:00,0,1,0,1,-0.444647,4.45945945945946,5.032258064516129
31,h,1.17213,1.77445,1.17213,1.01435,5,5,0,1,0.7995000000000001,l,2015-04-12 16:00:00,0,0,1,0,0.1577799999999998,14.791666666666666,10.3
32,a,0.997207,1.42866,0.997207,1.42866,1,5,1,1,0.9937,d,2015-04-18 19:00:00,0,1,0,1,-0.4314530000000001,8.428571428571429,9.047619047619047
33,h,1.49347,1.35755,1.49347,1.35755,1,3,1,2,1.5124,l,2015-04-25 19:00:00,0,0,1,0,0.13592000000000004,9.5,12.789473684210526
34,a,0.657208,2.65856,0.657208,1.89847,2,4,0,2,0.1915,l,2015-05-02 16:00:00,0,0,1,0,-1.241262,16.0,10.73913043478261
35,h,1.13016,2.18633,1.13016,2.18633,1,6,2,3,0.6161000000000001,l,2015-05-09 19:00:00,0,0,1,0,-1.0561699999999998,5.076923076923077,6.7368421052631575
36,h,1.24292,1.84086,1.24292,1.08077,4,6,1,2,0.8794000000000001,l,2015-05-16 20:00:00,0,0,1,0,0.16215000000000002,8.73076923076923,9.05
37,a,1.84486,2.02955,1.84486,2.02955,6,6,2,3,1.2637,l,2015-05-23 20:00:00,0,0,1,0,-0.18469000000000002,7.545454545454546,15.5625
