,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.36787,2.65538,1.36787,1.89529,2,11,2,2,0.5058,0,1,0,1,-0.52742,31.6,7.5
1,1.653337,5.084300000000001,1.653337,4.32421,4,22,3,5,0.6539,0,1,1,1,-2.6708730000000003,21.852631578947367,10.25
2,3.525437,6.886950000000001,3.525437,6.12686,6,26,3,7,2.0908,0,1,2,1,-2.6014230000000005,17.219214703425227,12.811111111111112
3,4.811287,9.564540000000001,4.811287,7.28426,9,30,5,11,2.5396,0,1,3,1,-2.4729730000000005,15.94850193665983,12.691666666666668
4,5.106571,11.108310000000001,5.106571,8.82803,12,35,7,11,2.8936,1,1,3,4,-3.7214590000000007,15.531528822055137,11.210476190476191
5,5.932793,11.344564000000002,5.932793,9.064284,15,36,8,11,4.890700000000001,2,1,3,7,-3.1314910000000005,16.459607351712616,11.661507936507938
6,6.315822,14.971214000000002,6.315822,11.930844,17,43,8,16,4.928400000000001,2,1,4,7,-5.615022000000001,15.440167646005772,11.156292517006804
7,6.435575,16.545844000000002,6.435575,13.505474,19,48,8,19,5.184200000000001,2,1,5,7,-7.069899,15.520563356921716,10.874255952380954
8,6.893118,17.162912000000002,6.893118,14.122542,23,55,9,19,6.3066,3,1,5,10,-7.229424000000001,15.261868283075712,10.499338624338627
9,7.965868,17.529792,7.965868,14.489422,24,59,10,20,8.3374,3,2,5,11,-6.523554000000001,14.412954182040869,11.593154761904763
10,8.682829,18.23532,8.682829,15.194949999999999,24,62,11,20,9.6523,4,2,5,14,-6.5121210000000005,13.623061795585743,11.428841991341994
11,9.544623,19.561130000000002,9.544623,16.52076,25,70,12,21,10.6417,4,3,5,15,-6.9761370000000005,13.58965849780545,11.216337481962483
12,11.921323,20.142066000000003,11.161223,17.101696,27,71,14,21,13.2853,5,3,5,18,-5.940473000000001,13.779877074897339,11.43046536796537
13,12.734665999999999,21.465566000000003,11.974566,18.425196,30,73,14,21,14.2045,5,4,5,19,-6.45063,13.361737707113665,11.328289270253558
14,13.818095999999999,22.596586000000002,13.057996,19.556216,33,75,16,22,15.472,6,4,5,22,-6.49822,13.075893464911026,11.573069985569987
15,14.790848999999998,24.679516000000003,14.030749,21.639146,34,81,17,24,15.9508,6,4,6,22,-7.608397,12.925316790020753,11.443503111471863
16,15.505115999999997,25.457378000000002,14.745016,22.417008,42,82,19,27,17.1416,6,4,7,22,-7.671992,12.47872952786267,11.352708810797047
17,17.369846,26.267826000000003,16.609746,23.227456,47,83,22,29,19.4515,7,4,7,25,-6.617710000000001,12.429257625987947,11.26459535834536
18,18.065205,26.611544000000002,17.305105,23.571174,51,87,25,30,21.1085,8,4,7,28,-6.266069000000001,12.843507224620161,11.684253246753249
19,19.302675,27.870574,18.542575,24.830204,58,90,26,32,22.4374,8,4,8,28,-6.287629000000001,12.653505776432631,11.525040584415587
20,20.868905,30.928574,19.348706,27.128103999999997,60,92,27,36,22.7792,8,4,9,28,-7.7793980000000005,12.298973755332664,11.606614615543188
21,21.831038000000003,33.490954,20.310839,29.690483999999998,64,95,27,36,23.171699999999998,8,5,9,29,-9.379645,11.989929493726635,11.451768496654863
22,22.105958000000005,34.561844,20.585759000000003,30.761373999999996,65,98,27,37,23.732699999999998,8,5,10,29,-10.175615,11.729497776608085,11.248068417090156
23,23.817688000000004,35.572044,22.297489000000002,31.771573999999998,70,100,28,40,25.643299999999996,8,5,11,29,-9.474085,11.561756356903736,11.128663605593752
24,25.246108000000003,37.677713999999995,23.725909,33.877244,75,108,30,42,26.490799999999997,8,6,11,30,-10.151335,11.682443997364429,10.989517061370002
25,25.976589000000004,38.45003199999999,24.456390000000003,34.649561999999996,85,110,30,42,27.736099999999997,8,7,11,31,-10.193171999999999,11.558119228235027,11.063498846635035
26,26.768403000000003,39.401500999999996,25.248204,35.601031,89,117,31,43,28.904099999999996,8,8,11,32,-10.352827,11.669546911139902,10.903739630092998
27,29.493423000000003,40.313818,27.973224000000002,36.513348,94,120,34,44,31.433699999999995,9,8,11,35,-8.540123999999999,11.515092649535152,10.859100577369896
28,30.927803000000004,43.592948,29.407604000000003,39.792478,96,124,35,47,31.811999999999994,9,8,12,35,-10.384873999999998,11.248114533093501,10.727140490719766
29,32.069753000000006,45.388468,30.549554000000004,41.587998000000006,103,126,36,50,32.707499999999996,9,8,13,35,-11.038443999999998,11.262066270879274,10.577346918806885
30,33.012956,48.210028,31.492757000000005,43.63525800000001,105,130,37,53,32.93749999999999,9,8,14,35,-12.142501,11.155889560053946,10.48001314723247
31,34.327986,49.882668,32.807787000000005,45.30789800000001,109,130,37,54,33.99909999999999,9,8,15,35,-12.500110999999999,10.949846136302261,10.460325236381456
32,36.218306000000005,50.473062000000006,34.69810700000001,45.89829200000001,112,133,39,55,36.53009999999999,10,8,15,38,-11.200184999999998,10.841884034420179,10.2809719463901
33,37.42779600000001,53.646662000000006,35.90759700000001,49.07189200000001,116,139,41,59,36.83849999999999,10,8,16,38,-13.164294999999997,10.800044940428693,10.65800218326098
34,37.734705000000005,55.144122,36.21450600000001,49.80926000000001,120,144,41,61,37.14379999999999,10,8,17,38,-13.594753999999998,10.699767158720594,10.525936814759644
35,39.921035,56.274282,38.400836000000005,50.93942000000001,126,145,44,63,39.32049999999999,11,8,17,41,-12.538583999999998,10.589685907235665,10.374575322041963
36,41.904625,56.498716,39.62433600000001,51.163854000000015,129,147,45,63,42.05679999999999,12,8,17,44,-11.539517999999997,10.751676378211277,10.480281780519594
37,43.448785,58.568456000000005,41.168496000000005,53.23359400000002,131,157,47,66,43.040899999999986,12,8,18,44,-12.065097999999997,11.080865672606174,10.398169102084868
