,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.54499,0.706047,1.54499,0.706047,8,2,2,0,2.0327,w,2015-08-08 23:00:00,1,0,0,3,0.8389430000000001,15.15,7.35
1,h,0.391752,0.166221,0.391752,0.166221,2,3,0,0,1.4464000000000001,d,2015-08-15 22:00:00,0,1,0,1,0.22553099999999998,13.857142857142858,12.0
2,a,1.15678,0.384935,1.15678,0.384935,1,3,2,0,2.1007000000000002,w,2015-08-22 22:00:00,1,0,0,3,0.7718449999999999,21.6,5.045454545454546
3,h,0.304379,0.905213,0.304379,0.905213,0,2,1,1,0.6515,d,2015-08-29 22:00:00,0,1,0,1,-0.6008340000000001,22.05,9.526315789473685
4,a,0.735923,1.35999,0.735923,1.35999,1,10,1,3,0.8245,l,2015-09-12 22:00:00,0,0,1,0,-0.624067,10.96551724137931,10.387096774193548
5,h,1.88805,1.6602,1.12795,1.6602,3,4,1,0,1.5297999999999998,w,2015-09-19 22:00:00,1,0,0,3,-0.5322499999999999,15.947368421052632,7.7368421052631575
6,h,0.594462,0.179745,0.594462,0.179745,1,4,0,0,1.7253999999999998,d,2015-09-22 21:00:00,0,1,0,1,0.41471700000000006,12.73913043478261,10.178571428571429
7,a,1.09501,1.57087,0.334912,0.810771,2,10,2,1,0.9248999999999999,w,2015-09-27 16:00:00,1,0,0,3,-0.47585900000000003,18.428571428571427,5.576923076923077
8,h,2.30918,0.461843,1.54908,0.461843,5,7,1,0,2.6723999999999997,w,2015-10-03 22:00:00,1,0,0,3,1.087237,8.36,9.037037037037036
9,a,0.362657,1.66935,0.362657,1.66935,2,9,2,1,0.38560000000000005,w,2015-10-17 22:00:00,1,0,0,3,-1.3066929999999999,13.296296296296296,6.097560975609756
10,h,0.320128,1.03781,0.320128,1.03781,5,6,0,0,0.6348,d,2015-10-24 22:00:00,0,1,0,1,-0.7176819999999999,11.578947368421053,9.307692307692308
11,a,0.688198,2.10979,0.688198,2.10979,0,5,0,1,0.3286,l,2015-11-01 20:00:00,0,0,1,0,-1.421592,9.766666666666667,8.966666666666667
12,h,1.61712,0.803349,0.85702,0.803349,5,2,0,2,2.0582000000000003,l,2015-11-06 23:30:00,0,0,1,0,0.053671000000000024,15.304347826086957,8.696969696969697
13,a,0.379171,0.508898,0.379171,0.508898,8,4,0,0,1.0942,d,2015-11-22 17:00:00,0,1,0,1,-0.12972699999999998,11.590909090909092,15.272727272727273
14,h,1.41771,0.397994,1.41771,0.397994,5,4,2,0,2.3213,w,2015-11-28 23:00:00,1,0,0,3,1.019716,9.2,11.375
15,h,0.589837,0.653705,0.589837,0.653705,3,5,0,0,1.2453,d,2015-12-01 22:00:00,0,1,0,1,-0.06386800000000004,51.2,4.518518518518518
16,a,0.69754,0.700009,0.69754,0.700009,3,9,2,0,1.3186,w,2015-12-05 20:00:00,1,0,0,3,-0.0024689999999999435,30.333333333333332,6.0
17,h,1.38052,0.557138,1.38052,0.557138,0,0,1,1,2.0964,d,2015-12-13 20:00:00,0,1,0,1,0.823382,8.941176470588236,12.5
18,a,0.421122,1.10724,0.421122,1.10724,5,4,0,1,0.7221,l,2015-12-20 17:00:00,0,0,1,0,-0.686118,12.545454545454545,6.586206896551724
19,h,1.1889,1.04746,1.1889,1.04746,1,2,2,0,1.4577,w,2016-01-09 23:00:00,1,0,0,3,0.14144,11.866666666666667,14.041666666666666
20,a,0.622403,1.80834,0.622403,0.288149,1,2,1,2,0.37249999999999994,l,2016-01-15 23:30:00,0,0,1,0,0.33425400000000005,19.761904761904763,7.357142857142857
21,a,0.338627,2.62942,0.338627,2.62942,3,6,1,5,0.135,l,2016-01-23 20:00:00,0,0,1,0,-2.290793,26.153846153846153,6.647058823529412
22,h,2.36032,0.451676,2.36032,0.451676,0,1,3,0,2.7629,w,2016-01-30 20:00:00,1,0,0,3,1.9086440000000002,13.956521739130435,11.210526315789474
23,a,1.36757,0.759326,1.36757,0.759326,5,8,1,2,1.9324000000000001,l,2016-02-03 22:00:00,0,0,1,0,0.608244,15.333333333333334,7.214285714285714
24,h,0.3307,0.586887,0.3307,0.586887,3,8,0,3,0.9925999999999999,l,2016-02-06 20:00:00,0,0,1,0,-0.25618700000000005,16.76923076923077,5.5
25,a,0.65555,0.706743,0.65555,0.706743,2,5,0,1,1.2429,l,2016-02-12 23:30:00,0,0,1,0,-0.051193000000000044,18.045454545454547,6.636363636363637
26,h,1.59164,1.63244,1.59164,1.63244,2,8,2,3,1.3356999999999999,l,2016-02-20 23:00:00,0,0,1,0,-0.04079999999999995,12.73913043478261,5.052631578947368
27,a,1.02966,2.4048,0.269768,1.6447,2,5,2,2,0.3727,d,2016-02-27 23:00:00,0,1,0,1,-1.374932,18.8125,12.0
28,h,0.284604,1.16763,0.284604,1.16763,2,4,0,0,0.48719999999999997,d,2016-03-05 23:00:00,0,1,0,1,-0.8830259999999999,21.3125,5.428571428571429
29,a,0.17099,1.06253,0.17099,1.06253,1,3,0,2,0.4823,l,2016-03-13 20:00:00,0,0,1,0,-0.89154,10.458333333333334,7.405405405405405
30,h,4.14206,0.436345,3.38196,0.436345,6,3,5,1,2.9753000000000003,w,2016-03-19 23:00:00,1,0,0,3,2.945615,7.914285714285715,8.15
31,a,1.34081,1.81211,1.34081,1.81211,3,2,1,0,0.9732,w,2016-04-02 22:00:00,1,0,0,3,-0.47130000000000005,14.4,10.23076923076923
32,h,0.183063,0.190747,0.183063,0.190747,1,2,0,0,1.1139000000000001,d,2016-04-09 22:00:00,0,1,0,1,-0.007683999999999996,7.62962962962963,7.384615384615385
33,a,0.623143,1.62389,0.623143,1.62389,0,6,3,1,0.5221,w,2016-04-16 22:00:00,1,0,0,3,-1.000747,15.583333333333334,6.071428571428571
34,a,0.239742,0.902533,0.239742,0.902533,1,9,0,0,0.6217,d,2016-04-27 20:30:00,0,1,0,1,-0.662791,18.904761904761905,4.888888888888889
35,h,0.464125,1.40152,0.464125,1.40152,2,1,0,1,0.5724,l,2016-05-01 19:00:00,0,0,1,0,-0.9373950000000001,7.121212121212121,8.225806451612904
36,a,1.53551,1.32549,0.775412,1.32549,4,4,0,1,1.5484,l,2016-05-07 23:00:00,0,0,1,0,-0.5500780000000001,8.542857142857143,7.666666666666667
37,h,0.21944,2.12896,0.21944,1.36887,1,4,2,3,0.1376,l,2016-05-14 23:00:00,0,0,1,0,-1.14943,5.565217391304348,5.518518518518518
