,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.10655,1.59495,1.10655,1.59495,3,7,1,2,0.8745,0,0,1,0,-0.48840000000000017,7.026315789473684,11.434782608695652
1,2.5796,2.063432,2.5796,2.063432,10,9,2,3,3.0873999999999997,0,1,1,1,0.5161679999999997,7.293157894736842,10.217391304347826
2,3.274856,3.8254720000000004,3.274856,3.8254720000000004,15,16,2,3,3.5968999999999998,0,2,1,2,-0.5506160000000004,6.989556243550052,8.685157421289356
3,6.254996,4.18433,5.494896000000001,4.18433,24,18,4,3,6.494199999999999,1,2,1,5,1.3105659999999995,7.569090259585616,8.529493065967017
4,7.113048,5.73527,6.3529480000000005,5.73527,25,31,6,5,7.308299999999999,1,3,1,6,0.6176779999999995,9.298129350525636,7.355412634591795
5,9.268267999999999,7.31121,8.508168000000001,7.31121,35,37,7,6,9.059099999999999,1,4,1,7,1.1969579999999995,8.285026491291688,7.599748624064591
6,10.111493,9.77187,9.351393000000002,9.77187,39,44,8,12,9.428299999999998,1,4,2,7,-0.42047700000000043,9.170022706821447,8.006681086636645
7,11.670593,10.5658,10.910493000000002,10.5658,45,45,11,13,11.452699999999998,2,4,2,10,0.34469299999999947,9.898769868468767,8.538454646459238
8,12.426295,12.033249999999999,11.666195000000002,11.273159,45,47,13,16,12.144299999999998,2,4,3,10,0.3930359999999995,9.377853918171068,8.573864447646308
9,13.356675,12.371355999999999,12.596575000000001,11.611265,50,49,13,16,14.038999999999998,2,5,3,11,0.9853099999999995,8.908489578985542,8.816478002881677
10,14.09536,13.575026,13.335260000000002,12.814935,55,56,14,16,14.948199999999998,3,5,3,14,0.5203249999999995,8.848626889986855,8.83965532729503
11,14.380709,13.844574,13.620609000000002,13.084483,56,58,14,18,16.1377,3,5,4,14,0.5361259999999994,8.648597637660364,8.626454883353778
12,15.576449,15.003974,14.816349000000002,14.243883,61,62,17,19,17.540599999999998,4,5,4,17,0.5724659999999995,8.664944827925806,8.461555170841153
13,17.614779,16.612014,16.854679000000004,15.091833000000001,68,66,19,21,19.2473,4,6,4,18,1.7628459999999997,8.892448768788249,8.513243029008583
14,18.335271,18.345993999999997,17.575171000000005,16.825813,78,69,20,25,19.7933,4,6,5,18,0.7493579999999995,8.681670132920315,9.019026827074677
15,18.763491,19.304581999999996,18.003391000000004,17.784401,84,77,20,26,20.5964,4,6,6,18,0.21898999999999957,8.846302591718059,8.993799188844049
16,19.459843999999997,19.836242999999996,18.699744000000003,18.316062,88,79,21,26,22.0363,5,6,6,21,0.3836819999999995,8.75887302749935,9.290955386291724
17,20.016981999999995,21.216762999999997,19.256882,19.696582,88,79,22,27,22.657600000000002,5,7,6,22,-0.4397000000000004,8.966713414860498,9.271523224308197
18,21.407271999999995,21.535426999999995,20.647172,20.015245999999998,91,82,23,28,25.018500000000003,5,8,6,23,0.6319259999999995,9.017807445657313,9.168886663630323
19,23.173551999999994,23.207636999999995,22.413452,21.687455999999997,93,89,24,28,26.4262,6,8,6,26,0.7259959999999996,9.150917073374448,9.155442330448807
20,23.933672999999995,23.422830999999995,23.173573,21.902649999999998,99,90,25,28,28.275100000000002,7,8,6,29,1.2709229999999998,9.028884607695554,9.173250398746763
21,24.802525999999997,24.368868999999997,24.042426000000003,22.848688,101,91,27,30,29.526600000000002,7,9,6,30,1.1937379999999997,8.893274150320961,9.340200555447085
22,26.356325999999996,25.089688999999996,25.596226,23.569508,107,93,31,30,31.543400000000002,8,9,6,33,2.026718,9.124001361176571,9.527583139992863
23,27.459965999999994,27.574488999999996,26.699866,26.054308,109,105,31,33,31.946600000000004,8,9,7,33,0.6455579999999999,9.184806860016437,9.319257916567235
24,28.312102999999993,30.830288999999997,27.552003,28.550008,114,107,32,37,32.1007,8,9,8,33,-0.998005,9.049138723546815,9.344887599904546
25,30.417542999999995,31.644081999999997,29.657443,29.363801,119,111,36,39,34.4831,9,9,8,36,0.2936420000000002,9.01680005469245,9.239993732939892
26,31.666062999999994,32.122823,30.905963,29.842541999999998,129,113,36,39,36.5524,9,10,8,37,1.0634210000000002,9.1284463489631,9.208618303677568
27,32.68537299999999,33.641003,31.925273,31.360722,132,116,37,43,37.5086,9,10,9,37,0.564551,9.02770513320343,9.42681700062415
28,34.64571299999999,33.823809999999995,33.125513,31.543529,135,117,38,44,40.2768,9,11,9,38,1.581984,9.173301507920554,9.394857793706075
29,35.197655999999995,37.818549999999995,33.677456,34.018079,135,124,38,48,40.3128,9,11,10,38,-0.3406229999999997,9.164747013212091,9.295674361872862
30,36.19811599999999,38.83163,34.677915999999996,35.031159,140,126,39,49,41.5854,9,12,10,39,-0.35324299999999975,9.238285640026039,9.214247078310143
31,37.48336599999999,39.94383,35.963165999999994,36.143359000000004,141,129,41,50,43.1028,10,12,10,42,-0.18019299999999983,9.181732070918082,9.06145810711295
32,38.03120999999999,40.318439999999995,36.51100999999999,36.517969,142,131,41,50,44.5183,10,13,10,43,-0.0069589999999998264,9.459492495646519,8.91330524911266
33,39.65509999999999,40.941582999999994,38.134899999999995,37.141112,148,131,42,53,46.748900000000006,10,13,11,43,0.9937880000000002,9.359843556698932,9.109482545707387
34,41.96712999999999,43.298162999999995,40.446929999999995,38.737592,157,142,46,55,48.1052,11,13,11,46,1.7093380000000002,9.455684761201411,9.07518564180406
