,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.05977,0.394458,0.29968,0.394458,3,6,0,0,2.1294000000000004,d,2015-08-08 23:00:00,0,1,0,1,-0.09477799999999997,25.4,13.578947368421053
1,a,0.150143,1.58401,0.150143,1.58401,1,8,0,2,0.2694,l,2015-08-16 23:00:00,0,0,1,0,-1.433867,27.285714285714285,7.8
2,h,0.384935,1.15678,0.384935,1.15678,3,1,0,2,0.5983,l,2015-08-22 22:00:00,0,0,1,0,-0.7718449999999999,5.045454545454546,21.6
3,a,0.397943,0.756427,0.397943,0.756427,4,0,0,1,0.9145000000000001,l,2015-08-29 22:00:00,0,0,1,0,-0.35848399999999997,8.851851851851851,12.4
4,h,0.970684,2.98213,0.970684,2.22203,6,7,0,1,0.2891,l,2015-09-13 16:00:00,0,0,1,0,-1.2513460000000003,6.590909090909091,7.909090909090909
5,a,0.222122,1.31453,0.222122,1.31453,2,3,1,2,0.3843,l,2015-09-19 22:00:00,0,0,1,0,-1.092408,18.5,11.5
6,h,0.502333,1.6963,0.502333,1.6963,1,10,1,1,0.45130000000000003,d,2015-09-23 21:00:00,0,1,0,1,-1.1939669999999998,10.681818181818182,9.782608695652174
7,a,0.270893,2.22963,0.270893,2.22963,2,1,0,2,0.17099999999999999,l,2015-09-26 22:00:00,0,0,1,0,-1.9587369999999997,7.2592592592592595,11.26086956521739
8,h,0.807682,0.647119,0.807682,0.647119,3,5,2,2,1.5532,d,2015-10-03 22:00:00,0,1,0,1,0.160563,10.73076923076923,7.785714285714286
9,a,0.0897244,0.616442,0.0897244,0.616442,1,6,0,2,0.6425000000000001,l,2015-10-17 22:00:00,0,0,1,0,-0.5267176,23.266666666666666,9.826086956521738
10,h,0.65245,0.265865,0.65245,0.265865,3,2,3,1,1.6924000000000001,w,2015-10-24 22:00:00,1,0,0,3,0.38658499999999996,14.37037037037037,7.0
11,h,0.269548,0.285349,0.269548,0.285349,2,1,2,0,1.1865,w,2015-10-31 23:00:00,1,0,0,3,-0.01580100000000001,6.28125,6.448275862068965
12,a,0.900066,1.40753,0.900066,1.40753,0,4,2,1,0.9527999999999999,w,2015-11-07 23:00:00,1,0,0,3,-0.5074639999999999,12.625,9.047619047619047
13,a,1.91295,0.561993,1.15286,0.561993,5,8,2,1,2.4945999999999997,w,2015-11-22 17:00:00,1,0,0,3,0.590867,7.6,12.181818181818182
14,h,1.09623,0.987739,1.09623,0.227644,11,4,1,1,1.3806000000000003,d,2015-11-28 23:00:00,0,1,0,1,0.8685860000000001,11.7,9.851851851851851
15,a,0.968115,1.46601,0.968115,1.46601,4,2,2,0,0.9392,w,2015-12-02 22:00:00,1,0,0,3,-0.4978950000000001,17.352941176470587,5.814814814814815
