,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.05977,0.394458,0.29968,0.394458,3,6,0,0,2.1294000000000004,0,1,0,1,-0.09477799999999997,25.4,13.578947368421053
1,1.209913,1.978468,0.449823,1.978468,4,14,0,2,2.3988000000000005,0,1,1,1,-1.528645,26.34285714285714,10.689473684210526
2,1.594848,3.135248,0.834758,3.135248,7,15,0,4,2.9971000000000005,0,1,2,1,-2.30049,19.243722943722943,14.326315789473684
3,1.992791,3.8916749999999998,1.232701,3.8916749999999998,11,15,0,5,3.911600000000001,0,1,3,1,-2.6589739999999997,16.64575517075517,13.844736842105263
4,2.963475,6.873805,2.203385,6.1137049999999995,17,22,0,6,4.200700000000001,0,1,4,1,-3.91032,14.634785954785954,12.657607655502392
5,3.185597,8.188335,2.425507,7.428234999999999,19,25,1,8,4.585000000000001,0,1,5,1,-5.002728,15.278988295654962,12.464673046251994
6,3.68793,9.884635,2.92784,9.124534999999998,20,35,2,9,5.036300000000001,0,2,5,2,-6.196695,14.622249707963993,12.081520996166304
7,3.958823,12.114265,3.1987330000000003,11.354164999999998,22,36,2,11,5.207300000000001,0,2,6,2,-8.155432,13.701875901875901,11.97893956729769
8,4.766505,12.761384,4.0064150000000005,12.001283999999998,25,41,4,13,6.7605,0,3,6,3,-7.994869,13.371752938419604,11.513025647121758
9,4.8562294,13.377825999999999,4.0961394,12.617725999999998,26,47,4,15,7.4030000000000005,0,3,7,3,-8.5215866,14.36124431124431,11.344331778061754
10,5.5086794,13.643690999999999,4.7485894,12.883590999999997,29,49,7,16,9.095400000000001,1,3,7,6,-8.135001599999999,14.362073952983042,10.949392525510687
11,5.7782274000000005,13.929039999999999,5.0181374000000005,13.168939999999997,31,50,9,16,10.281900000000002,2,3,7,9,-8.150802599999999,13.688671956901123,10.574299470223876
12,6.6782934,15.336569999999998,5.9182034,14.576469999999997,31,54,11,17,11.234700000000002,3,3,7,12,-8.6582666,13.606851037139498,10.456862514638889
13,8.5912434,15.898562999999998,7.0710634,15.138462999999996,36,62,13,18,13.729300000000002,4,3,7,15,-8.0673996,13.177790248772391,10.580073633723126
14,9.6874734,16.886301999999997,8.1672934,15.366106999999996,47,66,14,19,15.109900000000003,4,4,7,16,-7.198813599999999,13.07927089885423,10.531525514931706
15,10.6555884,18.352311999999998,9.1354084,16.832116999999997,51,68,16,19,16.049100000000003,5,4,7,19,-7.696708599999999,13.346375291205252,10.2367310961744
16,12.002778399999999,19.715781999999997,10.482598399999999,18.195586999999996,58,73,17,20,17.388900000000003,5,5,7,20,-7.712988599999999,13.013979813717475,10.241188090517083
17,13.178898399999998,20.942591999999998,10.898620399999999,19.422396999999997,60,74,18,21,18.687200000000004,5,6,7,21,-8.5237766,12.755487108017121,10.087163752155023
18,14.672828399999998,22.134092,12.3925504,20.613896999999998,60,76,20,22,20.259800000000006,6,6,7,24,-8.2213466,12.46110158455107,10.114155133620548
19,15.125579399999998,23.987122,12.845301399999999,21.706836999999997,64,79,22,24,20.570400000000006,6,7,7,25,-8.8615356,12.42762983865685,10.010171514870555
20,17.586719399999996,24.640394999999998,15.306441399999999,22.360109999999995,72,84,24,26,23.217700000000008,6,8,7,26,-7.0536686,12.097742703482714,10.032544299876719
21,17.940882399999996,26.072685,15.660604399999999,23.792399999999994,74,92,24,27,23.67920000000001,6,8,8,26,-8.1317956,12.1217089442335,9.966379698833371
22,18.871271399999998,27.722165,16.5909934,24.681779999999993,79,94,24,31,24.422000000000008,6,8,9,26,-8.0907866,11.90669858092923,10.540963980702276
23,19.386853399999996,29.609185,17.106575399999997,26.568799999999992,83,101,25,34,24.795500000000008,6,8,10,26,-9.462224599999999,11.962252806723846,10.447436160518693
24,20.225432399999995,29.6527887,17.945154399999996,26.61240369999999,98,101,25,34,26.91070000000001,6,9,10,27,-8.667249299999998,11.597880341513717,11.180649825209057
25,22.500322399999995,30.4226887,20.220044399999995,27.38230369999999,115,103,27,37,29.352100000000007,6,9,11,27,-7.162259299999998,11.310585141001848,11.09677867808563
26,23.602802399999995,31.6356087,21.322524399999995,28.59522369999999,118,104,28,38,30.590500000000006,6,10,11,28,-7.2726992999999975,11.266318454867879,10.905764428504458
27,23.785609399999995,33.5959487,21.505331399999996,29.795463699999992,119,107,29,39,30.727100000000007,6,11,11,29,-8.290132299999998,11.167521367194025,10.989487127486441
28,25.144789399999993,34.696648700000004,22.864511399999994,30.896163699999992,125,112,30,40,32.26230000000001,6,12,11,30,-8.031652299999998,10.968258178286952,10.757598119033561
29,26.304689399999994,35.5980257,24.024411399999995,31.797540699999992,130,114,31,40,33.81450000000001,7,12,11,33,-7.773129299999997,10.787173381867863,10.87156053467362
30,26.740927399999993,37.5659857,24.460649399999994,33.76550069999999,133,122,31,43,34.12250000000001,7,12,12,33,-9.304851299999997,10.97312663206345,10.996133850759417
