,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.33457,0.914879,1.33457,0.914879,3,2,1,0,1.7515,w,2015-08-07 22:30:00,1,0,0,3,0.41969100000000004,11.9,7.368421052631579
1,h,1.58401,0.150143,1.58401,0.150143,8,1,2,0,2.5365,w,2015-08-16 23:00:00,1,0,0,3,1.433867,7.8,27.285714285714285
2,a,0.755727,0.372892,0.755727,0.372892,3,3,1,0,1.708,w,2015-08-21 22:30:00,1,0,0,3,0.38283500000000004,9.571428571428571,18.22222222222222
3,a,2.13619,0.13557,2.13619,0.13557,13,4,3,0,2.759,w,2015-08-30 23:00:00,1,0,0,3,2.00062,10.125,20.428571428571427
4,h,1.55094,0.858052,1.55094,0.858052,13,1,2,2,1.9196000000000002,d,2015-09-11 22:30:00,0,1,0,1,0.692888,2.659090909090909,16.214285714285715
5,a,1.48008,0.871294,1.48008,0.871294,9,2,1,1,1.8411,d,2015-09-19 19:30:00,0,1,0,1,0.608786,7.863636363636363,19.2
6,h,3.11111,0.415048,2.35101,0.415048,6,3,3,0,2.8846,w,2015-09-22 23:00:00,1,0,0,3,1.935962,5.678571428571429,42.0
7,a,1.86069,0.54464,1.86069,0.54464,6,2,4,1,2.4141,w,2015-09-26 19:30:00,1,0,0,3,1.31605,5.0,17.74074074074074
8,h,3.63872,1.77639,2.11853,1.0163,12,7,2,1,2.5399000000000003,w,2015-10-04 23:00:00,1,0,0,3,1.1022299999999998,5.534883720930233,15.0
9,a,1.78051,0.631104,1.78051,0.631104,8,4,2,0,2.2988999999999997,w,2015-10-17 19:00:00,1,0,0,3,1.149406,3.6578947368421053,15.419354838709678
10,h,4.46576,0.565349,4.46576,0.565349,15,2,4,1,2.9502,w,2015-10-26 00:00:00,1,0,0,3,3.9004110000000005,8.652173913043478,15.333333333333334
11,a,0.699325,0.185016,0.699325,0.185016,12,1,1,0,1.8094,w,2015-10-30 23:30:00,1,0,0,3,0.5143089999999999,6.722222222222222,10.186046511627907
