,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.59495,1.10655,1.59495,1.10655,7,3,2,1,1.797,w,2015-08-09 19:00:00,1,0,0,3,0.48840000000000017,11.434782608695652,7.026315789473684
1,h,0.941285,0.398183,0.941285,0.398183,4,1,1,0,1.8544,w,2015-08-16 16:00:00,1,0,0,3,0.543102,11.48,4.8125
2,a,0.395955,1.91418,0.395955,1.91418,3,6,0,1,0.2368,l,2015-08-22 22:00:00,0,0,1,0,-1.518225,14.904761904761905,13.73913043478261
3,h,2.42331,0.420695,2.42331,0.420695,4,3,4,1,2.6955,w,2015-08-29 22:00:00,1,0,0,3,2.002615,13.363636363636363,11.26923076923077
4,a,0.742111,2.22332,0.742111,2.22332,2,9,2,2,0.3755,d,2015-09-12 22:00:00,0,1,0,1,-1.4812090000000002,9.125,23.636363636363637
5,h,0.871294,1.48008,0.871294,1.48008,2,9,1,1,0.8775,d,2015-09-19 19:30:00,0,1,0,1,-0.608786,19.2,7.863636363636363
6,a,0.179745,0.594462,0.179745,0.594462,4,1,0,0,0.7804,d,2015-09-22 21:00:00,0,1,0,1,-0.41471700000000006,10.178571428571429,12.73913043478261
7,h,1.94384,0.888466,1.17118,0.888466,1,4,1,0,2.269,w,2015-09-25 22:30:00,1,0,0,3,0.28271400000000013,10.233333333333333,6.608695652173913
8,a,0.482603,1.8412,0.482603,1.08111,3,10,0,1,0.3416,l,2015-10-03 19:30:00,0,0,1,0,-0.598507,28.7,6.033333333333333
9,h,0.54891,1.33623,0.54891,1.33623,4,2,0,1,0.6704,l,2015-10-17 22:00:00,0,0,1,0,-0.78732,6.24,19.714285714285715
10,h,1.3777,1.69446,1.3777,1.69446,3,1,0,1,1.1625,l,2015-10-25 17:00:00,0,0,1,0,-0.31676000000000015,10.681818181818182,10.535714285714286
11,a,0.336436,3.28677,0.336436,3.28677,2,10,0,3,0.06130000000000001,l,2015-10-31 20:00:00,0,0,1,0,-2.9503340000000002,13.842105263157896,7.428571428571429
12,h,1.40753,0.900066,1.40753,0.900066,4,0,1,2,1.7472,l,2015-11-07 23:00:00,0,0,1,0,0.5074639999999999,9.047619047619047,12.625
13,a,0.578896,2.57283,0.578896,2.57283,1,6,1,3,0.1835,l,2015-11-21 23:00:00,0,0,1,0,-1.9939340000000003,10.703703703703704,9.708333333333334
14,h,1.15581,1.04313,1.15581,1.04313,1,4,2,2,1.4478,d,2015-11-28 23:00:00,0,1,0,1,0.11268000000000011,8.088235294117647,9.56
15,a,0.872848,0.736905,0.872848,0.736905,5,2,2,1,1.4658,w,2015-12-02 22:00:00,1,0,0,3,0.13594299999999993,6.870967741935484,5.5
16,h,1.40096,0.5584,1.40096,0.5584,5,5,1,1,2.1433999999999997,d,2015-12-05 23:00:00,0,1,0,1,0.84256,6.5,11.3
17,h,1.31908,0.802532,0.558984,0.802532,5,0,1,1,1.7979,d,2015-12-12 19:00:00,0,1,0,1,-0.243548,13.088235294117647,7.115384615384615
18,a,0.724764,0.595413,0.724764,0.595413,3,1,0,2,1.4329,l,2015-12-19 23:00:00,0,0,1,0,0.129351,9.1,12.909090909090908
19,h,0.663137,1.79276,0.663137,1.79276,0,3,1,3,0.3822,l,2016-01-09 23:00:00,0,0,1,0,-1.129623,5.027027027027027,6.424242424242424
20,a,0.653273,2.46114,0.653273,2.46114,5,8,2,2,0.23320000000000002,d,2016-01-16 23:00:00,0,1,0,1,-1.807867,10.48,5.5
21,h,1.93279,0.279599,1.93279,0.279599,2,3,1,1,2.6693000000000002,d,2016-01-24 20:00:00,0,1,0,1,1.653191,9.344827586206897,6.454545454545454
22,a,1.47085,1.5107,1.47085,1.5107,4,4,0,2,1.3121,l,2016-01-30 23:00:00,0,0,1,0,-0.03984999999999994,7.15625,10.76923076923077
23,h,0.759326,1.36757,0.759326,1.36757,8,5,2,1,0.7848999999999999,w,2016-02-03 22:00:00,1,0,0,3,-0.608244,7.214285714285714,15.333333333333334
24,a,2.39774,1.85273,2.39774,1.85273,1,4,2,0,1.7718,w,2016-02-06 23:00:00,1,0,0,3,0.5450100000000002,8.208333333333334,5.771428571428571
25,h,1.45592,0.53604,1.45592,0.53604,3,0,0,1,2.1697,l,2016-02-13 23:00:00,0,0,1,0,0.9198800000000001,3.85,9.3
26,a,0.678292,2.123,0.678292,2.123,1,12,1,4,0.391,l,2016-02-20 20:00:00,0,0,1,0,-1.4447080000000003,21.392857142857142,5.866666666666666
27,h,1.51818,1.01931,1.51818,1.01931,3,3,4,1,1.7698,w,2016-02-27 23:00:00,1,0,0,3,0.49887000000000015,15.318181818181818,6.3076923076923075
28,a,0.360193,1.57572,0.360193,1.57572,0,7,0,2,0.31389999999999996,l,2016-03-05 23:00:00,0,0,1,0,-1.215527,3.68,9.173913043478262
29,a,1.46734,1.27343,1.46734,1.27343,5,1,2,2,1.5288,d,2016-03-11 23:30:00,0,1,0,1,0.19391000000000003,9.25,7.2439024390243905
30,h,1.64607,0.216286,1.64607,0.216286,15,0,0,1,2.5552,l,2016-03-19 23:00:00,0,0,1,0,1.429784,2.3846153846153846,25.23076923076923
31,a,0.326441,1.13886,0.326441,1.13886,4,5,1,3,0.5983,l,2016-04-02 22:00:00,0,0,1,0,-0.812419,6.823529411764706,10.5
32,h,0.692415,1.64401,0.692415,1.64401,6,7,2,1,0.6326,w,2016-04-09 22:00:00,1,0,0,3,-0.951595,15.352941176470589,7.2105263157894735
33,a,1.09089,2.98887,1.09089,2.22877,5,11,1,2,0.289,l,2016-04-16 22:00:00,0,0,1,0,-1.13788,7.769230769230769,7.380952380952381
34,a,0.785928,2.08581,0.785928,1.32572,4,5,0,2,0.4296,l,2016-04-22 22:30:00,0,0,1,0,-0.539792,13.833333333333334,9.842105263157896
35,h,1.5813,1.19771,1.5813,1.19771,7,2,2,3,1.6953999999999998,l,2016-04-30 21:00:00,0,0,1,0,0.3835899999999999,10.0,12.88888888888889
36,a,1.64589,2.14991,1.64589,2.14991,3,9,0,1,1.0520999999999998,l,2016-05-07 23:00:00,0,0,1,0,-0.5040200000000001,8.777777777777779,7.413793103448276
37,h,2.4455,1.3093,1.68541,1.3093,2,4,4,1,2.2065,w,2016-05-14 23:00:00,1,0,0,3,0.37611000000000017,12.612903225806452,5.3125
