,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.460955,0.79874,0.460955,0.79874,6,1,2,1,0.8773,w,2015-08-08 23:00:00,1,0,0,3,-0.337785,8.73076923076923,5.88
1,a,1.36492,1.71708,1.36492,0.956981,1,5,1,1,1.0331000000000001,d,2015-08-16 19:00:00,0,1,0,1,0.40793899999999994,13.413793103448276,6.115384615384615
2,h,1.283,1.37129,1.283,1.37129,7,9,3,0,1.3016,w,2015-08-22 22:00:00,1,0,0,3,-0.08828999999999998,13.842105263157896,7.0
3,a,0.607724,1.86817,0.607724,1.86817,3,9,1,2,0.4433,l,2015-08-30 16:00:00,0,0,1,0,-1.260446,19.466666666666665,4.709677419354839
4,a,0.490543,1.62468,0.490543,1.62468,3,7,1,4,0.4687,l,2015-09-13 23:00:00,0,0,1,0,-1.134137,20.61111111111111,13.31578947368421
5,h,0.627561,1.89072,0.627561,1.89072,9,2,1,3,0.4318,l,2015-09-19 22:00:00,0,0,1,0,-1.263159,9.73076923076923,10.578947368421053
6,a,0.335527,2.50549,0.335527,2.50549,1,5,0,2,0.0887,l,2015-09-23 21:00:00,0,0,1,0,-2.169963,19.9,8.958333333333334
7,h,1.8254,1.182,1.8254,1.182,1,6,3,0,1.9438,w,2015-09-26 22:00:00,1,0,0,3,0.6434,9.066666666666666,6.576923076923077
8,a,0.461843,2.30918,0.461843,1.54908,7,5,0,1,0.2121,l,2015-10-03 22:00:00,0,0,1,0,-1.087237,9.037037037037036,8.36
9,h,0.631104,1.78051,0.631104,1.78051,4,8,0,2,0.48419999999999996,l,2015-10-17 19:00:00,0,0,1,0,-1.149406,15.419354838709678,3.6578947368421053
10,a,0.896565,0.369404,0.896565,0.369404,2,3,0,2,1.847,l,2015-10-24 22:00:00,0,0,1,0,0.527161,12.4,12.608695652173912
11,h,0.704916,0.282678,0.704916,0.282678,3,3,1,0,1.7126000000000001,w,2015-10-31 23:00:00,1,0,0,3,0.422238,4.823529411764706,6.928571428571429
12,a,0.623895,1.47952,0.623895,1.47952,1,3,1,1,0.592,d,2015-11-07 23:00:00,0,1,0,1,-0.855625,20.266666666666666,5.37037037037037
13,h,0.561993,1.91295,0.561993,1.15286,8,5,1,2,0.32830000000000004,l,2015-11-22 17:00:00,0,0,1,0,-0.590867,12.181818181818182,7.6
14,a,0.227311,1.11673,0.227311,1.11673,0,8,0,0,0.5085999999999999,d,2015-11-28 23:00:00,0,1,0,1,-0.889419,14.68421052631579,6.625
15,h,0.958588,0.42822,0.958588,0.42822,8,6,1,0,1.8330000000000002,w,2015-12-02 22:00:00,1,0,0,3,0.530368,8.615384615384615,11.31578947368421
16,h,0.2207,2.23633,0.2207,2.23633,3,10,1,2,0.1216,l,2015-12-05 23:00:00,0,0,1,0,-2.0156300000000003,8.958333333333334,12.157894736842104
17,a,0.48313,1.38713,0.48313,1.38713,2,5,1,1,0.542,d,2015-12-12 23:00:00,0,1,0,1,-0.9039999999999999,10.652173913043478,8.523809523809524
18,h,0.595413,0.724764,0.595413,0.724764,1,3,2,0,1.1719,w,2015-12-19 23:00:00,1,0,0,3,-0.129351,12.909090909090908,9.1
19,a,0.227448,2.58941,0.227448,2.58941,2,13,0,2,0.0616,l,2016-01-08 23:30:00,0,0,1,0,-2.361962,29.0,6.458333333333333
20,h,0.520743,0.845241,0.520743,0.845241,2,2,1,0,0.9098999999999999,w,2016-01-16 23:00:00,1,0,0,3,-0.32449800000000006,6.044444444444444,9.304347826086957
21,a,0.201846,2.02847,0.201846,1.26838,1,5,0,1,0.14150000000000001,l,2016-01-23 23:00:00,0,0,1,0,-1.066534,14.0,8.08695652173913
22,h,0.748198,0.408979,0.748198,0.408979,0,11,1,0,1.7155,w,2016-01-30 23:00:00,1,0,0,3,0.33921900000000005,13.8,2.8157894736842106
23,a,0.402997,1.2268,0.402997,1.2268,1,6,0,2,0.5573,l,2016-02-02 22:00:00,0,0,1,0,-0.8238029999999998,13.521739130434783,8.114285714285714
24,h,2.19574,0.352925,1.43564,0.352925,7,7,2,0,2.7226999999999997,w,2016-02-06 23:00:00,1,0,0,3,1.082715,17.22222222222222,7.2
25,a,0.53604,1.45592,0.53604,1.45592,0,3,1,0,0.5779000000000001,w,2016-02-13 23:00:00,1,0,0,3,-0.9198800000000001,9.3,3.85
26,a,0.646332,1.30364,0.646332,1.30364,3,9,2,0,0.7605999999999999,w,2016-02-26 23:30:00,1,0,0,3,-0.6573079999999999,12.205882352941176,4.2727272727272725
27,h,1.59793,0.100743,1.59793,0.100743,7,1,0,0,2.6306,d,2016-03-05 23:00:00,0,1,0,1,1.497187,6.7631578947368425,10.625
28,h,0.183823,0.344478,0.183823,0.344478,4,3,0,0,1.0218,d,2016-03-09 21:30:00,0,1,0,1,-0.16065500000000002,6.8,6.424242424242424
29,h,1.10643,1.08963,1.10643,1.08963,3,6,1,2,1.3349000000000002,l,2016-03-12 23:00:00,0,0,1,0,0.016799999999999926,10.071428571428571,7.71875
30,a,1.01308,1.00046,1.01308,1.00046,2,5,1,1,1.3922999999999999,d,2016-03-20 17:00:00,0,1,0,1,0.012620000000000076,6.771428571428571,11.444444444444445
31,h,0.967693,0.534944,0.207598,0.534944,4,2,2,1,1.8843,w,2016-04-03 19:00:00,1,0,0,3,-0.32734599999999997,9.833333333333334,3.8275862068965516
32,a,0.0534995,1.24664,0.0534995,1.24664,0,4,0,4,0.2893,l,2016-04-09 22:00:00,0,0,1,0,-1.1931405,9.473684210526315,5.2
33,h,0.926243,0.724081,0.926243,0.724081,6,4,0,1,1.4846999999999997,l,2016-04-16 22:00:00,0,0,1,0,0.20216200000000006,10.0,6.407407407407407
34,a,1.71155,1.52838,1.71155,0.768288,4,5,2,3,1.4934,l,2016-04-24 19:00:00,0,0,1,0,0.9432619999999999,6.321428571428571,8.107142857142858
35,a,0.458586,1.7164,0.458586,1.7164,1,7,0,0,0.3938,d,2016-04-30 21:00:00,0,1,0,1,-1.257814,11.125,7.857142857142857
36,h,1.32549,1.53551,1.32549,0.775412,4,4,1,0,1.1547999999999998,w,2016-05-07 23:00:00,1,0,0,3,0.5500780000000001,7.666666666666667,8.542857142857143
37,a,1.32918,1.33971,1.32918,1.33971,2,9,2,1,1.357,w,2016-05-14 23:00:00,1,0,0,3,-0.010529999999999928,16.941176470588236,10.565217391304348
