,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.460955,0.79874,0.460955,0.79874,6,1,2,1,0.8773,1,0,0,3,-0.337785,8.73076923076923,5.88
1,1.825875,2.5158199999999997,1.825875,1.7557209999999999,7,6,3,2,1.9104,1,1,0,4,0.07015399999999994,11.072281167108752,5.997692307692308
2,3.108875,3.88711,3.108875,3.1270109999999995,14,15,6,2,3.212,2,1,0,7,-0.01813600000000004,11.9955558657918,6.331794871794872
3,3.716599,5.75528,3.716599,4.995181,17,24,7,4,3.6553000000000004,2,1,1,7,-1.278582,13.863333566010517,5.926265508684864
4,4.207142,7.37996,4.207142,6.619860999999999,20,31,8,8,4.1240000000000006,2,1,2,7,-2.412719,15.212889075030636,7.404170301684734
5,4.834703,9.270679999999999,4.834703,8.510580999999998,29,33,9,11,4.5558000000000005,2,1,3,7,-3.675878,14.299202434320401,7.933299812807454
6,5.17023,11.776169999999999,5.17023,11.016070999999998,30,38,9,13,4.644500000000001,2,1,4,7,-5.845841,15.09931637227463,8.07973317288258
7,6.99563,12.958169999999999,6.99563,12.198070999999999,31,44,12,13,6.5883,3,1,4,10,-5.202441,14.345235159073635,7.891881910887642
8,7.457473,15.267349999999999,7.457473,13.747150999999999,38,49,12,14,6.800400000000001,3,1,5,10,-6.289678,13.755435367736235,7.9438950319001265
9,8.088577,17.04786,8.088577,15.527660999999998,42,57,12,16,7.284600000000001,3,1,6,10,-7.439084,13.921827314833578,7.515295002394325
10,8.985142000000002,17.417264,8.985142000000002,15.897064999999998,44,60,12,18,9.1316,3,1,7,10,-6.911923,13.783479377121436,7.978331425101559
11,9.690058000000002,17.699942,9.690058000000002,16.179743,47,63,13,18,10.8442,4,1,7,13,-6.489685,13.036816880008374,7.890851425390715
12,10.313953000000001,19.179462,10.313953000000001,17.659263,48,66,14,19,11.436200000000001,4,2,7,14,-7.34531,13.59295917128978,7.6969682673122275
13,10.875946,21.092412,10.875946,18.812123,56,71,15,21,11.764500000000002,4,2,8,14,-7.936177,13.492163386327523,7.6900419625042105
