,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.483519,0.928139,0.483519,0.928139,2,5,2,1,0.8782,w,2015-08-09 19:00:00,1,0,0,3,-0.44462000000000007,14.571428571428571,12.31578947368421
1,a,1.12809,1.53584,1.12809,1.53584,12,4,0,1,1.0069,l,2015-08-15 22:00:00,0,0,1,0,-0.40775000000000006,9.708333333333334,13.24
2,h,2.0162,1.42714,2.0162,1.42714,7,3,1,1,1.8604999999999998,d,2015-08-22 22:00:00,0,1,0,1,0.5890599999999999,8.580645161290322,7.518518518518518
3,a,1.40577,1.91483,1.40577,1.01331,3,5,1,3,0.9245,l,2015-08-29 22:00:00,0,0,1,0,0.39246000000000003,6.142857142857143,9.0
4,h,2.22332,0.742111,2.22332,0.742111,9,2,2,2,2.4551000000000003,d,2015-09-12 22:00:00,0,1,0,1,1.4812090000000002,23.636363636363637,9.125
5,a,1.57594,2.15522,1.57594,2.15522,6,10,1,1,1.0172999999999999,d,2015-09-20 16:00:00,0,1,0,1,-0.57928,8.821428571428571,3.2195121951219514
6,h,0.863681,0.649146,0.863681,0.649146,1,3,1,1,1.5191999999999999,d,2015-09-23 23:00:00,0,1,0,1,0.21453500000000003,10.5,7.103448275862069
7,a,1.182,1.8254,1.182,1.8254,6,1,0,3,0.8128,l,2015-09-26 22:00:00,0,0,1,0,-0.6434,6.576923076923077,9.066666666666666
8,a,0.647119,0.807682,0.647119,0.807682,5,3,2,2,1.078,d,2015-10-03 22:00:00,0,1,0,1,-0.160563,7.785714285714286,10.73076923076923
9,h,1.66935,0.362657,1.66935,0.362657,9,2,1,2,2.4169,l,2015-10-17 22:00:00,0,0,1,0,1.3066929999999999,6.097560975609756,13.296296296296296
10,a,0.726184,2.27945,0.726184,2.27945,1,15,0,3,0.38380000000000003,l,2015-10-23 22:30:00,0,0,1,0,-1.5532660000000003,20.0625,3.9210526315789473
11,h,0.709547,0.356524,0.709547,0.356524,2,6,1,1,1.6862,d,2015-10-31 23:00:00,0,1,0,1,0.35302300000000003,5.8108108108108105,5.694444444444445
12,a,0.218218,2.03364,0.218218,2.03364,2,7,0,5,0.1624,l,2015-11-07 20:00:00,0,0,1,0,-1.815422,28.3125,5.342105263157895
13,a,0.978971,1.40676,0.978971,0.646664,3,4,0,2,0.9369000000000001,l,2015-11-21 23:00:00,0,0,1,0,0.332307,6.258064516129032,6.636363636363637
14,h,2.32171,0.369796,1.56161,0.369796,2,0,2,0,2.7426,w,2015-11-28 23:00:00,1,0,0,3,1.191814,10.454545454545455,7.785714285714286
15,a,2.22313,1.02724,2.22313,1.02724,5,7,3,0,2.2656,w,2015-12-02 22:00:00,1,0,0,3,1.19589,10.125,6.444444444444445
16,h,2.28205,1.01913,2.28205,1.01913,12,1,2,3,2.2457,l,2015-12-05 23:00:00,0,0,1,0,1.2629199999999998,5.190476190476191,9.464285714285714
17,a,0.663031,1.06156,0.663031,1.06156,7,11,1,1,0.9733,d,2015-12-12 23:00:00,0,1,0,1,-0.398529,10.782608695652174,5.257142857142857
18,h,1.09533,1.53278,1.09533,1.53278,3,5,1,1,1.0274,d,2015-12-19 23:00:00,0,1,0,1,-0.4374500000000001,8.233333333333333,5.451612903225806
19,a,1.79276,0.663137,1.79276,0.663137,3,0,3,1,2.4023999999999996,w,2016-01-09 23:00:00,1,0,0,3,1.129623,6.424242424242424,5.027027027027027
20,h,0.672012,0.851646,0.672012,0.851646,3,10,0,1,1.1467,l,2016-01-16 20:00:00,0,0,1,0,-0.17963399999999996,26.545454545454547,4.884615384615385
21,a,1.39268,3.0319,0.632584,3.0319,6,7,0,4,0.31279999999999997,l,2016-01-24 17:00:00,0,0,1,0,-2.399316,5.818181818181818,5.578947368421052
22,h,2.35913,1.18688,0.838944,1.18688,5,4,1,2,2.3082,l,2016-01-30 23:00:00,0,0,1,0,-0.3479359999999999,6.428571428571429,12.695652173913043
23,a,0.736535,1.26807,0.736535,1.26807,7,7,0,1,0.8804000000000001,l,2016-02-03 22:00:00,0,0,1,0,-0.531535,14.75,6.333333333333333
24,h,0.560312,0.793973,0.560312,0.793973,6,5,0,0,1.0725,d,2016-02-06 23:00:00,0,1,0,1,-0.233661,6.935483870967742,6.088235294117647
25,a,0.508883,1.1956,0.508883,1.1956,8,4,0,2,0.6839,l,2016-02-13 23:00:00,0,0,1,0,-0.686717,7.96,11.038461538461538
26,h,1.21292,1.10248,1.21292,1.10248,1,3,1,1,1.4169,d,2016-02-20 23:00:00,0,1,0,1,0.1104400000000001,5.9393939393939394,10.115384615384615
27,h,0.489643,1.31675,0.489643,1.31675,4,6,1,2,0.6111,l,2016-02-27 23:00:00,0,0,1,0,-0.827107,7.7073170731707314,8.482758620689655
28,a,1.57247,1.60371,1.57247,1.60371,4,11,1,1,1.3716000000000002,d,2016-03-06 17:00:00,0,1,0,1,-0.031239999999999934,8.571428571428571,8.962962962962964
29,h,3.99474,0.551943,2.47455,0.551943,7,0,4,0,2.9412000000000003,w,2016-03-12 23:00:00,1,0,0,3,1.9226069999999997,6.419354838709677,8.916666666666666
30,a,0.904971,0.263497,0.904971,0.263497,7,0,0,1,2.0044,l,2016-03-19 23:00:00,0,0,1,0,0.641474,8.821428571428571,9.0
31,h,0.871213,0.241685,0.871213,0.241685,2,0,2,0,2.0166,w,2016-04-02 22:00:00,1,0,0,3,0.629528,7.333333333333333,4.25
32,h,1.24664,0.0534995,1.24664,0.0534995,4,0,4,0,2.4667000000000003,w,2016-04-09 22:00:00,1,0,0,3,1.1931405,5.2,9.473684210526315
33,a,0.739061,0.358837,0.739061,0.358837,4,3,1,1,1.7117,d,2016-04-16 22:00:00,0,1,0,1,0.38022399999999995,9.911764705882353,6.75
34,h,1.50107,1.08627,1.50107,1.08627,1,9,2,3,1.7999999999999998,l,2016-04-23 19:30:00,0,0,1,0,0.41479999999999984,7.564102564102564,3.25
35,a,2.18848,0.43469,1.42838,0.43469,7,5,0,0,2.6757000000000004,d,2016-04-30 19:00:00,0,1,0,1,0.99369,9.210526315789474,5.130434782608695
36,h,1.04631,0.142776,1.04631,0.142776,10,3,1,0,2.1656,w,2016-05-07 23:00:00,1,0,0,3,0.9035340000000001,5.757575757575758,6.064516129032258
37,a,2.12896,0.21944,1.36887,0.21944,4,1,3,2,2.7737,w,2016-05-14 23:00:00,1,0,0,3,1.14943,5.518518518518518,5.565217391304348
