,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.394458,1.05977,0.394458,0.29968,6,3,0,0,0.5763,0,1,0,1,0.09477799999999997,13.578947368421053,25.4
1,1.660968,3.29253,1.660968,1.77234,10,10,3,3,1.2403,0,2,0,2,-0.11137200000000008,14.629473684210527,18.35909090909091
2,1.928943,6.50283,1.928943,4.98264,16,14,3,9,1.2831,0,2,1,2,-3.0536970000000005,14.586315789473685,16.958692185007973
3,2.782545,7.271469000000001,2.782545,5.751279,22,20,3,9,2.6893,0,3,1,3,-2.9687340000000004,13.709736842105263,15.192703349282297
4,3.186857,8.884109,3.186857,7.363919,25,27,4,12,3.1138,0,3,2,3,-4.177062,12.501122807017543,16.166662679425837
5,4.8470569999999995,10.772159,4.8470569999999995,8.491869,29,30,4,13,4.3151,0,3,3,3,-3.6448120000000004,11.707076023391812,16.130113636363635
6,5.2685059999999995,12.329759000000001,5.2685059999999995,10.049469,32,38,4,14,4.7402,0,3,4,3,-4.780963000000001,12.094786967418544,15.167426595143988
7,6.233123999999999,13.575509,6.233123999999999,11.295219,36,42,5,15,5.87,0,4,4,4,-5.062095000000001,12.107938596491227,13.913739650061334
8,7.446603999999999,15.774779,7.446603999999999,13.494489,44,49,5,16,6.4757,0,4,5,4,-6.047885000000001,11.453970110461338,13.571472281536
9,8.327023999999998,17.612559,8.327023999999998,15.332269,56,53,5,19,7.1122,0,4,6,4,-7.005245,11.839823099415204,13.392585922947617
10,9.530693999999999,18.351244,9.530693999999999,16.070954,63,58,5,20,8.9085,0,4,7,4,-6.54026,11.588150869598238,12.925078111770562
11,9.897414,20.742894,9.897414,17.702514,65,75,5,21,9.0817,0,4,8,4,-7.8050999999999995,12.178027186020607,12.347988269123015
12,11.407174,23.999874,10.647082,20.199394,70,89,6,25,9.4567,0,4,9,4,-9.552311999999999,12.78826441102757,12.189809684318679
13,12.495274,25.365123999999998,11.735182,21.564644,77,97,7,26,10.615499999999999,0,5,9,5,-9.829462,12.451959810239886,11.8435987885
14,12.79003,28.509444,12.029938,23.948874,82,108,8,30,10.6793,0,5,10,5,-11.918935999999999,12.645485070202389,11.444766276674073
15,13.81727,30.732574,13.057178,26.172004,89,113,8,33,11.2232,0,5,11,5,-13.114825999999999,12.257920031092517,11.362280884381944
16,14.375670000000001,32.133534,13.615578000000001,27.572964000000002,94,118,9,34,11.8186,0,6,11,6,-13.957386,12.201571793969428,11.07626436177124
17,15.762800000000002,32.616664,15.002708000000002,28.056094,99,120,10,35,14.0373,0,7,11,7,-13.053386,11.997251667849433,11.052703781286365
18,16.175286000000003,33.925554,15.415194000000001,28.604893,102,135,10,35,14.5212,0,8,11,8,-13.189699,12.1085074280211,10.607540139881534
19,16.456434000000005,35.504514,15.696342000000001,30.183853,102,145,11,39,14.889800000000001,0,8,12,8,-14.487511,12.195729115443575,10.344350632887458
20,17.326844000000005,38.935584,16.566752,32.094733,105,154,13,43,15.017800000000001,0,8,13,8,-15.527981,12.174980109946262,10.375572031321388
21,18.093025000000004,40.775383999999995,17.332933,33.174433,109,169,16,44,15.5402,1,8,13,11,-15.8415,12.23066283222143,10.242338959190619
22,18.866285000000005,41.579688,18.106193,33.978737,112,177,16,45,16.820700000000002,1,8,14,11,-15.872544,12.34420380747954,10.275280743573635
23,20.153195000000004,43.768387999999995,19.393103,36.167437,118,182,16,49,17.590200000000003,1,8,15,11,-16.774334,12.325054289860198,10.331271030051719
24,20.506120000000003,45.964127999999995,19.746028,37.603077,125,189,16,51,17.766800000000003,1,8,16,11,-17.857049,12.12005211826579,10.606909077738537
25,21.276020000000003,48.239017999999994,20.515928,39.877967,127,206,19,53,18.155600000000003,2,8,16,14,-19.362039,12.000050113717105,10.357728156602636
26,22.470800000000004,51.49404799999999,21.710708,43.132996999999996,131,212,20,56,18.438000000000002,2,8,17,14,-21.422289,11.943068200673451,10.471259592397981
27,23.305548000000005,53.81252799999999,22.545456,45.451477,139,222,20,57,18.859900000000003,2,8,18,14,-22.906021,11.844572378691726,10.773756623761917
28,24.314788000000004,55.71124799999999,23.554696,47.350196999999994,141,230,21,59,19.576800000000002,2,8,19,14,-23.795500999999998,12.097696958225983,10.647321666292294
29,25.686508000000003,60.01457799999999,24.926416,50.728246999999996,146,237,21,68,19.689300000000003,2,8,20,14,-25.801831,12.336415701593758,10.501234473494316
30,26.224096000000003,61.371857999999996,25.464004,52.085527,149,240,22,70,20.382300000000004,2,8,21,14,-26.621523,12.21588616283267,10.430560613948893
31,28.036206000000004,62.712667999999994,27.276114,53.426337,151,243,22,71,22.133700000000005,2,8,22,14,-26.150223,12.153851258705687,10.55460559476299
32,28.238409000000004,64.76140799999999,27.478317,55.475077,152,248,22,72,22.290600000000005,2,8,23,14,-27.996760000000002,12.141030591192461,10.398405425224716
33,31.227279000000003,65.85229799999999,29.707087,56.565967,163,253,24,73,24.884500000000006,3,8,23,17,-26.858880000000003,12.001028290891284,10.321076758871953
34,33.352259000000004,67.469348,31.832067000000002,58.183017,166,254,25,77,26.670500000000008,3,8,24,17,-26.350950000000005,11.922087346525682,10.589214061559645
35,35.708839000000005,69.78137799999999,33.428547,60.495047,177,263,27,81,28.08320000000001,3,8,25,17,-27.066500000000005,11.810615223263605,10.648243829690925
36,35.851615,70.827688,33.571323,61.541357,180,273,27,82,28.57540000000001,3,8,26,17,-27.970034000000005,11.65531524774384,10.51606361152565
37,36.589199,73.283328,34.308907,63.236897,187,281,28,83,28.851900000000008,3,9,26,18,-28.927990000000005,12.09960857118378,10.468527132784311
