,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.16592,1.50131,1.16592,1.50131,3,7,3,2,1.0943,w,2016-08-13 19:00:00,1,0,0,3,-0.33538999999999985,11.5,5.03125
1,a,0.7395,1.58483,0.7395,1.58483,0,4,1,4,0.6476999999999999,l,2016-08-20 22:00:00,0,0,1,0,-0.8453299999999999,6.8076923076923075,5.645161290322581
2,h,1.70798,0.74034,1.70798,0.74034,3,6,1,0,2.261,w,2016-08-28 17:00:00,1,0,0,3,0.9676400000000001,8.633333333333333,6.405405405405405
3,a,1.5749,0.993332,1.5749,0.993332,3,5,3,1,1.8541,w,2016-09-10 19:00:00,1,0,0,3,0.581568,16.333333333333332,12.85
4,h,0.712968,1.13896,0.712968,1.13896,3,3,0,1,0.8751,l,2016-09-17 22:00:00,0,0,1,0,-0.4259919999999999,7.714285714285714,11.333333333333334
5,a,2.08591,0.446493,1.32581,0.446493,6,3,3,0,2.5926,w,2016-09-21 21:00:00,1,0,0,3,0.8793169999999999,12.95,11.807692307692308
6,h,0.854776,0.383979,0.854776,0.383979,1,4,0,0,1.7717,d,2016-09-24 22:00:00,0,1,0,1,0.47079699999999997,5.954545454545454,14.05
7,a,0.741264,2.34986,0.741264,2.34986,2,8,0,2,0.30300000000000005,l,2016-10-01 19:00:00,0,0,1,0,-1.608596,31.2,7.4375
8,a,0.684781,1.85899,0.684781,1.85899,4,4,1,1,0.5184,d,2016-10-16 17:00:00,0,1,0,1,-1.1742089999999998,12.076923076923077,9.84375
9,h,1.27082,1.05802,1.27082,1.05802,4,4,1,1,1.5206,d,2016-10-22 22:00:00,0,1,0,1,0.2128000000000001,6.153846153846154,9.4
10,a,0.155588,0.67475,0.155588,0.67475,3,3,0,0,0.6441,d,2016-10-30 23:45:00,0,1,0,1,-0.5191619999999999,19.347826086956523,12.318181818181818
11,h,0.568407,0.341301,0.568407,0.341301,2,5,2,1,1.5028000000000001,w,2016-11-05 23:00:00,1,0,0,3,0.22710599999999997,14.0,15.714285714285714
12,a,1.21317,1.55541,0.440486,1.55541,1,7,1,1,1.0657,d,2016-11-20 18:00:00,0,1,0,1,-1.114924,15.157894736842104,9.32
13,h,1.68047,0.762821,1.68047,0.762821,4,8,3,2,2.1599,w,2016-11-26 23:00:00,1,0,0,3,0.9176489999999999,6.0625,6.372093023255814
14,a,1.12617,0.941884,1.12617,0.941884,2,3,1,1,1.4978000000000002,d,2016-11-30 22:00:00,0,1,0,1,0.18428599999999984,9.727272727272727,11.347826086956522
15,h,1.58825,1.633,0.828151,1.633,4,3,0,1,1.3311000000000002,l,2016-12-03 23:00:00,0,0,1,0,-0.804849,8.558823529411764,11.944444444444445
16,h,0.672017,2.86318,0.672017,2.10309,3,5,0,4,0.146,l,2016-12-10 20:30:00,0,0,1,0,-1.431073,12.0,7.833333333333333
17,a,0.52356,2.31433,0.52356,2.31433,4,6,0,4,0.2994,l,2016-12-17 23:00:00,0,0,1,0,-1.79077,7.392857142857143,16.782608695652176
18,h,1.74302,1.25509,1.74302,1.25509,7,3,0,0,1.7764,d,2016-12-21 23:50:00,0,1,0,1,0.48793,13.5,14.6875
19,a,1.23347,0.445787,1.23347,0.445787,1,4,1,1,2.0442,d,2017-01-14 23:00:00,0,1,0,1,0.7876830000000001,10.1,9.75
20,h,2.30809,0.317713,1.548,0.317713,4,1,1,0,2.7689999999999997,w,2017-01-21 22:00:00,1,0,0,3,1.2302870000000001,8.303030303030303,4.325581395348837
21,a,1.11632,1.02531,1.11632,1.02531,5,7,2,0,1.4038,w,2017-01-28 22:00:00,1,0,0,3,0.09101000000000004,15.625,7.424242424242424
22,h,1.25163,1.60641,1.25163,1.60641,2,6,1,1,1.0884,d,2017-02-04 19:00:00,0,1,0,1,-0.3547799999999999,16.94736842105263,8.826086956521738
