,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.699022,2.49641,0.699022,1.73631,2,9,2,2,0.2532,d,2016-08-12 22:30:00,0,1,0,1,-1.037288,12.285714285714286,2.6052631578947367
1,h,1.24688,0.719975,1.24688,0.719975,7,4,2,1,1.7775,w,2016-08-21 17:00:00,1,0,0,3,0.526905,12.037037037037036,3.8285714285714287
2,a,1.59434,1.42221,1.59434,0.662115,8,7,2,0,1.4872999999999998,w,2016-08-27 22:00:00,1,0,0,3,0.9322250000000001,20.4375,6.535714285714286
3,h,0.703262,0.161811,0.703262,0.161811,7,2,1,1,1.8487,d,2016-09-10 22:00:00,0,1,0,1,0.541451,7.12,7.76
4,a,0.921267,1.70053,0.161172,0.940503,1,9,1,2,0.6143000000000001,l,2016-09-17 22:00:00,0,0,1,0,-0.779331,20.0,8.80952380952381
5,h,1.63848,0.765705,0.878382,0.765705,4,5,1,0,2.1749,w,2016-09-21 21:00:00,1,0,0,3,0.11267700000000003,21.133333333333333,11.26086956521739
6,a,0.0771213,0.98055,0.0771213,0.98055,1,5,0,1,0.37179999999999996,l,2016-09-24 22:00:00,0,0,1,0,-0.9034287000000001,4.951219512195122,2.526315789473684
7,a,0.397185,1.63564,0.397185,0.875546,3,5,0,1,0.3565,l,2016-09-30 22:45:00,0,0,1,0,-0.47836100000000004,16.842105263157894,4.694444444444445
8,h,1.8024,0.605277,1.8024,0.605277,6,5,1,0,2.3226,w,2016-10-15 22:00:00,1,0,0,3,1.197123,13.647058823529411,4.525
9,a,1.2213,1.84645,1.2213,1.08635,4,7,3,1,0.8551,w,2016-10-22 19:00:00,1,0,0,3,0.13495000000000013,16.2,7.294117647058823
10,h,1.14355,1.1945,1.14355,1.1945,4,1,1,0,1.3002,w,2016-10-29 22:00:00,1,0,0,3,-0.05094999999999983,13.26086956521739,13.142857142857142
11,a,0.556753,2.31365,0.556753,2.31365,7,3,3,3,0.2436,d,2016-11-05 23:00:00,0,1,0,1,-1.756897,9.318181818181818,14.26086956521739
12,h,1.55541,1.21317,1.55541,0.440486,7,1,1,1,1.5957999999999999,d,2016-11-20 18:00:00,0,1,0,1,1.114924,9.32,15.157894736842104
13,a,1.04415,1.09524,1.04415,1.09524,9,1,1,1,1.291,d,2016-11-26 23:00:00,0,1,0,1,-0.05109000000000008,10.875,14.38888888888889
14,h,0.589566,0.893454,0.589566,0.893454,6,7,0,1,1.0273,l,2016-11-30 22:00:00,0,0,1,0,-0.30388799999999994,7.861111111111111,12.588235294117647
15,h,1.41031,0.491439,1.41031,0.491439,3,5,2,0,2.1622,w,2016-12-03 23:00:00,1,0,0,3,0.918871,9.95,15.666666666666666
16,a,1.5297,0.62768,1.5297,0.62768,6,1,0,1,2.0842,l,2016-12-11 20:00:00,0,0,1,0,0.90202,6.5625,12.25
17,h,0.914417,1.69325,0.914417,1.69325,4,11,2,1,0.7168,w,2016-12-17 20:00:00,1,0,0,3,-0.7788329999999999,17.36,4.1923076923076925
18,a,1.6707,1.11607,1.6707,1.11607,6,8,2,2,1.7984,d,2016-12-21 23:50:00,0,1,0,1,0.5546300000000002,10.0,12.178571428571429
