,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.9864,2.27284,1.22631,2.27284,7,8,2,3,1.1779,l,2016-08-13 22:00:00,0,0,1,0,-1.04653,12.666666666666666,8.958333333333334
1,h,0.349438,2.25743,0.349438,1.49734,2,7,0,3,0.1655,l,2016-08-20 22:00:00,0,0,1,0,-1.1479019999999998,11.24,21.583333333333332
2,a,0.486662,1.46546,0.486662,1.46546,5,6,0,2,0.5698000000000001,l,2016-08-26 22:45:00,0,0,1,0,-0.9787980000000001,9.423076923076923,7.382352941176471
3,h,1.09603,0.737229,1.09603,0.737229,7,2,0,2,1.7019000000000002,l,2016-09-10 22:00:00,0,0,1,0,0.35880100000000004,5.75,16.64
4,h,1.29048,0.5211,0.530383,0.5211,3,3,1,0,2.1471,w,2016-09-17 22:00:00,1,0,0,3,0.009283000000000041,19.818181818181817,8.4
5,a,0.765705,1.63848,0.765705,0.878382,5,4,0,1,0.5846,l,2016-09-21 21:00:00,0,0,1,0,-0.11267700000000003,11.26086956521739,21.133333333333333
6,h,1.51128,1.41603,1.51128,1.41603,4,9,1,0,1.4385,w,2016-09-24 19:00:00,1,0,0,3,0.09525000000000006,12.9375,8.952380952380953
7,a,1.01408,0.659556,1.01408,0.659556,4,4,1,2,1.6446,l,2016-10-02 19:00:00,0,0,1,0,0.35452400000000006,13.90625,12.666666666666666
8,h,0.718424,0.455531,0.718424,0.455531,5,1,1,2,1.5348,l,2016-10-15 22:00:00,0,0,1,0,0.26289299999999993,10.80952380952381,13.714285714285714
9,a,2.36061,1.40274,2.36061,1.40274,7,5,0,1,2.1562,l,2016-10-22 22:00:00,0,0,1,0,0.9578699999999998,18.8,8.791666666666666
10,h,1.51804,1.3536,1.51804,1.3536,1,3,2,2,1.4694,d,2016-10-29 22:00:00,0,1,0,1,0.16444000000000014,9.125,15.238095238095237
11,a,0.341301,0.568407,0.341301,0.568407,5,2,1,2,1.0195,l,2016-11-05 23:00:00,0,0,1,0,-0.22710599999999997,15.714285714285714,14.0
12,h,1.14162,1.59088,1.14162,1.59088,4,3,0,3,0.9668999999999999,l,2016-11-18 22:00:00,0,0,1,0,-0.44926,9.166666666666666,9.041666666666666
13,a,2.24203,1.36754,1.48193,1.36754,4,4,3,3,2.0773,d,2016-11-26 23:00:00,0,1,0,1,0.11438999999999999,9.0,16.5
14,h,1.70587,1.82082,1.70587,1.82082,3,3,2,1,1.2879,w,2016-11-29 22:00:00,1,0,0,3,-0.11495000000000011,12.869565217391305,10.0
15,a,0.711635,1.95013,0.711635,1.19004,1,5,2,2,0.476,d,2016-12-03 23:00:00,0,1,0,1,-0.47840499999999997,21.0,25.833333333333332
16,a,1.39793,1.50587,1.39793,1.50587,7,4,2,3,1.1894,l,2016-12-10 23:00:00,0,0,1,0,-0.10794000000000015,11.6875,13.956521739130435
17,h,2.16637,0.372589,2.16637,0.372589,11,3,2,1,2.6113000000000004,w,2016-12-17 23:00:00,1,0,0,3,1.793781,8.75,26.818181818181817
18,a,0.102987,2.03863,0.102987,1.27854,1,10,0,5,0.10170000000000001,l,2016-12-21 23:50:00,0,0,1,0,-1.175553,25.8,9.73913043478261
19,h,2.30164,0.829481,1.43928,0.829481,5,8,3,1,2.4671,w,2017-01-14 23:00:00,1,0,0,3,0.6097989999999999,9.095238095238095,10.75
20,a,0.202056,2.50542,0.202056,2.50542,4,5,0,4,0.1129,l,2017-01-22 17:00:00,0,0,1,0,-2.303364,11.909090909090908,9.7
21,h,2.64697,1.50632,1.12678,1.50632,7,4,2,3,2.2239,l,2017-01-28 19:00:00,0,0,1,0,-0.3795400000000002,4.733333333333333,18.470588235294116
22,a,1.85321,0.520617,1.85321,0.520617,9,4,1,0,2.4528,w,2017-02-04 19:00:00,1,0,0,3,1.3325930000000001,13.12,12.45
23,h,0.431062,1.14622,0.431062,1.14622,6,3,1,1,0.6971,d,2017-02-08 18:00:00,0,1,0,1,-0.715158,7.818181818181818,9.125
24,a,0.175945,2.30427,0.175945,2.30427,1,4,0,4,0.0502,l,2017-02-12 16:00:00,0,0,1,0,-2.128325,21.25,5.395348837209302
25,h,1.14696,0.42579,1.14696,0.42579,4,1,0,1,2.0006,l,2017-02-18 19:00:00,0,0,1,0,0.72117,10.848484848484848,17.166666666666668
26,a,0.238262,1.50914,0.238262,1.50914,4,3,0,1,0.3654,l,2017-02-25 19:00:00,0,0,1,0,-1.270878,6.75,6.260869565217392
27,h,1.16006,3.12605,1.16006,3.12605,7,5,1,4,0.2782,l,2017-03-05 14:00:00,0,0,1,0,-1.9659900000000001,8.208333333333334,17.647058823529413
28,h,0.232821,1.34893,0.232821,1.34893,3,11,1,2,0.4051,l,2017-03-12 20:00:00,0,0,1,0,-1.116109,18.57894736842105,13.875
29,a,1.57221,1.86956,1.57221,1.10947,8,3,3,2,1.1373,w,2017-03-18 19:00:00,1,0,0,3,0.46274000000000015,16.083333333333332,8.305555555555555
30,h,1.71214,1.20731,1.71214,1.20731,2,4,1,0,1.7477,w,2017-04-02 16:00:00,1,0,0,3,0.5048299999999999,9.25925925925926,10.428571428571429
31,a,1.79205,1.14119,1.79205,1.14119,5,14,4,1,1.9183,w,2017-04-08 19:00:00,1,0,0,3,0.65086,25.142857142857142,4.821428571428571
32,a,0.761605,1.12102,0.761605,1.12102,2,2,0,2,1.0201,l,2017-04-15 19:00:00,0,0,1,0,-0.35941499999999993,7.321428571428571,21.352941176470587
33,h,3.32905,1.34808,3.32905,0.587983,8,4,5,1,2.5483,w,2017-04-22 19:00:00,1,0,0,3,2.741067,9.466666666666667,22.933333333333334
34,a,0.135433,1.43131,0.135433,1.43131,1,7,0,1,0.3087,l,2017-04-29 19:00:00,0,0,1,0,-1.2958770000000002,26.307692307692307,7.28
35,h,0.806118,0.711157,0.806118,0.711157,4,7,1,1,1.4221,d,2017-05-06 19:00:00,0,1,0,1,0.09496099999999996,9.64,16.666666666666668
36,a,0.357563,1.12194,0.357563,1.12194,1,2,0,2,0.5661,l,2017-05-14 20:00:00,0,0,1,0,-0.7643769999999999,8.035714285714286,11.736842105263158
37,h,0.694193,1.30843,0.694193,1.30843,5,2,1,1,0.7689,d,2017-05-20 20:00:00,0,1,0,1,-0.614237,20.157894736842106,10.705882352941176
