,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,2.32475,0.378703,2.32475,0.378703,7,6,3,0,2.7061,w,2016-08-14 17:00:00,1,0,0,3,1.9460469999999999,7.36,6.595238095238095
1,h,2.84412,0.458346,1.32393,0.458346,7,0,2,0,2.8174,w,2016-08-19 22:45:00,1,0,0,3,0.8655840000000001,3.857142857142857,10.75
2,a,2.38079,1.99507,2.38079,1.23498,10,7,2,4,1.6074,l,2016-08-27 19:00:00,0,0,1,0,1.1458100000000002,8.4,17.0
3,h,0.993332,1.5749,0.993332,1.5749,5,3,1,3,0.8704000000000001,l,2016-09-10 19:00:00,0,0,1,0,-0.581568,12.85,16.333333333333332
4,a,0.980569,0.793567,0.980569,0.793567,4,5,0,0,1.5456,d,2016-09-18 22:45:00,0,1,0,1,0.187002,5.108108108108108,7.515151515151516
5,h,2.33108,0.510154,1.57099,0.510154,8,0,5,1,2.6691,w,2016-09-21 21:00:00,1,0,0,3,1.0608360000000001,6.46875,24.705882352941178
6,a,1.41603,1.51128,1.41603,1.51128,9,4,0,1,1.2881999999999998,l,2016-09-24 19:00:00,0,0,1,0,-0.09525000000000006,8.952380952380953,12.9375
7,h,1.74626,1.07715,1.74626,1.07715,8,3,2,0,1.8578000000000001,w,2016-10-02 22:45:00,1,0,0,3,0.6691099999999999,7.75,9.0
8,a,0.232951,1.67971,0.232951,0.919617,4,3,0,2,0.23720000000000002,l,2016-10-14 22:45:00,0,0,1,0,-0.686666,14.8125,12.818181818181818
9,h,1.84645,1.2213,1.08635,1.2213,7,4,1,3,1.8639999999999999,l,2016-10-22 19:00:00,0,0,1,0,-0.13495000000000013,7.294117647058823,16.2
10,a,1.78097,0.994552,1.02088,0.994552,2,5,2,1,2.1069999999999998,w,2016-10-29 19:00:00,1,0,0,3,0.026328000000000018,6.6,6.16
11,h,2.8154,0.643765,2.05531,0.643765,7,0,2,1,2.7207,w,2016-11-05 23:00:00,1,0,0,3,1.4115449999999998,5.5,16.571428571428573
12,a,1.57175,0.517087,1.57175,0.517087,10,4,1,0,2.2641,w,2016-11-18 23:45:00,1,0,0,3,1.0546630000000001,6.857142857142857,11.03125
