,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.31706,1.87778,0.796872,1.87778,4,4,3,2,1.7306,1,0,0,3,-1.080908,11.666666666666666,15.214285714285714
1,3.313498,5.7344,1.79331,5.7344,7,27,3,5,1.8655,1,0,1,3,-3.94109,21.333333333333332,10.164285714285715
2,3.761499,6.84129,2.241311,6.84129,8,33,5,5,2.6338999999999997,2,0,1,6,-4.599979,20.81196581196581,9.95266106442577
3,5.075359000000001,7.694307,2.795074,7.694307,14,37,8,5,4.439699999999999,3,0,1,9,-4.899233000000001,18.124599358974358,9.898706324635118
4,6.049048000000001,9.375467,3.008668,8.615508,19,40,8,5,5.131899999999999,3,1,1,10,-5.606840000000001,16.424679487179485,8.895888136631172
5,6.495541000000001,11.461377,3.455161,9.941318,22,46,8,8,5.398899999999999,3,1,2,10,-6.486157,15.655181623931623,9.571573447192643
6,7.5879210000000015,13.012547000000001,3.787445,11.492488000000002,22,57,9,8,6.385999999999999,4,1,2,13,-7.705043,14.675869963369962,8.632777240450837
7,7.9303560000000015,16.147087000000003,4.12988,13.866938000000001,23,60,9,15,6.448299999999999,4,1,3,13,-9.737058,14.709441773504272,8.370987777702174
8,8.873358000000001,18.115717000000004,5.072882,15.835568000000002,27,69,9,16,7.028999999999999,4,1,4,13,-10.762685999999999,14.958897738064403,8.338313922060053
9,10.232008,20.394097000000002,6.431532,17.353858000000002,32,75,11,20,7.722299999999999,4,1,5,13,-10.922325999999998,15.038683639933637,9.122664348035865
10,10.977746,21.272154,7.17727,18.231915,36,80,11,21,8.908499999999998,4,1,6,13,-11.054644999999999,14.754534534327023,9.183482740638667
11,11.664855,21.794051,7.864379,18.753812,44,84,11,21,10.357199999999999,4,2,6,14,-10.889432999999999,14.387308830379482,9.307081401141
12,12.721364999999999,22.71886,8.160789,19.678621,44,90,13,22,11.884599999999999,5,2,6,17,-11.517831999999999,14.475162902250743,8.975767447207078
13,14.088904999999999,24.96089,9.528329,21.160550999999998,48,94,16,25,12.579799999999999,5,3,6,18,-11.632221999999999,14.619794123518547,8.977498343835142
14,14.414444,25.897748999999997,9.853867999999999,22.097409999999996,51,99,16,29,13.3294,5,3,7,18,-12.243541999999998,14.24180784861731,8.708728183975863
15,15.285566,26.845325999999996,10.724989999999998,23.044986999999995,53,102,16,31,14.62,5,3,8,18,-12.319996999999997,13.72101303989691,8.647387217931916
16,15.896549,28.883425999999996,11.335973,25.083086999999995,54,106,16,34,15.008799999999999,5,3,9,18,-13.747113999999996,13.590365214020622,8.63731682135889
17,17.012619,30.554125999999997,12.452043,26.753786999999996,62,112,18,36,15.931799999999999,5,4,9,19,-14.301743999999996,13.51193222594011,8.713021442394508
18,17.996114000000002,31.091353999999995,13.435538,27.291014999999994,66,118,18,36,17.7212,5,5,9,20,-13.855476999999995,13.52749854603233,8.562971312032547
19,19.251054000000003,32.187383999999994,14.690477999999999,28.387044999999993,67,122,20,36,19.2545,6,5,9,23,-13.696566999999995,13.241864359471455,8.66882274643092
20,19.420269000000005,35.162054,14.859692999999998,31.361714999999993,67,127,21,38,19.2857,6,5,10,23,-16.502021999999997,13.697013675687101,8.59955907823353
21,19.953526000000004,35.575922999999996,15.392949999999999,31.77558399999999,68,130,22,38,20.673199999999998,7,5,10,26,-16.382633999999996,13.794517838753956,8.369654877707761
22,21.659356000000002,36.479026,16.338683,32.67868699999999,76,135,24,39,22.7166,8,5,10,29,-16.340003999999997,13.69475619359074,8.373345772352879
23,21.992353,38.854676,16.67168,35.05433699999999,76,143,24,44,22.9126,8,5,11,29,-18.382656999999995,14.233115711165487,8.425772154645193
24,23.338323000000003,39.324504,17.257551,35.52416499999999,79,149,25,45,25.154400000000003,8,6,11,30,-18.266613999999993,13.96532954425733,8.36328672300484
