,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.879179,0.49342,0.879179,0.49342,4,5,1,0,1.7046,1,0,0,3,0.385759,7.724137931034483,9.576923076923077
1,2.347609,2.08243,2.347609,2.08243,5,10,2,3,3.005,1,0,1,3,0.2651789999999999,9.04064039408867,7.569711538461538
2,3.346714,3.09313,3.346714,3.09313,8,11,3,4,4.3431999999999995,1,1,1,4,0.253584,8.90328407224959,7.806474358974358
3,3.508525,3.796392,3.508525,3.796392,10,18,4,5,5.0318,1,2,1,5,-0.28786700000000004,8.617463054187192,7.634855769230769
4,5.836965,4.8840520000000005,5.076865,4.8840520000000005,15,22,5,6,7.382899999999999,1,3,1,6,0.19281299999999996,8.332431981811293,9.245384615384614
5,6.347119,7.2151320000000005,5.587019,6.455042000000001,15,30,6,11,7.5947,1,3,2,6,-0.8680230000000002,11.061340376999608,8.78261217948718
6,7.898289,8.307512000000001,7.138189,6.787326,26,30,6,12,9.2913,1,3,3,6,0.3508629999999997,9.90972032314252,8.785096153846153
7,9.298719,8.847061,8.538619,7.326875,30,33,9,15,11.3537,1,4,3,7,1.211744,10.37933861608304,9.10143281882591
8,10.617389,10.150851,9.857289000000002,8.630665,32,39,12,17,12.6812,2,4,3,10,1.226624,10.413213272775568,9.602508184635376
9,11.828878999999999,13.050251,10.308683000000002,10.769975,34,45,14,23,13.0023,2,4,4,10,-0.46129200000000004,11.133003056609123,9.58225736617184
10,13.182478999999999,14.568290999999999,11.662283000000002,12.288015000000001,37,46,16,25,14.2326,2,5,4,11,-0.6257320000000002,11.506193254926043,9.540688514701673
11,14.923328999999999,16.033870999999998,13.403133000000002,13.753595,45,50,19,26,15.8369,3,5,4,14,-0.3504620000000003,12.344962864634587,9.358131138476532
12,16.343439,16.735723999999998,14.823243000000002,14.455448,49,54,20,27,17.8285,3,6,4,15,0.36779499999999976,12.426119567355004,9.364428743209107
13,16.986272,17.090923999999998,15.466076000000001,14.810648,54,54,20,27,19.397299999999998,3,7,4,16,0.6554279999999997,12.714363774082392,9.435336894204374
14,17.324704999999998,17.920467,15.804509000000001,15.640191,57,56,20,28,20.0433,3,7,5,16,0.16431799999999963,12.25483476057214,9.284885863162177
15,17.862194,19.138167,16.341998,16.857891,59,63,23,28,20.7745,4,7,5,19,-0.5158930000000004,12.817711935862466,8.992886948327445
16,19.195704,20.855587,17.675508,18.575311,65,69,24,30,21.8116,4,7,6,19,-0.8998030000000004,12.625595006572382,9.243305363131713
17,21.510033999999997,21.379147,19.989838,19.098871,71,73,28,30,24.3664,5,7,6,22,0.8909669999999996,12.85654021152126,9.14050268422757
18,22.875334,22.299452,21.355138,19.259081,79,74,28,31,26.0535,5,7,7,22,2.0960569999999996,12.876622055025154,9.318462497185845
19,23.875964,23.25209,22.355768,20.211719,85,74,29,32,27.3436,5,8,7,23,2.1440489999999994,12.917790952273895,9.652539372326553
20,24.971994,24.50703,23.451798,21.466659,89,75,29,34,28.479999999999997,5,8,8,23,1.9851389999999995,12.811229478356092,9.565028679111707
21,25.824520999999997,28.07732,24.304325,24.276859,95,86,30,39,28.618499999999997,5,8,9,23,0.027465999999999546,13.081714718517395,9.560990578978924
22,27.439061,28.980282,25.918865,25.179821,102,88,32,40,30.5585,6,8,9,26,0.7390439999999996,12.891826500942104,9.575247027235879
23,28.624191,30.421872,27.103995,26.621411000000002,105,92,33,42,31.7017,6,8,10,26,0.4825839999999997,12.607192315928103,9.451919426742077
24,30.308501,31.341489,28.788305,27.541028,109,94,36,42,33.7151,7,8,10,29,1.2472769999999995,12.544643753725762,9.565271221100964
25,31.752571,31.71257,30.232375,27.912109,115,97,38,43,36.0028,8,8,10,32,2.3202659999999993,12.406479799827885,9.601742078501447
26,33.010451,32.83643,31.490255,29.035969,121,106,39,45,37.4927,8,8,11,32,2.4542859999999993,12.750099456364474,9.574311301931434
27,33.709542000000006,33.74254,32.189346,29.942079,130,111,40,46,38.5906,8,9,11,33,2.2472669999999995,13.050233266988817,9.8208069867264
28,35.05168200000001,36.34168,33.531486,32.541219,143,117,42,49,39.1156,8,9,12,33,0.9902669999999998,13.048501085368514,9.797100998678363
29,36.24709200000001,39.74729,33.966797,35.186738999999996,150,120,43,54,39.2734,8,9,13,33,-1.219942,12.892563394868576,9.946530965389083
30,37.33553200000001,40.594885,35.055237,36.034333999999994,157,125,43,55,40.7898,8,9,14,33,-0.979097,12.639308661700774,9.915997708441049
31,38.32498400000001,41.931855,36.044689,37.371303999999995,161,128,45,55,41.8331,9,9,14,36,-1.3266149999999999,12.613080266022624,9.867841530052265
32,39.44600400000001,42.69346,37.165709,38.132909,163,130,47,55,43.497,10,9,14,39,-0.9672,12.8779245360362,9.790677501003062
33,40.45147400000001,45.503060000000005,38.171179,40.942509,165,144,47,57,43.856,10,9,15,39,-2.77133,13.534456167329253,9.700973478642407
34,42.09250400000001,47.52488,39.812209,42.204229,169,147,47,60,44.9307,10,9,16,39,-2.3920199999999996,13.442995514929368,9.909517093538337
35,42.442847000000015,48.392231,40.162552000000005,43.07158,175,150,47,61,45.6908,10,9,17,39,-2.9090279999999993,13.456483734752759,9.999637345213554
36,43.678477000000015,50.472781000000005,41.398182000000006,45.15213,180,155,48,64,46.4652,10,9,18,39,-3.7539479999999994,13.343639579759442,9.898062803730616
37,44.19918600000001,52.025671,41.918891,46.70502,187,161,48,66,47.0302,10,9,19,39,-4.786128999999999,13.299070117134193,10.280862320591506
