,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.378703,2.32475,0.378703,2.32475,6,7,0,3,0.1906,l,2016-08-14 17:00:00,0,0,1,0,-1.9460469999999999,6.595238095238095,7.36
1,a,0.968592,0.457521,0.208497,0.457521,4,6,0,2,1.9784000000000002,l,2016-08-20 22:00:00,0,0,1,0,-0.24902400000000002,9.931034482758621,18.125
2,h,1.42221,1.59434,0.662115,1.59434,7,8,0,2,1.2161,l,2016-08-27 22:00:00,0,0,1,0,-0.9322250000000001,6.535714285714286,20.4375
3,a,0.737229,1.09603,0.737229,1.09603,2,7,2,0,0.9687,w,2016-09-10 22:00:00,1,0,0,3,-0.35880100000000004,16.64,5.75
4,h,0.329901,1.52308,0.329901,1.52308,2,7,1,1,0.3977,d,2016-09-17 22:00:00,0,1,0,1,-1.193179,9.344827586206897,10.470588235294118
5,a,0.0748124,0.319514,0.0748124,0.319514,1,4,0,0,0.8456,d,2016-09-21 21:00:00,0,1,0,1,-0.24470160000000002,9.357142857142858,4.46875
6,h,1.33737,0.831812,1.33737,0.831812,4,1,0,1,1.7647000000000002,l,2016-09-25 19:00:00,0,0,1,0,0.505558,9.065217391304348,10.047619047619047
7,a,0.256363,1.8156,0.256363,1.05551,2,3,0,1,0.1852,l,2016-10-01 22:00:00,0,0,1,0,-0.7991469999999999,13.523809523809524,4.642857142857143
8,h,0.203584,0.603299,0.203584,0.603299,2,4,1,2,0.7683,l,2016-10-15 19:00:00,0,0,1,0,-0.39971500000000004,10.304347826086957,9.842105263157896
9,a,1.05802,1.27082,1.05802,1.27082,4,4,1,1,1.145,d,2016-10-22 22:00:00,0,1,0,1,-0.2128000000000001,9.4,6.153846153846154
10,h,1.86121,1.13534,1.86121,1.13534,2,7,2,0,2.0122999999999998,w,2016-10-29 22:00:00,1,0,0,3,0.72587,10.73076923076923,8.222222222222221
11,a,0.327456,4.50655,0.327456,2.98636,6,8,0,6,0.0074,l,2016-11-05 20:00:00,0,0,1,0,-2.6589039999999997,9.0,10.736842105263158
12,h,1.12749,1.17526,1.12749,0.41517,5,2,1,0,1.2629,w,2016-11-19 23:00:00,1,0,0,3,0.7123200000000001,5.730769230769231,5.892857142857143
13,a,0.3552,0.642833,0.3552,0.642833,0,5,0,0,0.9697,d,2016-11-26 23:00:00,0,1,0,1,-0.28763299999999997,10.357142857142858,16.46153846153846
14,h,0.936859,0.325539,0.936859,0.325539,5,3,4,0,1.8761000000000003,w,2016-11-30 22:00:00,1,0,0,3,0.61132,4.945945945945946,8.95
15,a,0.701109,0.977434,0.701109,0.977434,3,12,0,3,1.1038000000000001,l,2016-12-04 20:00:00,0,0,1,0,-0.27632500000000004,13.090909090909092,7.0
16,h,1.69532,0.33593,1.69532,0.33593,2,0,2,0,2.5915,w,2016-12-10 23:00:00,1,0,0,3,1.3593899999999999,10.791666666666666,12.368421052631579
17,a,0.407775,0.552439,0.407775,0.552439,4,2,1,1,1.0906,d,2016-12-17 23:00:00,0,1,0,1,-0.14466400000000001,7.806451612903226,8.772727272727273
18,a,0.16258,1.38219,0.16258,1.38219,0,9,0,0,0.3582,d,2016-12-21 23:50:00,0,1,0,1,-1.21961,7.275862068965517,4.3
19,h,2.04745,0.829962,2.04745,0.829962,2,3,1,0,2.2873,w,2017-01-14 23:00:00,1,0,0,3,1.217488,7.0,12.142857142857142
20,h,1.02531,1.11632,1.02531,1.11632,7,5,0,2,1.2682,l,2017-01-28 22:00:00,0,0,1,0,-0.09101000000000004,7.424242424242424,15.625
21,a,0.423067,0.90967,0.423067,0.90967,4,5,2,0,0.841,w,2017-02-05 16:00:00,1,0,0,3,-0.48660299999999995,11.777777777777779,4.833333333333333
22,a,0.320627,3.17148,0.320627,2.41139,3,7,0,4,0.0571,l,2017-02-08 21:00:00,0,0,1,0,-2.090763,20.941176470588236,5.0
23,h,0.919617,1.68431,0.919617,1.68431,2,4,0,3,0.7327,l,2017-02-11 19:00:00,0,0,1,0,-0.764693,12.285714285714286,11.043478260869565
24,a,0.695219,1.28764,0.695219,1.28764,6,5,0,1,0.8416000000000001,l,2017-02-18 19:00:00,0,0,1,0,-0.5924209999999999,21.333333333333332,22.0
25,a,0.672166,1.92684,0.672166,1.92684,3,6,0,1,0.4591,l,2017-02-21 17:30:00,0,0,1,0,-1.254674,7.461538461538462,9.483870967741936
26,h,0.625172,1.24905,0.625172,1.24905,5,1,0,0,0.7626999999999999,d,2017-02-25 19:00:00,0,1,0,1,-0.623878,8.38888888888889,7.7
27,a,0.583319,3.26565,0.583319,2.50556,0,10,0,1,0.12719999999999998,l,2017-03-04 16:00:00,0,0,1,0,-1.922241,13.76,4.454545454545454
28,h,0.982705,1.28734,0.982705,0.52725,5,3,1,2,1.0153,l,2017-03-11 19:00:00,0,0,1,0,0.45545500000000005,10.625,8.466666666666667
29,h,1.86956,1.57221,1.10947,1.57221,3,8,2,3,1.5695999999999999,l,2017-03-18 19:00:00,0,0,1,0,-0.46274000000000015,8.305555555555555,16.083333333333332
30,a,0.0776049,2.84931,0.0776049,2.84931,1,6,0,1,0.0418,l,2017-03-31 18:00:00,0,0,1,0,-2.7717051,26.153846153846153,3.4444444444444446
31,h,1.25012,0.701898,1.25012,0.701898,4,4,3,0,1.8307000000000002,w,2017-04-08 19:00:00,1,0,0,3,0.5482219999999999,14.043478260869565,5.074074074074074
32,a,1.42075,2.57126,1.42075,1.81116,4,7,1,3,0.5991,l,2017-04-15 16:00:00,0,0,1,0,-0.39041000000000015,16.576923076923077,10.647058823529411
33,h,0.754671,0.710922,0.754671,0.710922,1,6,0,0,1.3709,d,2017-04-21 19:45:00,0,1,0,1,0.04374899999999993,14.357142857142858,5.285714285714286
34,a,0.682625,1.65516,0.682625,1.65516,4,9,1,2,0.5588,l,2017-04-29 19:00:00,0,0,1,0,-0.9725349999999999,6.666666666666667,8.375
35,h,0.500579,3.36313,0.500579,3.36313,1,11,0,3,0.037200000000000004,l,2017-05-06 19:00:00,0,0,1,0,-2.862551,11.26086956521739,14.052631578947368
36,a,1.40415,0.87338,1.40415,0.87338,3,7,0,2,1.8581,l,2017-05-14 20:00:00,0,0,1,0,0.53077,6.766666666666667,8.863636363636363
37,h,1.98055,0.552326,1.98055,0.552326,2,2,3,1,2.4557,w,2017-05-20 20:00:00,1,0,0,3,1.4282240000000002,16.47826086956522,13.857142857142858
