,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.378703,2.32475,0.378703,2.32475,6,7,0,3,0.1906,0,0,1,0,-1.9460469999999999,6.595238095238095,7.36
1,1.347295,2.7822709999999997,0.5871999999999999,2.7822709999999997,10,13,0,5,2.169,0,0,2,0,-2.195071,8.263136288998357,12.7425
2,2.7695049999999997,4.376611,1.249315,4.376611,17,21,0,7,3.3851,0,0,3,0,-3.1272960000000003,7.687328954570333,15.3075
3,3.506734,5.472640999999999,1.9865439999999999,5.472640999999999,19,28,2,7,4.3538,1,0,3,3,-3.4860970000000004,9.92549671592775,12.918125
4,3.836635,6.995721,2.316445,6.995721,21,35,3,8,4.7515,1,1,3,4,-4.679276000000001,9.809362889983579,12.428617647058823
5,3.9114473999999997,7.3152349999999995,2.3912573999999998,7.3152349999999995,22,39,3,8,5.5971,1,2,3,5,-4.923977600000001,9.733992884510124,11.101973039215686
6,5.2488174,8.147046999999999,3.7286273999999997,8.147046999999999,26,40,3,9,7.361800000000001,1,2,4,5,-4.418419600000001,9.638453528337871,10.951351040416167
7,5.5051804,9.962646999999999,3.9849903999999996,9.202556999999999,28,43,3,10,7.547000000000001,1,2,5,5,-5.2175666000000005,10.124123027771827,10.162789303221288
8,5.708764400000001,10.565945999999999,4.188574399999999,9.805855999999999,30,47,4,12,8.3153,1,2,6,5,-5.6172816,10.144148005362396,10.127157743214244
9,6.766784400000001,11.836765999999999,5.246594399999999,11.076675999999999,34,51,5,13,9.4603,1,3,6,6,-5.8300816,10.069733204826157,9.729826584277436
10,8.6279944,12.972105999999998,7.107804399999999,12.212015999999998,36,58,7,13,11.4726,2,3,6,9,-5.104211599999999,10.1298273890028,9.592771642272417
11,8.9554504,17.478655999999997,7.435260399999999,15.198375999999998,42,66,7,19,11.48,2,3,7,9,-7.763115599999999,10.0356751065859,9.688110847521644
12,10.0829404,18.653916,8.562750399999999,15.613545999999998,47,68,8,19,12.7429,3,3,7,12,-7.050795599999999,9.704528500753849,9.396168254855144
13,10.4381404,19.296749,8.917950399999999,16.256379,47,73,8,19,13.7126,3,4,7,13,-7.3384285999999985,9.751143811924491,9.900837555332524
14,11.3749994,19.622287999999998,9.854809399999999,16.581917999999998,52,76,12,19,15.588700000000001,4,4,7,16,-6.727108599999998,9.430797287525921,9.837448384977021
15,12.0761084,20.599721999999996,10.5559184,17.559351999999997,55,88,12,22,16.692500000000003,4,4,8,16,-7.003433599999998,9.659554275237369,9.660107860915957
16,13.771428400000001,20.935651999999997,12.2512384,17.895281999999998,57,88,14,22,19.284000000000002,5,4,8,19,-5.644043599999998,9.726149121792034,9.819420401605113
17,14.179203400000002,21.488090999999997,12.6590134,18.447720999999998,61,90,15,23,20.3746,5,5,8,20,-5.788707599999998,9.6194992601871,9.76127078333412
18,14.341783400000002,22.870281,12.8215934,19.829911,61,99,15,23,20.7328,5,6,8,21,-7.008317599999998,9.496149934333332,9.473835478948116
19,16.389233400000002,23.700242999999997,14.869043399999999,20.659872999999997,63,102,16,23,23.0201,6,6,8,24,-5.790829599999999,9.371342437616665,9.607286562143567
20,17.414543400000003,24.816562999999995,15.894353399999998,21.776193,70,107,16,25,24.2883,6,6,9,24,-5.881839599999998,9.27862338936075,9.893844344898636
21,17.837610400000003,25.726232999999993,16.3174204,22.685862999999998,74,112,18,25,25.1293,7,6,9,27,-6.368442599999998,9.392221316106978,9.663821117100213
22,18.158237400000004,28.897712999999992,16.638047399999998,25.097253,77,119,18,29,25.1864,7,6,10,27,-8.459205599999997,9.894349801084424,9.461046285921942
23,19.077854400000003,30.582022999999992,17.557664399999997,26.781563,79,123,18,32,25.9191,7,6,11,27,-9.223898599999997,9.993989987944001,9.52698095154476
24,19.773073400000005,31.869662999999992,18.252883399999998,28.069202999999998,85,128,18,33,26.7607,7,6,12,27,-9.816319599999996,10.447563721759575,10.02590171348297
25,20.445239400000006,33.796502999999994,18.9250494,29.996042999999997,88,134,18,34,27.2198,7,6,13,27,-11.070993599999996,10.332716596366454,10.005054377108316
26,21.070411400000005,35.04555299999999,19.550221399999998,31.245092999999997,93,135,18,34,27.982499999999998,7,7,13,28,-11.694871599999995,10.26072297757099,9.91968199277097
27,21.653730400000004,38.31120299999999,20.133540399999998,33.750653,93,145,18,35,28.109699999999997,7,7,14,28,-13.617112599999995,10.385697156943454,9.7244985449772
28,22.636435400000003,39.59854299999999,21.116245399999997,34.277903,98,148,19,37,29.124999999999996,7,7,15,28,-13.161657599999995,10.393948979117818,9.681125031932009
29,24.505995400000003,41.17075299999999,22.2257154,35.850113,101,156,21,40,30.694599999999998,7,7,16,28,-13.624397599999995,10.324335864999076,9.894531975312052
30,24.583600300000004,44.02006299999999,22.3033203,38.699423,102,162,21,41,30.736399999999996,7,7,17,28,-16.396102699999993,10.834965229155433,9.686464635606646
31,25.833720300000003,44.72196099999999,23.5534403,39.401321,106,166,24,41,32.567099999999996,8,7,17,31,-15.847880699999994,10.935231261396499,9.542327430558753
32,27.2544703,47.293220999999996,24.974190299999997,41.212481000000004,110,173,25,44,33.166199999999996,8,7,18,31,-16.238290699999993,11.10619161944276,9.575804139436652
33,28.0091413,48.004143,25.728861299999995,41.92340300000001,111,179,25,44,34.537099999999995,8,8,18,32,-16.194541699999995,11.201807832316291,9.449625026091876
34,28.6917663,49.659303,26.411486299999996,43.57856300000001,115,188,26,46,35.09589999999999,8,8,19,32,-17.167076699999996,11.072232370440588,9.418921453917822
35,29.1923453,53.022433,26.912065299999995,46.94169300000001,116,199,26,49,35.13309999999999,8,8,20,32,-20.029627699999995,11.07747229251772,9.54763562405753
36,30.5964953,53.895813,28.316215299999996,47.815073000000005,119,206,26,51,36.99119999999999,8,8,21,32,-19.498857699999995,10.960964032359584,9.529149157559662
37,32.5770453,54.448139,30.296765299999997,48.367399000000006,121,208,29,52,39.44689999999999,9,8,21,35,-18.070633699999995,11.106156054391311,9.643043728601324
