,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.31924,1.46179,0.31924,1.46179,2,4,0,1,0.3702,0,0,1,0,-1.14255,11.714285714285714,10.956521739130435
1,1.0745500000000001,2.60948,1.0745500000000001,2.60948,3,6,0,2,1.3093,0,0,2,0,-1.5349300000000001,9.93121693121693,8.938260869565218
2,2.90398,3.121159,2.90398,3.121159,6,12,2,2,3.8181,1,0,2,3,-0.21717900000000023,9.640419130615209,8.362349351639969
3,4.62036,3.9560370000000002,4.62036,3.9560370000000002,12,14,3,2,5.8481000000000005,2,0,2,6,0.6643229999999998,9.950902583255523,9.295571537539502
4,6.29542,4.470817,5.535321,4.470817,13,17,5,3,8.2367,3,0,2,9,1.064504,9.384964490846844,9.419065925683775
5,6.573105,4.935482,5.813006,4.935482,15,23,5,4,9.245700000000001,3,0,3,9,0.877524,9.57518970728465,9.791529297044171
6,8.333485,4.961826800000001,6.813286,4.961826800000001,19,26,6,4,12.065100000000001,4,0,3,12,1.8514592,9.26941726462908,9.773691778418813
7,9.741405,5.660618800000001,8.221206,5.660618800000001,23,30,7,4,14.0356,5,0,3,15,2.5605872,9.10060497141531,9.293051734687891
8,11.055995,7.689878800000001,9.535796000000001,7.689878800000001,27,33,7,6,14.881400000000001,5,0,4,15,1.8459172000000001,9.018719570550982,8.804934875278127
9,11.438013999999999,9.715898800000002,9.917815000000001,8.9558088,30,35,7,8,15.109700000000002,5,0,5,15,0.9620062000000001,8.623097613495883,8.483264917162078
10,12.023653999999999,10.851358800000002,10.503455,10.0912688,33,38,8,8,15.917100000000001,6,0,5,18,0.4121862000000003,8.451067760520733,8.8711499246928
11,13.043933999999998,14.885808800000001,11.523735,14.1257188,36,46,8,13,16.0259,6,0,6,18,-2.6019837999999993,8.60097878047734,8.508699025171298
12,15.207113999999999,16.4386888,12.926825000000001,15.6785988,42,48,9,14,17.8606,6,1,6,19,-2.7517737999999996,9.11392124115068,8.434952946311967
13,16.246544,17.6589788,13.966255,16.898888799999998,46,53,10,14,19.031000000000002,7,1,6,22,-2.9326337999999996,9.502609406465313,8.271231817493765
14,18.480564,17.8821518,16.200275,17.122061799999997,51,58,10,14,21.783500000000004,7,2,6,23,-0.9217867999999996,9.46910211270096,8.12781636299418
15,19.467409,19.862841799999998,17.18712,19.102751799999997,56,62,11,16,22.443600000000004,7,2,7,23,-1.9156317999999997,9.281888493815044,8.006401914381119
16,20.517758999999998,21.5922718,18.237470000000002,20.072081799999996,61,66,11,18,23.258200000000002,7,2,8,23,-1.8346117999999998,9.153261999781106,7.8202668172503405
17,21.337978,21.8259838,19.057689000000003,20.305793799999996,64,66,11,18,25.193,7,3,8,24,-1.2481047999999997,9.055241271398206,7.709336961390027
18,22.356658,24.277883799999998,19.316273000000002,22.7576938,65,88,12,21,25.6657,7,3,9,24,-3.4414208,9.416544362377246,7.653696800950734
19,23.837418,25.478383799999996,20.797033000000003,23.958193799999997,69,91,12,22,27.282600000000002,7,3,10,24,-3.1611607999999998,9.629808053349294,7.890242730133967
20,24.78668,26.029285799999997,20.986200000000004,24.509095799999997,69,97,14,22,29.128000000000004,8,3,10,27,-3.5228957999999997,9.455517049365849,8.003843651030708
21,24.938803,28.323065799999995,21.138323000000003,26.042775799999998,70,100,14,24,29.207400000000003,8,3,11,27,-4.9044528,9.476370170498571,7.8920986916863365
22,26.321613,28.799172799999994,22.521133000000003,26.518882799999997,73,103,15,26,31.450700000000005,8,3,12,27,-3.9977497999999994,9.653122192071097,7.93038689086203
23,28.211163,29.495905799999996,23.650583,27.215615799999995,79,111,18,28,33.77140000000001,9,3,12,30,-3.565032799999999,9.651271086242046,8.062075315863991
24,29.170403999999998,29.780596799999994,24.609824,27.500306799999994,83,115,18,28,35.769800000000004,9,4,12,31,-2.890482799999999,9.775220242792365,8.10380282954522
25,32.507044,31.166536799999996,26.426274,28.886246799999995,87,120,20,30,38.340700000000005,9,5,12,32,-2.459972799999999,9.852546936750901,8.620520472195848
26,33.117754,32.7011268,27.036984,29.660737799999996,90,129,20,32,38.908500000000004,9,5,13,32,-2.6237537999999994,9.673772643746831,8.543666178612837
27,34.200364,33.567977799999994,28.119594,30.527588799999997,93,133,22,32,40.479200000000006,10,5,13,35,-2.407994799999999,9.984295801207,8.427688682815818
28,34.446198,35.235287799999995,28.365427999999998,32.1948988,94,140,22,33,40.80120000000001,10,5,14,35,-3.8294707999999993,10.119201177859791,8.407193670764698
29,35.015439,36.97390779999999,28.934669,33.933518799999995,99,145,22,36,41.26550000000001,10,5,15,35,-4.9988497999999995,9.999843189879849,8.618620548405875
30,36.208089,39.156267799999995,30.127319,36.1158788,103,151,23,39,41.91680000000001,10,5,16,35,-5.988559799999999,9.926613723423394,8.676323350309149
31,37.674539,40.80800779999999,31.593769,37.767618799999994,109,158,23,42,43.133100000000006,10,5,17,35,-6.173849799999999,9.752344544566414,8.729841023389767
32,37.933820000000004,41.29741979999999,31.853050000000003,38.257030799999995,110,159,23,42,44.07520000000001,10,6,17,36,-6.403980799999999,9.613384608872483,8.86530038631735
33,38.405652,42.18948679999999,32.324882,39.14909779999999,111,170,24,43,44.99650000000001,10,7,17,37,-6.824215799999999,9.591548818668453,8.975471289987754
34,38.976584,43.35619679999999,32.895814,40.315807799999995,113,174,25,46,45.75710000000001,10,7,18,37,-7.419993799999999,9.491994362624865,9.069886395988103
35,40.028444,44.57286679999999,33.947674,41.532477799999995,115,176,26,48,46.944500000000005,10,7,19,37,-7.5848037999999995,9.561661185885285,9.063976853242401
36,40.731847,46.8070968,34.651077,43.0066078,118,186,27,52,47.31190000000001,10,7,20,37,-8.3555308,9.83567034302352,9.145018019370985
37,41.174308,47.825896799999995,35.093538,44.025407799999996,121,195,27,52,48.043400000000005,10,8,20,38,-8.931869800000001,10.12137132589942,9.071026317106835
