,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.594982,2.41348,0.594982,2.41348,3,6,0,3,0.28600000000000003,l,2017-08-06 20:00:00,0,0,1,0,-1.818498,10.678571428571429,16.785714285714285
1,h,1.15256,1.82196,1.15256,1.82196,1,5,1,4,0.8667,l,2017-08-13 16:00:00,0,0,1,0,-0.6694,11.291666666666666,8.08
2,a,1.21134,1.33398,0.451245,1.33398,5,2,2,2,1.2589000000000001,d,2017-08-19 19:00:00,0,1,0,1,-0.8827349999999999,5.054054054054054,20.058823529411764
3,h,1.25732,1.55187,1.25732,1.55187,3,1,2,1,1.0564,w,2017-08-26 19:00:00,1,0,0,3,-0.2945500000000001,9.962962962962964,13.095238095238095
4,a,0.51478,1.67506,0.51478,0.914961,3,1,1,2,0.40349999999999997,l,2017-09-09 19:00:00,0,0,1,0,-0.400181,9.91304347826087,7.121212121212121
5,h,1.84763,1.73247,1.84763,0.972578,13,6,0,1,1.4129,l,2017-09-16 19:00:00,0,0,1,0,0.875052,6.78125,11.666666666666666
6,a,1.68516,3.5055,0.925069,2.7454,3,6,3,3,0.35509999999999997,d,2017-09-23 19:00:00,0,1,0,1,-1.820331,10.4,9.68421052631579
7,h,1.55525,0.668952,1.55525,0.668952,6,3,1,1,2.1290999999999998,d,2017-09-30 19:00:00,0,1,0,1,0.886298,6.620689655172414,6.102564102564102
8,h,0.704259,2.55828,0.704259,2.55828,4,14,1,2,0.31479999999999997,l,2017-10-14 16:00:00,0,0,1,0,-1.854021,17.38095238095238,7.2631578947368425
9,a,0.694652,0.722398,0.694652,0.722398,7,7,2,1,1.3127,w,2017-10-21 19:00:00,1,0,0,3,-0.027745999999999937,6.833333333333333,7.1875
10,h,0.325792,1.00906,0.325792,1.00906,2,4,1,0,0.6235,w,2017-10-28 19:00:00,1,0,0,3,-0.683268,10.6,6.333333333333333
11,a,0.572627,1.30297,0.572627,0.542875,3,4,0,1,0.646,l,2017-11-05 14:00:00,0,0,1,0,0.029752,13.130434782608695,13.4
12,h,1.4635,1.29033,1.4635,1.29033,5,4,3,1,1.4804,w,2017-11-18 19:00:00,1,0,0,3,0.17317000000000005,10.952380952380953,15.32
13,h,1.06076,1.68147,1.06076,0.892773,1,4,3,1,0.8035,w,2017-11-25 19:00:00,1,0,0,3,0.1679869999999999,11.0,8.125
14,a,0.88355,0.875002,0.88355,0.875002,10,3,1,2,1.2989,l,2017-11-28 18:00:00,0,0,1,0,0.008548,7.714285714285714,18.88888888888889
15,h,1.75285,1.13557,1.75285,1.13557,10,6,3,2,1.8699,w,2017-12-01 19:45:00,1,0,0,3,0.61728,7.75,8.3125
16,a,0.271135,2.07693,0.271135,2.07693,3,10,0,4,0.1934,l,2017-12-09 19:00:00,0,0,1,0,-1.8057949999999998,53.142857142857146,9.736842105263158
