,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.45737,0.557371,0.697272,0.557371,5,2,3,1,2.1863,1,0,0,3,0.13990100000000005,15.619047619047619,12.047619047619047
1,1.5183177,3.068581,0.7582197,3.068581,6,19,3,4,2.2458,1,0,1,3,-2.3103613000000003,23.54285714285714,9.00207039337474
2,1.9740947000000002,4.483031,1.2139967,4.483031,11,28,3,6,2.7664,1,0,2,3,-3.2690343000000004,24.820238095238096,9.406142167011732
3,3.8357447000000002,5.049079000000001,3.0756467,5.049079000000001,13,31,5,6,5.2036,2,0,2,6,-1.9734323000000003,21.271428571428572,9.4171066252588
4,4.6701467,5.811451000000001,3.9100487,5.811451000000001,19,33,6,8,6.5892,2,0,3,6,-1.9014023000000004,18.759078341013826,8.968467908902692
5,6.1627267,6.187920000000001,5.4026287,6.187920000000001,27,37,7,8,8.8905,3,0,3,9,-0.7852913000000004,17.35299539170507,8.622532781228434
6,7.3385167000000004,9.41,5.8183207,8.567450000000001,35,47,8,11,9.1198,3,0,4,9,-2.7491293000000003,17.191456367493235,9.310385241052943
7,8.290801700000001,9.979784,6.7706057,9.137234000000001,37,55,9,12,10.845699999999999,3,1,4,10,-2.3666283000000004,16.247524321556583,9.111864863699104
8,12.123231700000002,10.716576,10.6030357,9.874026,44,58,11,12,13.7311,4,1,4,13,0.7290096999999998,15.194769093908882,8.86663120159497
9,12.986128700000002,11.464595,11.4659327,10.622045,47,59,12,14,15.2098,4,1,5,13,0.8438876999999998,14.60445885118466,9.302695354162745
10,13.606655700000001,11.81874,12.086459699999999,10.97619,49,64,13,15,16.7579,4,2,5,14,1.1102697,13.735278797519651,9.525177594693405
11,13.9062967,14.76862,12.386100699999998,13.165980000000001,50,72,13,21,16.8326,4,2,6,14,-0.7798792999999999,13.849444160884241,9.476204461802288
12,14.7609977,15.077087,13.240801699999999,13.474447000000001,53,77,14,22,18.7404,4,3,6,15,-0.23364529999999983,13.602284120536503,9.239573349355958
13,15.0272117,16.952577,13.507015699999998,15.349937,53,84,14,23,19.0012,4,3,7,15,-1.8429213,14.36481938176802,9.101248846046982
14,15.4477677,17.578477000000003,13.927571699999998,15.975837,57,86,14,23,20.0169,4,4,7,16,-2.0482653,13.756053645205707,9.094498922977182
15,16.1918147,18.588237000000003,14.671618699999998,16.985597,62,89,15,23,21.0705,5,4,7,19,-2.3139783,13.547341959047017,9.781774558472927
16,18.2687447,18.859372000000004,16.748548699999997,17.256732,72,92,19,23,23.7566,6,4,7,22,-0.5081833000000002,13.323194908824437,12.33242647520141
17,18.5024567,19.679591000000006,16.982260699999998,18.076951,72,95,19,23,24.4314,6,5,7,23,-1.0946903000000003,12.906546825654452,12.057785498184048
18,20.3008767,20.023629000000007,18.780680699999998,18.420989000000002,78,96,21,24,26.9295,7,5,7,26,0.3596916999999995,12.40817594009369,12.727676487001428
19,21.3807067,20.622666000000006,19.8605107,19.020026,88,105,23,24,28.7569,8,5,7,29,0.8404846999999995,12.231767143089005,12.454336140912227
20,21.8628797,22.730316000000006,20.3426837,21.127676,90,121,23,26,29.081400000000002,8,5,8,29,-0.7849923000000005,12.158825850560957,12.213039028211337
21,22.0384407,24.694816000000007,20.518244699999997,22.332076,92,127,24,29,29.212000000000003,8,5,9,29,-1.8138313000000004,12.384939827050612,12.072446345110821
22,22.2719867,26.364286000000007,20.751790699999997,23.241448000000002,93,134,24,32,29.441900000000004,8,5,10,29,-2.4896573,12.393048033327913,11.858116379795446
23,22.9103807,28.284216000000008,21.3901847,25.161378000000003,98,137,25,32,29.875300000000003,9,5,10,32,-3.7711933,12.314171031939251,11.69140914968492
24,23.1950717,29.243457000000006,21.674875699999998,26.120619,102,141,25,32,30.524900000000002,9,6,10,33,-4.4457433,12.18581471697747,11.733752783697524
25,24.2151517,30.692967000000007,21.9348577,27.570129,106,148,26,33,31.5008,9,7,10,34,-5.6352713,12.477310531030373,11.708736650991208
26,25.9488817,31.654896000000008,23.6685877,27.771963000000003,118,152,28,35,33.4834,9,8,10,35,-4.103375300000001,12.191484215066284,11.676314305892767
27,26.751432700000002,34.231516000000006,24.4711387,30.348583000000005,121,159,28,38,33.8063,9,8,11,35,-5.8774443000000005,11.920576229030369,11.827755461634693
28,28.250732700000004,36.48351600000001,25.2103447,32.60058300000001,128,163,30,43,34.6304,9,8,12,35,-7.3902383,11.775638817834418,12.05783285950936
29,28.626273700000002,37.70206600000001,25.5858857,33.81913300000001,132,170,30,45,35.1983,9,8,13,35,-8.2332473,11.78081867333189,11.912695220982503
30,29.5176747,40.32944600000001,26.477286699999997,35.68641300000001,135,173,32,46,35.490500000000004,10,8,13,38,-9.209126300000001,11.616136641149431,11.78905989127339
31,32.2445747,40.59635500000001,29.204186699999998,35.95332200000001,136,177,36,46,38.352500000000006,11,8,13,41,-6.749135300000001,11.662854593335734,11.73451046532327
