,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.943684,0.593773,0.943684,0.593773,6,4,1,0,1.7094,w,2017-08-05 19:00:00,1,0,0,3,0.34991099999999997,14.392857142857142,9.433333333333334
1,a,1.14769,0.75531,1.14769,0.75531,2,1,1,0,1.7464,w,2017-08-12 19:00:00,1,0,0,3,0.39238000000000006,6.92,8.148148148148149
2,h,3.17624,1.06947,1.65605,1.06947,3,6,3,0,2.6540000000000004,w,2017-08-19 19:00:00,1,0,0,3,0.5865800000000001,9.74074074074074,11.26086956521739
3,a,0.621197,2.36555,0.621197,1.60546,1,7,0,3,0.22870000000000001,l,2017-08-25 19:45:00,0,0,1,0,-0.9842630000000001,16.428571428571427,5.8108108108108105
4,h,0.68122,2.04494,0.68122,1.28484,4,8,1,1,0.3902,d,2017-09-10 14:00:00,0,1,0,1,-0.6036199999999999,18.333333333333332,10.533333333333333
5,a,1.73247,1.84763,0.972578,1.84763,6,13,1,0,1.325,w,2017-09-16 19:00:00,1,0,0,3,-0.875052,11.666666666666666,6.78125
6,h,2.00978,1.41106,1.24968,0.650966,7,1,2,2,1.8963999999999999,d,2017-09-24 14:00:00,0,1,0,1,0.5987139999999999,10.882352941176471,9.44
7,a,1.28401,0.806682,1.28401,0.806682,8,4,1,2,1.7796999999999998,l,2017-10-01 14:00:00,0,0,1,0,0.4773280000000001,4.12,31.0
8,h,2.33843,0.33881,1.57833,0.33881,17,1,3,1,2.7989,w,2017-10-14 19:00:00,1,0,0,3,1.23952,5.611111111111111,14.863636363636363
9,h,1.27005,1.52158,1.27005,1.52158,7,3,0,1,1.133,l,2017-10-20 19:45:00,0,0,1,0,-0.25153000000000003,7.0,12.705882352941176
10,a,0.962164,0.663289,0.962164,0.663289,4,4,0,0,1.6687,d,2017-10-29 16:00:00,0,1,0,1,0.298875,5.413793103448276,5.857142857142857
11,h,0.842106,2.43783,0.842106,2.43783,2,5,0,5,0.3615,l,2017-11-05 20:00:00,0,0,1,0,-1.595724,10.13888888888889,5.25
12,a,1.3189,0.780945,0.558805,0.780945,5,3,1,3,1.9146,l,2017-11-17 18:00:00,0,0,1,0,-0.22214,9.90625,5.954545454545454
13,h,1.27542,1.64076,1.27542,0.880668,2,3,2,2,1.0155999999999998,d,2017-11-24 19:45:00,0,1,0,1,0.394752,9.045454545454545,13.04
14,a,0.337006,1.54515,0.337006,1.54515,5,4,0,3,0.40090000000000003,l,2017-11-28 20:00:00,0,0,1,0,-1.208144,7.586206896551724,9.857142857142858
15,h,0.784896,1.47025,0.784896,1.47025,4,9,1,1,0.8116,d,2017-12-03 14:00:00,0,1,0,1,-0.685354,8.409090909090908,12.470588235294118
16,a,0.220737,3.25344,0.220737,3.25344,2,6,0,3,0.0423,l,2017-12-10 20:00:00,0,0,1,0,-3.0327029999999997,21.05,4.580645161290323
17,h,0.291562,2.60474,0.291562,2.60474,5,11,0,4,0.07819999999999999,l,2017-12-15 19:45:00,0,0,1,0,-2.313178,12.833333333333334,6.285714285714286
18,a,0.344038,1.79842,0.344038,1.79842,1,6,1,2,0.31679999999999997,l,2017-12-20 19:50:00,0,0,1,0,-1.4543819999999998,24.785714285714285,3.4375
19,h,2.84118,1.02467,2.08108,1.02467,5,4,2,0,2.5749,w,2018-01-14 14:00:00,1,0,0,3,1.05641,4.714285714285714,5.25
20,a,0.680514,2.19074,0.680514,1.43065,3,5,0,3,0.3506,l,2018-01-17 18:00:00,0,0,1,0,-0.750136,9.11111111111111,12.0
21,a,0.314602,0.279353,0.314602,0.279353,2,1,0,1,1.2431,l,2018-01-21 14:00:00,0,0,1,0,0.035248999999999975,10.675,12.772727272727273
22,h,0.476107,1.38281,0.476107,1.38281,3,3,2,1,0.5144,w,2018-01-27 19:00:00,1,0,0,3,-0.906703,8.772727272727273,13.541666666666666
23,a,2.70354,0.250359,2.70354,0.250359,12,4,2,0,2.8476,w,2018-02-03 19:00:00,1,0,0,3,2.453181,4.282051282051282,20.2
24,h,1.96048,1.0382,1.96048,1.0382,5,5,2,2,2.1013,d,2018-02-09 19:45:00,0,1,0,1,0.92228,8.71875,8.18421052631579
25,a,0.662397,1.2482,0.662397,1.2482,2,3,1,0,0.8348,w,2018-02-17 19:00:00,1,0,0,3,-0.585803,6.391304347826087,16.38095238095238
26,a,1.28794,0.671649,1.28794,0.671649,7,1,1,1,1.9781,d,2018-02-25 16:00:00,0,1,0,1,0.616291,5.549019607843137,16.705882352941178
27,h,1.95886,1.77916,1.19876,1.77916,6,8,2,2,1.5124,d,2018-03-03 19:00:00,0,1,0,1,-0.5804,10.352941176470589,27.2
28,a,1.55752,1.33403,1.55752,1.33403,4,4,1,1,1.5691000000000002,d,2018-03-10 19:00:00,0,1,0,1,0.22348999999999997,15.8,11.23076923076923
29,h,1.21855,0.375541,1.21855,0.375541,7,4,2,0,2.1579,w,2018-03-18 16:00:00,1,0,0,3,0.843009,7.703703703703703,11.931034482758621
30,a,1.6647,1.77632,1.6647,1.77632,13,9,3,0,1.2897,w,2018-04-01 16:00:00,1,0,0,3,-0.11161999999999983,13.761904761904763,9.933333333333334
31,h,2.9457,1.19571,2.1856,1.19571,9,4,1,1,2.5555000000000003,d,2018-04-06 18:45:00,0,1,0,1,0.9898899999999999,26.181818181818183,12.45
32,a,0.240852,1.49267,0.240852,1.49267,3,2,1,0,0.3049,w,2018-04-14 18:00:00,1,0,0,3,-1.2518179999999999,16.928571428571427,17.80952380952381
33,h,2.87828,0.993049,2.87828,0.993049,3,4,2,1,2.6137,w,2018-04-22 00:00:00,1,0,0,3,1.885231,8.5,12.96
34,a,1.48327,1.32446,1.48327,0.564363,5,8,1,0,1.4977999999999998,w,2018-04-27 00:00:00,1,0,0,3,0.9189070000000001,15.352941176470589,10.318181818181818
35,h,2.29932,3.12861,0.779198,3.12861,5,3,1,3,0.7894,l,2018-05-06 14:00:00,0,0,1,0,-2.349412,11.05,19.0
36,a,0.563497,2.3079,0.563497,1.5478,3,5,0,1,0.2581,l,2018-05-12 20:00:00,0,0,1,0,-0.984303,13.0,7.742857142857143
37,h,1.71595,0.520927,1.71595,0.520927,10,5,5,0,2.3188,w,2018-05-19 19:00:00,1,0,0,3,1.195023,18.266666666666666,17.40909090909091
