,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.62438,1.21376,2.62438,1.21376,10,3,3,4,2.2859,0,0,1,0,1.41062,5.689655172413793,11.130434782608695
1,2.9741239999999998,1.604302,2.9741239999999998,1.604302,14,5,3,5,3.4574,0,0,2,0,1.369822,18.394827586206898,10.959954233409611
2,4.480024,3.636532,3.7199269999999998,3.636532,20,16,4,8,4.4311,0,0,3,0,0.08339499999999989,20.87432950191571,10.061538116390722
3,5.242929,5.148442,4.482832,4.289135,22,20,5,8,5.0595,1,0,3,3,0.1936969999999999,20.889080459770117,9.56004247618193
4,6.790419,6.443942,6.030322,5.5846350000000005,28,25,8,9,6.628299999999999,2,0,3,6,0.44568699999999983,19.250394802598702,9.001880134791698
5,7.403988,6.863373,6.643891,6.004066000000001,30,30,8,9,8.1185,2,1,3,7,0.6398249999999999,19.404740766871466,8.605733445659748
6,7.757152,7.511483,6.997055,6.652176000000001,30,33,9,9,9.0369,3,1,3,10,0.3448789999999999,19.464567716141932,8.222057239136927
7,8.124087,9.009153,7.363989999999999,8.149846,40,38,9,10,9.4475,3,1,4,10,-0.7858560000000001,17.789830084957522,10.225550084244812
8,10.283317,10.313893,8.76313,9.454586,45,46,11,12,11.4378,3,2,4,11,-0.6914560000000001,16.972904519962242,11.730403493687696
9,11.909847000000001,11.347613,10.389660000000001,10.488306000000001,54,54,12,13,13.288699999999999,3,3,4,12,-0.09864600000000001,16.175614067966016,11.16069647765226
10,12.922937000000001,13.078593000000001,11.402750000000001,12.219286000000002,56,65,13,15,14.063099999999999,3,3,5,12,-0.8165359999999999,16.74816589910786,10.70807117803098
11,14.575347,15.152603000000001,13.05516,14.293296000000002,61,76,16,19,15.124899999999998,3,3,6,12,-1.238136,16.883187161901507,10.412954135417289
12,15.740557,15.421116000000001,14.22037,14.561809000000002,62,77,17,19,17.354499999999998,4,3,6,15,-0.3414389999999998,17.2858379232032,10.22203723905893
13,16.758907,17.053276,15.23872,16.193969000000003,65,84,18,20,18.2657,4,4,6,16,-0.9552489999999998,17.793992357260116,10.087129817221387
14,18.601737,17.860232,17.08155,17.000925000000002,67,86,19,21,20.4847,4,5,6,17,0.08062500000000017,17.87439286677611,10.356683481580541
15,18.856727,20.182622,17.33654,19.323315,68,88,19,21,20.6029,4,6,6,18,-1.986775,18.251561494420784,10.258001875092868
16,21.064487,21.792721999999998,19.5443,20.933415,73,93,20,22,22.444300000000002,4,7,6,19,-1.389115,18.175139109594912,10.062789643581166
17,21.289769,23.470072,19.769582,22.610765,74,99,20,22,22.7401,4,8,6,20,-2.841183,18.683927677580378,10.005967996715546
18,23.594829,23.869117999999997,21.314542,23.009811,79,99,21,24,25.4827,4,8,7,20,-1.695269,18.192465896978984,9.98811003197613
19,23.7929,25.016957999999995,21.512612999999998,24.157650999999998,81,104,22,24,25.894000000000002,5,8,7,23,-2.645038,18.168953713241144,10.050609292282086
20,25.37321,26.780517999999994,22.332825999999997,25.921211,87,107,23,27,27.143,5,8,8,23,-3.588385,17.97603434874507,10.216119125481685
21,26.71274,28.242687999999994,22.912264999999998,26.623289,91,116,23,27,28.3564,5,9,8,24,-3.711024,17.91146713087282,10.187356134929487
22,28.08466,28.602186999999994,24.284184999999997,26.982788,95,123,24,27,30.6141,6,9,8,27,-2.6986030000000003,17.841403342574,10.25529717254125
23,28.834056999999998,29.723846999999992,25.033581999999996,28.104447999999998,101,129,26,28,31.6233,7,9,8,30,-3.0708660000000005,17.71507502869691,10.01046438805318
24,31.101906999999997,30.208470999999992,26.541331999999997,28.589071999999998,106,133,29,28,34.2829,8,9,8,33,-2.0477400000000006,18.468972027549032,9.896712479197719
25,31.433510999999996,30.82841399999999,26.872935999999996,29.209014999999997,109,141,29,29,35.2245,8,9,9,33,-2.3360790000000007,18.135000575940005,10.103981779448358
26,32.632160999999996,32.31512399999999,28.071585999999996,29.935633999999997,111,146,31,31,36.2881,8,10,9,34,-1.8640480000000008,18.289722776831113,10.046426898728047
27,33.72590099999999,33.44634399999999,29.165325999999997,31.066853999999996,122,153,33,33,37.5713,8,11,9,35,-1.9015280000000008,17.89842315384905,10.084947366630617
28,35.14208099999999,33.96002599999999,29.821413999999997,31.580535999999995,130,153,33,33,39.8084,8,12,9,36,-1.7591220000000007,17.57120480058153,9.974738453605042
29,37.32712099999999,34.92996699999999,30.486259999999998,32.550476999999994,137,154,35,35,42.1585,8,13,9,37,-2.0642170000000006,17.432933871331375,10.09714913260252
30,39.30073099999999,37.05576699999999,32.459869999999995,33.916186999999994,147,158,38,38,43.3754,8,14,9,38,-1.4563170000000005,17.33638761741746,10.166595934776632
31,40.50515099999999,37.57103899999999,33.664289999999994,34.431459,151,160,39,38,45.3529,9,14,9,41,-0.7671690000000004,17.14283979008745,10.253889811814862
32,40.953146999999994,40.46087899999999,34.112286,37.321298999999996,153,169,40,40,45.4655,9,14,10,41,-3.2090130000000006,17.299668336393342,10.27072720568483
33,41.644676999999994,40.745563999999995,34.803816,37.605984,162,171,41,41,47.1918,9,15,10,42,-2.8021680000000004,17.159632842336524,10.37688228787057
34,42.381187999999995,41.18740199999999,35.540327,38.047822,168,175,42,41,48.856700000000004,10,15,10,45,-2.5074950000000005,17.087091608417552,10.25333226761562
35,44.407517999999996,42.398011999999994,36.662366999999996,39.258432,172,183,43,43,50.9228,10,15,11,45,-2.5960650000000003,16.954770436288307,10.197149961036553
36,45.818718,45.10498199999999,38.073567,41.205312,178,193,43,48,51.4754,10,15,12,45,-3.1317450000000004,16.739776640712947,10.256686448576106
37,47.496038,46.30528199999999,39.750887,42.405612,189,204,44,49,53.2052,10,16,12,46,-2.6547250000000004,16.96153690455383,10.155006730004555
