,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.189346,3.34692,0.189346,3.34692,0,8,0,3,0.012,l,2018-08-12 22:00:00,0,0,1,0,-3.157574,45.45454545454545,10.444444444444445
1,h,1.20052,0.568951,0.440488,0.568951,0,5,1,1,2.0296,d,2018-08-18 21:00:00,0,1,0,1,-0.128463,11.176470588235293,8.571428571428571
2,a,0.635046,1.89955,0.635046,1.13945,0,6,1,1,0.3759,d,2018-08-25 21:00:00,0,1,0,1,-0.5044040000000001,11.6,5.25
3,a,1.24948,0.904946,1.24948,0.904946,3,9,2,0,1.7074,w,2018-09-01 18:00:00,1,0,0,3,0.3445339999999999,12.8,8.5
4,h,1.82361,1.00941,1.06352,1.00941,3,4,2,2,2.0847,d,2018-09-15 15:00:00,0,1,0,1,0.0541100000000001,13.291666666666666,5.588235294117647
5,a,0.307587,3.12231,0.307587,2.36222,3,10,1,2,0.0343,l,2018-09-22 18:00:00,0,0,1,0,-2.0546330000000004,6.612903225806452,8.523809523809524
6,h,0.8109,2.0286,0.8109,2.0286,5,6,2,2,0.4052,d,2018-09-26 17:00:00,0,1,0,1,-1.2177,17.076923076923077,11.037037037037036
7,h,1.44696,0.247116,0.686865,0.247116,3,1,1,0,2.5292999999999997,w,2018-09-29 18:00:00,1,0,0,3,0.43974899999999995,7.730769230769231,17.615384615384617
8,a,0.536643,1.4975,0.536643,1.4975,2,7,0,2,0.5509000000000001,l,2018-10-07 15:00:00,0,0,1,0,-0.9608570000000001,11.928571428571429,7.2592592592592595
9,h,0.663293,0.420901,0.663293,0.420901,5,6,0,0,1.5877,d,2018-10-20 18:00:00,0,1,0,1,0.242392,6.633333333333334,27.285714285714285
10,a,0.248162,0.613536,0.248162,0.613536,3,4,0,1,0.8579,l,2018-10-27 18:00:00,0,0,1,0,-0.365374,9.8,7.518518518518518
11,h,1.3999,2.61648,1.3999,2.61648,5,7,1,2,0.5565,l,2018-11-03 19:00:00,0,0,1,0,-1.2165800000000002,9.631578947368421,11.391304347826088
12,a,0.302412,1.50911,0.302412,1.50911,2,6,0,0,0.3794,d,2018-11-11 14:00:00,0,1,0,1,-1.2066979999999998,10.807692307692308,8.666666666666666
13,h,0.789079,0.845589,0.789079,0.845589,2,5,0,1,1.2546,l,2018-11-24 19:00:00,0,0,1,0,-0.05651000000000006,11.866666666666667,7.966666666666667
14,a,0.806956,1.84283,0.806956,1.84283,2,2,1,1,0.5546,d,2018-12-01 19:00:00,0,1,0,1,-1.035874,14.130434782608695,19.0
15,h,0.783167,2.56928,0.783167,2.56928,4,14,1,2,0.3235,l,2018-12-05 18:00:00,0,0,1,0,-1.786113,10.7,8.16
16,a,0.272896,1.20496,0.272896,1.20496,1,4,2,2,0.5083,d,2018-12-09 14:00:00,0,1,0,1,-0.932064,13.37037037037037,12.166666666666666
17,h,1.44798,1.38531,0.687955,0.62528,1,1,2,1,1.3727,w,2018-12-18 00:00:00,1,0,0,3,0.06267500000000004,10.272727272727273,5.3428571428571425
