,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.88164,0.447458,1.88164,0.447458,17,5,3,1,2.464,1,0,0,3,1.4341819999999998,11.375,10.807692307692308
1,2.462045,2.067688,2.462045,1.3075890000000001,22,8,3,1,2.9604,1,1,0,4,1.1544559999999997,10.301136363636363,11.237179487179487
2,4.167755,2.631443,4.167755,1.8713440000000001,28,12,6,1,5.2796,2,1,0,7,2.296411,12.659090909090908,11.591452991452991
3,5.679665,3.394348,4.820358,2.634249,32,14,6,2,7.3255,2,1,1,7,2.186109,11.508207070707071,13.926923076923078
4,8.499655,4.843018,6.120158,3.322827,39,18,9,4,9.6869,3,1,1,10,2.7973310000000002,11.038565656565657,14.070950226244344
5,9.202816,6.075218,6.823319,4.555027,45,24,11,5,10.5344,4,1,1,13,2.268292,10.71604609311506,12.614680744092508
6,11.213656,6.966341,8.834159,5.44615,48,26,11,6,12.8204,4,1,2,13,3.3880090000000003,9.687112867457696,12.312583494936435
7,14.159246,7.390672,10.259559,5.870481,54,29,14,6,15.7189,5,1,2,16,4.3890780000000005,10.417400229613719,11.872468891402715
8,14.951759,8.724342,11.052071999999999,6.444053,57,33,17,7,16.493199999999998,6,1,2,19,4.6080190000000005,11.849654904955784,11.568457196398374
9,16.892549,10.242592,12.232892,7.202203,60,37,19,8,18.208499999999997,7,1,2,22,5.030689000000001,11.842467192237985,11.147325762472821
10,17.506085,10.490754,12.846428,7.450365,64,40,20,8,19.865899999999996,8,1,2,25,5.396063000000001,11.449380949172578,11.024841602248019
11,18.432876,12.828644,13.013124,9.788255,64,49,21,10,20.255699999999997,8,1,3,25,3.224869000000001,11.69588315402548,10.456104802060684
12,19.738506,12.965778,14.318754,9.925389,72,49,21,10,22.6196,8,2,3,26,4.393365000000001,11.105971144256369,11.352643748910717
13,20.036147,13.854422,14.616395,10.814032999999998,78,52,21,12,23.3329,8,2,4,26,3.8023620000000014,10.89205257046028,11.43856602081392
14,21.034263,16.397592,15.614511,12.597172999999998,80,65,23,14,23.7483,8,3,4,27,3.0173380000000014,11.580730547244409,10.94799495275966
15,23.052782999999998,17.225062,17.633031,13.424642999999998,84,74,24,14,26.110300000000002,9,3,4,30,4.208388000000001,11.417031041887787,10.583002024968936
16,24.740523,18.411392000000003,18.560674,14.610972999999998,88,76,25,15,27.9446,9,4,4,31,3.949701000000001,11.054264510012034,10.474758208374125
17,25.539738,19.623362000000004,19.359889,15.822942999999999,89,82,28,17,28.9223,10,4,4,34,3.5369460000000013,11.583657222418774,10.096530900501486
18,26.758068,21.293342000000003,20.578218999999997,15.972729,93,86,29,19,29.8446,10,4,5,34,4.605490000000001,11.563464737028312,9.953929104380016
19,29.809048,22.543832000000002,23.629198999999996,17.223219,98,89,32,20,32.4586,11,4,5,37,6.405980000000001,11.432065693725283,10.019390543897858
20,32.234168000000004,22.916795,25.294228999999998,17.596182,106,90,34,21,35.234399999999994,12,4,5,40,7.698047000000002,11.196384404533111,10.123625914823357
21,34.252088,23.523968,26.552248999999996,18.203355,110,94,36,22,37.720699999999994,13,4,5,43,8.348894000000001,11.558669961902817,10.075306830540752
22,36.635538,24.02894,28.935698999999996,18.708326999999997,112,96,40,22,40.386799999999994,14,4,5,46,10.227372,11.759267519781107,10.457902185734634
23,37.974577999999994,24.618985,29.514642999999996,19.298371999999997,118,98,42,22,42.481899999999996,15,4,5,49,10.216271,11.71513137312356,10.38452999870276
24,39.02164799999999,25.273028,30.561712999999997,19.952415,122,102,42,22,44.196299999999994,15,5,5,50,10.609298,11.658526118198617,11.573593243199094
25,40.18230799999999,25.663079,31.722372999999997,20.342465999999998,127,105,43,23,46.25489999999999,15,6,5,51,11.379907000000001,11.924063575190978,11.63422427230682
26,40.93770099999999,25.942598,32.477765999999995,20.621985,132,109,44,23,48.03159999999999,16,6,5,54,11.855781,11.745057853550907,11.55591966962879
27,42.50437099999999,26.252580000000002,34.044436,20.931967,134,114,45,23,50.41389999999999,17,6,5,57,13.112469,11.561305787352662,11.307073799074818
28,44.32894099999999,28.2738,35.869006,22.953187,138,120,45,24,51.64149999999999,17,6,6,57,12.915819,11.39324351882326,11.323010246321575
29,46.95591099999999,30.1489,37.735876,23.308094,145,123,48,26,53.60379999999999,18,6,6,60,14.427782,11.285690957084707,11.271334147201765
30,47.878162999999994,31.40269,38.658128,24.561884,146,128,49,27,54.639599999999994,18,7,6,61,14.096244,11.315524355752602,11.459355626324289
31,49.864642999999994,32.681869999999996,40.644608,25.841064,153,136,54,28,56.552099999999996,19,7,6,64,14.803544,11.527703693319545,11.515313263001655
32,50.943493,33.191174999999994,41.723458,26.350369,160,141,54,28,58.408199999999994,19,8,6,65,15.373089,11.31895172954892,11.42743663731629
33,53.384933,34.10686199999999,44.164898,27.266056,169,142,59,28,60.89469999999999,20,8,6,68,16.898842000000002,11.402996401863225,11.545299754121565
34,55.294773,35.777381999999996,46.074738,28.936576,174,148,61,30,62.461299999999994,20,9,6,69,17.138162,11.662910790381419,11.428620860047763
35,56.273255999999996,36.337419999999995,47.053221,29.496613999999997,179,152,62,30,64.1835,21,9,6,72,17.556607,11.973861681124792,11.325568891713102
36,58.980225999999995,37.748619999999995,49.000101,30.907814,189,158,67,30,66.4401,22,9,6,75,18.092287,11.985378932986283,11.26271567842356
37,60.00665599999999,39.84752999999999,50.026531,32.246634,196,162,68,33,67.0171,22,9,7,75,17.779897,11.975529779779041,11.29012705073049
