,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,3.46292,0.234157,2.70283,0.234157,4,3,4,0,2.9458,1,0,0,3,2.468673,6.387096774193548,10.67741935483871
1,4.430307,1.8655169999999999,3.670217,1.8655169999999999,6,5,5,3,3.7684,1,0,1,3,1.8047,5.520471464019851,10.415632754342433
2,5.462727,3.541457,4.702637,2.781361,7,7,7,5,4.4367,1,1,1,4,1.9212759999999998,6.206630098820251,11.668392850721043
3,7.283467,5.4002669999999995,6.523377,4.6401710000000005,9,9,10,7,5.747,2,1,1,7,1.8832059999999997,6.9731543922970065,10.673169638040783
4,9.388327,5.546806999999999,8.628237,4.786711,15,9,14,7,8.534099999999999,3,1,1,10,3.841526,6.899735635049727,13.36520237709929
5,10.188238,7.7234169999999995,9.428148,6.203221,21,12,16,11,8.959799999999998,3,1,2,10,3.224927,8.43399022219056,13.707113092027187
6,11.467228,8.534277,9.947106,7.014081,25,16,19,13,10.728799999999998,4,1,2,13,2.933025,8.758235005263867,14.217208047134417
7,11.891559,11.479866999999999,10.371437,8.439481,28,22,19,16,10.791999999999998,4,1,3,13,1.9319560000000002,8.762413962939217,14.38123351183085
8,13.389059000000001,12.016509999999998,11.868937,8.976124,35,24,21,16,12.996499999999997,5,1,3,16,2.8928130000000003,8.595396773641445,14.108715502579804
9,13.866327000000002,12.681228999999998,12.346205000000001,9.640843,40,28,22,16,14.087899999999998,6,1,3,19,2.7053620000000005,9.741412651832857,14.008370268111296
10,14.347111000000002,14.151718999999998,12.826989000000001,11.111333,43,37,22,18,14.566399999999998,6,1,4,19,1.7156560000000005,10.40128422893896,13.357471593599799
11,15.662121000000003,15.352778999999998,14.141999000000002,12.312393,45,43,22,21,16.0491,6,1,5,19,1.8296060000000005,10.386783270466774,13.219348960799815
12,18.552731,15.657433999999999,17.032609,12.617048,49,44,24,21,18.9742,7,1,5,22,4.415561,10.370408637621503,12.99734775868701
13,20.400381000000003,16.651585999999998,18.120229000000002,13.6112,61,48,27,22,21.0176,8,1,5,25,4.509029,10.275498496839015,13.009441966399843
14,21.082844,17.162025,18.802692,14.121639,72,51,27,22,22.4813,8,2,5,26,4.681053,9.867884618555122,13.621312501973186
15,22.177474,18.639745,19.13723,15.599359,73,56,29,25,23.4627,8,2,6,26,3.5378710000000004,9.68592443859108,13.267825298186068
16,23.787574,20.847505,20.747329999999998,17.807119,78,61,30,26,24.3651,8,3,6,27,2.9402110000000006,9.524363820991248,13.484563866079885
17,25.351384,21.692633,22.311139999999998,18.652247,84,66,31,27,26.329900000000002,8,4,6,28,3.6588930000000004,9.43967694204729,13.69375476240878
18,26.504934,23.605003,23.464689999999997,19.804517,86,70,32,29,27.070600000000002,8,4,7,28,3.6601730000000003,9.688004194404911,13.61292002422106
19,27.590743999999997,24.00941,24.550499999999996,20.208924,96,71,33,29,29.0713,9,4,7,31,4.341576,9.618821375989015,13.639774023010006
20,28.197916999999997,26.02733,25.157672999999996,21.466943999999998,100,75,34,31,29.4249,9,4,8,31,3.690729,9.592239694304112,13.902959386993658
21,29.235846999999996,26.627868,26.195602999999995,22.067482,104,77,35,33,31.189,9,4,9,31,4.128121,9.473033206821968,14.312673354251523
22,31.365736999999996,26.814339999999998,28.325492999999994,22.253953999999997,109,81,36,33,33.9179,10,4,9,34,6.0715390000000005,9.355572135717908,14.861397701168123
23,32.63495699999999,28.0356,29.594712999999995,23.475213999999998,116,83,38,34,35.2939,11,4,9,37,6.119499,9.162726327032692,14.957085077654538
