,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.34076,1.94817,1.34076,1.06657,11,2,1,2,0.8586,l,2018-08-11 21:00:00,0,0,1,0,0.27418999999999993,9.88,9.884615384615385
1,a,0.308208,1.11001,0.308208,0.349916,3,4,2,1,0.47480000000000006,w,2018-08-18 21:00:00,1,0,0,3,-0.04170800000000002,16.555555555555557,7.708333333333333
2,h,0.417545,0.245117,0.417545,0.245117,2,0,0,0,1.4,d,2018-08-25 21:00:00,0,1,0,1,0.172428,11.71875,9.461538461538462
3,a,0.469098,1.01568,0.469098,1.01568,1,10,1,0,0.8186,w,2018-09-01 18:00:00,1,0,0,3,-0.5465819999999999,23.2,11.5
4,h,0.344069,0.756661,0.344069,0.756661,5,5,1,1,0.8076,d,2018-09-15 18:00:00,0,1,0,1,-0.412592,14.2,8.0
5,h,1.67209,0.311974,1.67209,0.311974,4,1,1,0,2.5448999999999997,w,2018-09-22 18:00:00,1,0,0,3,1.360116,13.724137931034482,9.217391304347826
6,a,2.0286,0.8109,2.0286,0.8109,6,5,2,2,2.3939,d,2018-09-26 17:00:00,0,1,0,1,1.2177,11.037037037037036,17.076923076923077
7,h,2.65101,0.941051,1.89098,0.941051,8,6,3,0,2.5259,w,2018-09-30 15:00:00,1,0,0,3,0.9499290000000001,6.208333333333333,11.222222222222221
8,a,1.08337,0.757802,1.08337,0.757802,5,2,1,1,1.6163999999999998,d,2018-10-06 18:00:00,0,1,0,1,0.32556799999999997,9.291666666666666,16.045454545454547
9,h,1.87946,0.824068,1.11937,0.824068,2,5,2,0,2.2706,w,2018-10-21 13:00:00,1,0,0,3,0.29530199999999995,11.515151515151516,21.8
10,a,1.64491,1.13389,1.64491,1.13389,7,7,3,0,1.7407,w,2018-10-27 18:00:00,1,0,0,3,0.51102,12.142857142857142,10.954545454545455
11,h,1.20106,1.31501,1.20106,1.31501,6,2,3,0,1.2325,w,2018-11-04 20:00:00,1,0,0,3,-0.11395,11.7,10.227272727272727
12,a,0.268513,1.16521,0.268513,1.16521,1,1,0,1,0.4893,l,2018-11-10 19:00:00,0,0,1,0,-0.8966970000000001,7.931034482758621,22.11764705882353
13,h,2.46441,1.48787,2.46441,0.727779,2,2,2,2,2.1292,d,2018-11-25 14:00:00,0,1,0,1,1.736631,11.31578947368421,13.85
14,a,1.38205,0.730635,1.38205,0.730635,2,2,2,1,1.9504,w,2018-12-01 19:00:00,1,0,0,3,0.651415,11.318181818181818,31.25
15,h,0.82747,2.01852,0.82747,2.01852,9,4,0,1,0.4555,l,2018-12-04 20:00:00,0,0,1,0,-1.1910500000000002,5.108108108108108,8.961538461538462
16,h,0.915284,0.406306,0.915284,0.406306,4,1,1,1,1.8778000000000001,d,2018-12-22 19:00:00,0,1,0,1,0.5089779999999999,11.296296296296296,8.52
17,a,0.954317,1.65677,0.954317,1.65677,3,5,0,2,0.8174999999999999,l,2019-01-08 18:00:00,0,0,1,0,-0.7024530000000001,14.789473684210526,4.0
18,a,1.54415,0.676429,1.54415,0.676429,5,7,1,1,2.1512,d,2019-01-13 16:00:00,0,1,0,1,0.867721,6.12,10.74074074074074
19,a,0.339628,0.768295,0.339628,0.768295,3,9,0,0,0.8589,d,2019-01-20 14:00:00,0,1,0,1,-0.42866699999999996,12.91304347826087,10.285714285714286
20,h,1.19659,0.282962,1.19659,0.282962,3,1,2,0,2.208,w,2019-01-27 14:00:00,1,0,0,3,0.9136280000000001,10.413793103448276,11.875
21,a,0.733137,0.489402,0.733137,0.489402,8,5,1,1,1.5651,d,2019-02-03 14:00:00,0,1,0,1,0.24373500000000003,2.772727272727273,6.806451612903226
22,h,1.59524,1.60449,0.835208,1.60449,6,4,2,2,1.3666999999999998,d,2019-02-10 14:00:00,0,1,0,1,-0.769282,10.761904761904763,9.65
23,a,0.654043,1.04707,0.654043,1.04707,4,4,0,0,0.9385999999999999,d,2019-02-17 14:00:00,0,1,0,1,-0.3930269999999999,40.111111111111114,10.3
24,a,1.01559,3.81116,1.01559,3.81116,4,21,1,5,0.1551,l,2019-02-20 20:00:00,0,0,1,0,-2.79557,20.181818181818183,8.423076923076923
25,h,1.48978,1.97606,1.48978,1.21596,8,5,2,4,0.9928,l,2019-02-24 14:00:00,0,0,1,0,0.2738200000000002,7.9,11.689655172413794
26,a,2.07677,1.2022,2.07677,1.2022,5,6,2,1,2.0939,w,2019-03-05 18:00:00,1,0,0,3,0.8745699999999998,12.115384615384615,7.444444444444445
27,h,1.13122,1.09374,1.13122,1.09374,7,11,2,2,1.4074,d,2019-03-10 14:00:00,0,1,0,1,0.03747999999999996,11.125,7.333333333333333
28,a,0.739555,2.62389,0.739555,1.8638,1,10,2,3,0.2851,l,2019-03-17 13:30:00,0,0,1,0,-1.124245,16.458333333333332,7.178571428571429
29,h,2.21619,0.48982,2.21619,0.48982,9,1,2,0,2.6361,w,2019-04-03 18:00:00,1,0,0,3,1.7263700000000002,12.45,18.4375
30,a,0.585107,1.3882,0.585107,1.3882,7,2,0,1,0.6751,l,2019-04-07 16:00:00,0,0,1,0,-0.8030930000000001,12.392857142857142,14.421052631578947
31,h,2.02444,0.214379,2.02444,0.214379,4,1,2,1,2.7498,w,2019-04-14 14:00:00,1,0,0,3,1.8100609999999997,10.0,7.653846153846154
32,a,2.32593,0.296585,2.32593,0.296585,7,0,3,1,2.7495999999999996,w,2019-04-20 19:00:00,1,0,0,3,2.029345,13.333333333333334,10.26086956521739
33,h,2.01173,1.61712,2.01173,1.61712,7,15,3,2,1.6343999999999999,w,2019-04-30 18:00:00,1,0,0,3,0.3946100000000001,11.083333333333334,9.058823529411764
34,h,0.557285,0.184865,0.557285,0.184865,6,3,1,1,1.6547,d,2019-05-05 14:00:00,0,1,0,1,0.37242000000000003,7.833333333333333,6.206896551724138
35,a,1.54022,0.768847,1.54022,0.768847,5,3,1,0,2.0370999999999997,w,2019-05-10 19:45:00,1,0,0,3,0.771373,12.68,9.875
36,h,0.507096,0.730524,0.507096,0.730524,7,1,1,1,1.0177999999999998,d,2019-05-18 19:00:00,0,1,0,1,-0.22342799999999996,3.891891891891892,13.736842105263158
37,a,0.484752,1.35474,0.484752,1.35474,5,5,0,1,0.5147999999999999,l,2019-05-24 19:05:00,0,0,1,0,-0.869988,10.88,6.111111111111111
