,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.22055,2.8413,1.22055,2.8413,11,5,1,3,0.3542,0,0,1,0,-1.62075,5.2272727272727275,10.2
1,1.449181,5.80105,1.449181,5.80105,14,9,1,5,0.39640000000000003,0,0,2,0,-4.351869,4.941222570532915,10.428125
2,3.348731,6.436096,2.5886310000000003,6.436096,20,9,2,6,2.8218999999999994,0,1,2,1,-3.8474649999999997,5.044148380355277,10.81875
3,4.6449110000000005,7.861786,3.8848110000000005,7.861786,24,15,5,8,4.052499999999999,1,1,2,4,-3.9769749999999995,6.193111285266458,10.905729166666665
4,5.4672160000000005,8.288293000000001,4.707116,8.288293000000001,27,17,5,8,5.7448,1,2,2,5,-3.5811769999999994,5.651631885356023,11.028583333333334
5,6.699416,8.991454000000001,5.939316,8.991454000000001,33,23,6,10,7.5973,1,2,3,5,-3.0521379999999994,5.598582126685575,10.707727490421455
6,7.566515,10.499534,6.806414999999999,10.499534,37,31,7,12,8.4406,1,2,4,5,-3.6931189999999994,6.322594203825731,10.191444991789819
7,8.572825,12.660014,7.8127249999999995,11.899984,39,35,8,13,9.0106,1,3,4,6,-4.0872589999999995,6.813519928347515,10.120639367816091
8,9.274142,14.414334,8.514042,12.894214,41,37,8,16,9.529300000000001,1,3,5,6,-4.380172,7.271515921971984,10.200802245076291
9,11.983562,14.954788,11.223462,13.434668,44,38,12,16,12.306700000000001,2,3,5,9,-2.211206,7.640660626071082,10.280722020568662
10,13.661461999999998,15.991698000000001,12.901361999999999,14.471578000000001,46,44,14,17,14.2536,3,3,5,12,-1.5702159999999998,7.8248429933979535,9.910504867183631
11,16.115862,16.152118,14.595661999999999,14.631998000000001,50,45,19,17,17.1921,4,3,5,15,-0.036335999999999924,8.155228884299001,10.126296128251662
12,16.300655,18.033758000000002,14.780455,15.607686000000001,51,55,20,18,17.3049,4,4,5,16,-0.8272309999999999,8.24818330578649,9.775921700803732
13,17.932814999999998,19.052108000000004,16.412615,16.626036000000003,58,58,21,19,19.138,4,5,5,17,-0.21342099999999997,8.254265450611264,10.820498722174893
14,18.31498,21.841438000000004,16.79478,19.415366000000002,59,70,21,22,19.2571,4,5,6,17,-2.620586,8.75477473803083,10.388021029585456
15,19.7927,22.936068000000002,18.2725,19.749904,64,71,24,24,20.9237,5,5,6,20,-1.477404,8.70544614449011,10.173552323932018
16,20.260903,25.334048000000003,18.740703,22.147884,69,89,24,25,21.1185,5,5,7,20,-3.407181,9.098731921156933,10.053368939148292
17,21.917673,26.288365000000002,20.397473,23.102201,74,92,26,25,23.044800000000002,6,5,7,23,-2.704728,8.815469036648215,10.316485869429528
18,23.305053,26.570743000000004,21.784853000000002,23.384579000000002,87,93,26,26,25.3536,6,5,8,23,-1.5997259999999998,8.632660416990829,10.27148863743526
19,23.8562,27.366613000000005,22.336000000000002,24.180449000000003,90,99,26,27,26.4075,6,5,9,23,-1.8444489999999996,8.77997476456234,10.147387889774024
20,25.00404,27.564684000000003,23.48384,24.37852,95,101,26,28,28.7274,6,5,10,23,-0.8946799999999996,8.897028120444858,10.508094286557272
21,26.658079999999998,29.393834000000002,25.13788,26.20767,100,105,27,29,29.9137,6,6,10,24,-1.0697899999999998,9.12419669870215,10.883600490315159
22,28.489349999999998,31.247044000000002,26.209049999999998,28.06088,105,111,29,33,31.2194,6,6,11,24,-1.8518299999999999,8.949714716632974,11.167837539935324
23,29.815019999999997,31.707112000000002,26.774827,28.520948,109,118,30,33,33.4353,7,6,11,27,-1.7461209999999998,9.228770721086994,11.069698475771352
