,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.604143,1.86828,0.604143,1.86828,3,4,1,2,0.4083,l,2019-08-10 19:00:00,0,0,1,0,-1.2641369999999998,22.72222222222222,8.61111111111111
1,h,1.07254,0.293318,1.07254,0.293318,5,4,1,0,2.1915,w,2019-08-17 19:00:00,1,0,0,3,0.7792220000000001,12.944444444444445,13.882352941176471
2,h,0.377125,2.0807,0.377125,2.0807,2,5,1,2,0.2343,l,2019-08-24 19:00:00,0,0,1,0,-1.7035750000000003,15.5,7.294117647058823
3,a,0.27328,1.28893,0.27328,1.28893,6,5,0,2,0.4464,l,2019-08-31 18:00:00,0,0,1,0,-1.01565,17.36842105263158,15.038461538461538
4,h,0.384927,1.79736,0.384927,1.79736,5,4,2,2,0.3348,d,2019-09-13 18:45:00,0,1,0,1,-1.412433,12.0,15.5
5,a,1.64495,1.47876,1.64495,1.47876,4,5,2,1,1.4771,w,2019-09-21 18:00:00,1,0,0,3,0.16618999999999984,10.038461538461538,10.56
6,h,1.33067,0.662691,1.33067,0.662691,2,3,1,3,2.0295,l,2019-09-25 17:00:00,0,0,1,0,0.667979,11.428571428571429,11.4
7,a,1.0426,0.903446,1.0426,0.903446,2,5,1,1,1.4863999999999997,d,2019-09-28 18:00:00,0,1,0,1,0.139154,14.631578947368421,12.277777777777779
8,h,2.90722,0.437853,2.14713,0.437853,1,4,3,1,2.8409,w,2019-10-04 19:45:00,1,0,0,3,1.7092770000000002,13.36,4.1
9,a,0.941379,0.317325,0.941379,0.317325,9,4,1,1,1.916,d,2019-10-19 19:00:00,0,1,0,1,0.6240539999999999,4.5,10.32
10,a,2.00972,0.615946,2.00972,0.615946,6,3,2,2,2.4812000000000003,d,2019-10-27 16:00:00,0,1,0,1,1.393774,10.08695652173913,10.133333333333333
11,h,1.37004,0.734059,0.609949,0.734059,3,8,1,0,2.0084,w,2019-11-02 19:00:00,1,0,0,3,-0.12411000000000005,17.470588235294116,7.580645161290323
12,a,0.473376,3.40531,0.473376,2.64522,5,6,1,3,0.043,l,2019-11-10 14:00:00,0,0,1,0,-2.171844,8.625,12.65
13,h,0.205703,2.67166,0.205703,2.67166,1,7,0,4,0.039099999999999996,l,2019-11-23 19:00:00,0,0,1,0,-2.465957,12.571428571428571,15.826086956521738
14,a,0.989696,1.35194,0.989696,1.35194,2,3,2,4,1.0688,l,2019-11-30 19:00:00,0,0,1,0,-0.3622439999999999,18.6875,11.0
15,a,0.501323,2.64526,0.501323,2.64526,3,13,0,3,0.1793,l,2019-12-07 19:00:00,0,0,1,0,-2.143937,20.05,6.28125
16,h,0.28916,0.640617,0.28916,0.640617,0,1,1,1,0.8755999999999999,d,2019-12-14 19:00:00,0,1,0,1,-0.351457,8.914285714285715,19.0625
17,a,0.350562,4.8635,0.350562,4.8635,3,19,1,4,0.011,l,2019-12-21 19:45:00,0,0,1,0,-4.512938,27.941176470588236,5.771428571428571
18,h,1.02329,0.846418,1.02329,0.846418,4,5,1,2,1.5410000000000001,l,2020-01-11 19:00:00,0,0,1,0,0.17687200000000003,9.782608695652174,8.142857142857142
19,h,0.988779,0.338768,0.103256,0.338768,4,2,1,1,2.235,d,2020-01-15 18:00:00,0,1,0,1,-0.235512,7.224489795918367,6.923076923076923
20,a,1.00169,0.805902,0.241596,0.805902,3,2,1,2,1.5469,l,2020-01-25 19:00:00,0,0,1,0,-0.564306,7.346153846153846,5.8076923076923075
21,h,0.803089,0.673436,0.803089,0.673436,4,1,0,0,1.4919,d,2020-02-01 19:00:00,0,1,0,1,0.12965300000000002,7.16,10.24
22,a,0.244546,0.414472,0.244546,0.414472,1,6,0,0,1.004,d,2020-02-05 18:00:00,0,1,0,1,-0.169926,11.310344827586206,6.4
23,h,0.436377,1.28092,0.436377,1.28092,4,6,1,2,0.5851999999999999,l,2020-02-08 19:00:00,0,0,1,0,-0.844543,9.44,4.25
24,h,1.51396,3.45174,1.51396,3.45174,6,7,4,4,0.35359999999999997,d,2020-02-15 16:30:00,0,1,0,1,-1.93778,13.972222222222221,4.903225806451613
25,a,0.0631697,0.63802,0.0631697,0.63802,2,6,0,0,0.5989,d,2020-02-22 19:00:00,0,1,0,1,-0.5748503,6.545454545454546,5.130434782608695
26,h,0.901404,0.852598,0.901404,0.852598,7,4,0,1,1.3823,l,2020-02-29 19:00:00,0,0,1,0,0.048806000000000016,6.0,20.133333333333333
27,a,1.87515,1.06698,1.11506,1.06698,4,6,2,2,2.0257,d,2020-03-06 19:00:00,0,1,0,1,0.0480799999999999,10.964285714285714,8.464285714285714
