,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.32973,1.42777,1.56964,1.42777,6,9,1,1,2.0648,d,2019-08-10 19:00:00,0,1,0,1,0.14186999999999994,14.24,6.44
1,a,0.501067,2.21564,0.501067,2.21564,2,8,1,1,0.29369999999999996,d,2019-08-18 14:00:00,0,1,0,1,-1.7145730000000001,16.157894736842106,6.257142857142857
2,h,0.528162,0.792044,0.528162,0.792044,3,3,1,0,1.0386000000000002,w,2019-08-24 19:00:00,1,0,0,3,-0.26388199999999995,10.391304347826088,13.12
3,a,0.8598,2.334,0.8598,2.334,4,6,0,3,0.4426,l,2019-08-31 18:00:00,0,0,1,0,-1.4742000000000002,8.941176470588236,15.681818181818182
4,h,0.388148,0.424593,0.388148,0.424593,7,1,0,0,1.2017,d,2019-09-14 18:00:00,0,1,0,1,-0.036445000000000005,15.882352941176471,11.545454545454545
5,a,1.38448,1.56441,1.38448,1.56441,14,4,2,2,1.2516,d,2019-09-21 18:00:00,0,1,0,1,-0.17993000000000015,22.214285714285715,13.235294117647058
6,h,0.507427,1.12904,0.507427,1.12904,5,3,2,2,0.7413000000000001,d,2019-09-25 17:00:00,0,1,0,1,-0.6216130000000001,13.21875,12.68421052631579
7,a,0.395322,3.77849,0.395322,3.01839,1,14,1,4,0.0389,l,2019-09-28 18:00:00,0,0,1,0,-2.623068,15.0,10.777777777777779
8,h,1.09035,0.537656,1.09035,0.537656,3,9,2,0,1.8793000000000002,w,2019-10-05 19:00:00,1,0,0,3,0.5526939999999999,16.142857142857142,5.0
9,a,0.240686,1.49766,0.240686,1.49766,3,8,1,0,0.3684,w,2019-10-19 19:00:00,1,0,0,3,-1.256974,14.0,9.923076923076923
10,h,2.10109,0.950504,2.10109,0.950504,4,4,2,0,2.2554,w,2019-10-26 19:00:00,1,0,0,3,1.150586,13.95,13.68421052631579
11,a,0.734059,1.37004,0.734059,0.609949,8,3,0,1,0.7157,l,2019-11-02 19:00:00,0,0,1,0,0.12411000000000005,7.580645161290323,17.470588235294116
12,h,1.13488,2.54466,1.13488,2.54466,7,11,1,2,0.5019,l,2019-11-09 16:30:00,0,0,1,0,-1.4097799999999998,10.08108108108108,9.384615384615385
13,h,0.565279,1.50416,0.565279,1.50416,7,4,1,1,0.5243,d,2019-11-23 19:00:00,0,1,0,1,-0.938881,6.24,15.590909090909092
14,a,0.692625,4.52731,0.692625,4.52731,1,10,1,2,0.0438,l,2019-11-29 19:00:00,0,0,1,0,-3.834685,15.68421052631579,7.129032258064516
15,h,2.23505,0.775747,1.47502,0.775747,6,8,5,0,2.4818999999999996,w,2019-12-03 18:00:00,1,0,0,3,0.699273,13.352941176470589,12.80952380952381
16,a,0.261931,2.53737,0.261931,1.77734,4,6,0,1,0.0755,l,2019-12-06 18:00:00,0,0,1,0,-1.515409,18.0,12.64
17,h,2.53255,1.13522,1.77265,1.13522,12,0,0,0,2.3594,d,2019-12-14 19:00:00,0,1,0,1,0.6374300000000002,5.35,36.77777777777778
18,a,0.751773,2.2249,0.751773,1.46481,8,5,0,4,0.4044,l,2019-12-21 19:45:00,0,0,1,0,-0.7130369999999999,7.103448275862069,15.65
19,a,1.95386,1.45157,1.95386,1.45157,7,7,5,2,1.7397,w,2020-01-11 19:00:00,1,0,0,3,0.5022899999999999,10.652173913043478,8.515151515151516
20,h,0.805902,1.00169,0.805902,0.241596,2,3,2,1,1.0813000000000001,w,2020-01-25 19:00:00,1,0,0,3,0.564306,5.8076923076923075,7.346153846153846
21,a,1.31151,1.30207,1.31151,1.30207,7,4,0,3,1.3574000000000002,l,2020-02-01 19:00:00,0,0,1,0,0.009439999999999893,4.355555555555555,11.391304347826088
22,h,1.81834,1.09016,1.05825,1.09016,3,4,1,1,1.9851,d,2020-02-05 18:00:00,0,1,0,1,-0.031910000000000105,10.653846153846153,9.214285714285714
23,a,0.39852,0.829419,0.39852,0.829419,4,6,0,0,0.8831,d,2020-02-08 19:00:00,0,1,0,1,-0.43089900000000003,13.666666666666666,8.37037037037037
24,h,1.77507,1.64068,1.77507,0.88058,7,4,3,2,1.4697999999999998,w,2020-02-16 16:00:00,1,0,0,3,0.8944899999999999,13.9,9.392857142857142
25,a,0.626653,1.86279,0.626653,1.86279,4,2,2,2,0.33209999999999995,d,2020-02-21 18:00:00,0,1,0,1,-1.2361369999999998,24.625,15.666666666666666
26,h,0.929266,0.324731,0.929266,0.324731,8,4,0,1,1.8910999999999998,l,2020-02-29 19:00:00,0,0,1,0,0.604535,6.851851851851852,27.066666666666666
27,a,1.19416,1.33174,0.434062,1.33174,2,4,0,1,1.2214,l,2020-03-07 18:00:00,0,0,1,0,-0.897678,13.956521739130435,20.466666666666665
