,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.32973,1.42777,1.56964,1.42777,6,9,1,1,2.0648,0,1,0,1,0.14186999999999994,14.24,6.44
1,2.830797,3.6434100000000003,2.070707,3.6434100000000003,8,17,2,2,2.3585,0,2,0,2,-1.5727030000000002,15.198947368421052,6.348571428571429
2,3.358959,4.435454,2.598869,4.435454,11,20,3,2,3.3971,1,2,0,5,-1.8365850000000001,13.596399694889397,8.605714285714285
3,4.218759,6.769454,3.458669,6.769454,15,26,3,5,3.8397,1,2,1,5,-3.310785,12.432593888814107,10.374740259740259
4,4.6069070000000005,7.194046999999999,3.846817,7.194046999999999,22,27,3,5,5.0414,1,3,1,6,-3.34723,13.122545699286581,10.608883116883117
5,5.9913870000000005,8.758457,5.231297,8.758457,36,31,5,7,6.293,1,4,1,7,-3.5271600000000003,14.637835701786438,11.046618283677105
6,6.498814,9.887497,5.7387239999999995,9.887497,41,34,7,9,7.0343,1,5,1,8,-4.148773,14.435109172959804,11.28056003262549
7,6.8941360000000005,13.665987,6.134046,12.905887,42,48,8,13,7.0732,1,5,2,8,-6.771841,14.505720526339829,11.217712250769527
8,7.984486,14.203643,7.224396,13.443543,45,57,10,13,8.9525,2,5,2,11,-6.219147,14.687624594841752,10.526855334017357
9,8.225172,15.701303,7.465082,14.941203,48,65,11,13,9.3209,3,5,2,14,-7.476121000000001,14.618862135357578,10.466477492923314
10,10.326262,16.651806999999998,9.566172,15.891707,52,69,13,13,11.5763,4,5,2,17,-6.325535,14.558056486688706,10.758998677777175
11,11.060321,18.021846999999998,10.300231,16.501656,60,72,13,14,12.292,4,5,3,17,-6.201425,13.976605542905508,11.318297807570254
12,12.195201,20.566506999999998,11.435111000000001,19.046316,67,83,14,16,12.7939,4,5,4,17,-7.611205,13.676949815072861,11.169553005804495
13,12.760480000000001,22.070666999999997,12.000390000000001,20.550476,74,87,15,17,13.318200000000001,4,6,4,18,-8.550086,13.145739113996228,11.485364154740537
14,13.453105,26.597976999999997,12.693015,25.077786,75,97,16,19,13.362,4,6,5,18,-12.384771,13.314970541484199,11.194942028295468
15,15.688155000000002,27.373723999999996,14.168035000000001,25.853533,81,105,21,19,15.8439,5,6,5,21,-11.685498,13.317343706170847,11.295853389622241
16,15.950086000000002,29.911093999999995,14.429966000000002,27.630872999999998,85,111,21,20,15.9194,5,6,6,21,-13.200907,13.59279407639609,11.374920837291521
17,18.482636000000003,31.046313999999995,16.202616000000003,28.766092999999998,97,111,21,20,18.2788,5,7,6,22,-12.563477,13.134861072151864,12.786190667318534
18,19.234409000000003,33.27121399999999,16.954389000000003,30.230902999999998,105,116,21,24,18.6832,5,7,7,22,-13.276514,12.817418293399768,12.93691747430177
19,21.188269000000002,34.72278399999999,18.908249,31.682472999999998,112,123,26,26,20.4229,6,7,7,25,-12.774224,12.709156074381955,12.715829176344258
20,21.994171,35.72447399999999,19.714151,31.924069,114,126,28,27,21.504199999999997,7,7,7,28,-12.209918,12.380514942634829,12.460130351097096
21,23.305681,37.02654399999999,21.025661,33.226138999999996,121,130,28,30,22.861599999999996,7,7,8,28,-12.200478,12.015744061403952,12.411547350948412
22,25.124021,38.116703999999984,22.083911,34.316298999999994,124,134,29,31,24.846699999999995,7,8,8,29,-12.232388,11.956531108901439,12.27253597544134
23,25.522541,38.946122999999986,22.482431000000002,35.145717999999995,128,140,29,31,25.729799999999994,7,9,8,30,-12.663287,12.027786757141657,12.109945741896716
24,27.297611,40.58680299999999,24.257501,36.026298,135,144,32,33,27.199599999999993,8,9,8,33,-11.768797000000001,12.102675286855991,12.001262197935134
25,27.924264,42.449592999999986,24.884154000000002,37.889087999999994,139,146,34,35,27.531699999999994,8,10,8,34,-13.004934,12.584303160438452,12.142239292886348
26,28.85353,42.774323999999986,25.81342,38.213818999999994,147,150,34,36,29.422799999999995,8,10,9,34,-12.400399,12.371990149009319,12.69499586228562
27,30.04769,44.10606399999999,26.247482,39.545559,149,154,34,37,30.644199999999994,8,10,10,34,-13.298077,12.428580562942216,12.972555533870656
