,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.563183,0.833034,0.563183,0.833034,2,2,0,3,1.0423,l,2019-08-09 19:45:00,0,0,1,0,-0.26985100000000006,17.96153846153846,8.642857142857142
1,a,0.759639,3.11223,0.759639,2.35213,5,3,0,3,0.16360000000000002,l,2019-08-17 19:00:00,0,0,1,0,-1.5924909999999999,12.565217391304348,9.241379310344827
2,h,2.40125,2.24062,2.40125,2.24062,10,2,2,2,1.4818,d,2019-08-25 14:00:00,0,1,0,1,0.16063000000000027,9.25925925925926,9.304347826086957
3,a,2.87671,1.34345,2.87671,0.583355,5,9,2,2,2.4451,d,2019-09-01 16:00:00,0,1,0,1,2.293355,9.419354838709678,6.423076923076923
4,h,2.47739,1.73874,1.71736,1.73874,3,4,3,4,1.9490999999999998,l,2019-09-15 19:00:00,0,0,1,0,-0.021379999999999955,17.42105263157895,9.24
5,a,0.718079,1.35162,0.718079,1.35162,3,3,0,0,0.8233999999999999,d,2019-09-21 18:00:00,0,1,0,1,-0.633541,15.9375,9.32258064516129
6,h,2.39963,0.610006,2.39963,0.610006,9,2,3,1,2.5819,w,2019-09-24 19:00:00,1,0,0,3,1.789624,10.625,6.321428571428571
7,h,3.77849,0.395322,3.01839,0.395322,14,1,4,1,2.9351,w,2019-09-28 18:00:00,1,0,0,3,2.623068,10.777777777777779,15.0
8,a,1.36346,2.74638,1.36346,2.74638,6,5,1,3,0.4674,l,2019-10-05 19:00:00,0,0,1,0,-1.38292,11.4375,11.0
9,h,1.72675,1.32184,1.72675,1.32184,13,1,3,2,1.6968999999999999,w,2019-10-20 16:00:00,1,0,0,3,0.4049100000000001,10.842105263157896,14.55
10,a,0.904065,1.46548,0.904065,1.46548,4,2,1,0,0.8632,w,2019-10-25 19:45:00,1,0,0,3,-0.5614149999999999,12.166666666666666,10.26086956521739
11,a,1.15385,1.51447,1.15385,1.51447,6,1,0,1,1.0197,l,2019-11-03 20:00:00,0,0,1,0,-0.36061999999999994,13.222222222222221,18.05263157894737
12,h,2.01244,1.22663,2.01244,1.22663,14,8,1,0,1.9248000000000003,w,2019-11-09 19:00:00,1,0,0,3,0.7858099999999997,6.7368421052631575,23.53846153846154
13,a,1.43367,1.4834,1.43367,0.723306,7,3,1,2,1.3085,l,2019-11-24 14:00:00,0,0,1,0,0.710364,9.212121212121213,16.1875
14,a,3.56341,1.59548,2.80332,0.83539,17,4,2,1,2.5594,w,2019-12-04 18:00:00,1,0,0,3,1.96793,12.9,8.54054054054054
15,h,2.64526,0.501323,2.64526,0.501323,13,3,3,0,2.7230000000000003,w,2019-12-07 19:00:00,1,0,0,3,2.143937,6.28125,20.05
16,a,0.383769,0.870077,0.383769,0.870077,2,3,0,0,0.8481,d,2019-12-14 19:00:00,0,1,0,1,-0.48630799999999996,6.870967741935484,21.263157894736842
17,h,3.5594,0.64901,3.5594,0.64901,10,6,5,1,2.9102,w,2019-12-21 19:45:00,1,0,0,3,2.91039,9.72,4.75
18,a,1.91876,2.76333,1.91876,2.00324,9,15,3,3,0.8398000000000001,d,2020-01-12 20:00:00,0,1,0,1,-0.08447999999999989,21.555555555555557,6.84375
19,h,1.13704,3.55816,1.13704,2.79806,6,7,1,4,0.1775,l,2020-01-15 20:00:00,0,0,1,0,-1.66102,13.555555555555555,18.46153846153846
20,h,1.06289,1.14162,1.06289,1.14162,1,3,1,3,1.2776,l,2020-01-25 19:00:00,0,0,1,0,-0.07873000000000019,9.296296296296296,24.0
21,a,0.732842,1.72671,0.732842,1.72671,2,9,1,3,0.635,l,2020-02-01 19:00:00,0,0,1,0,-0.993868,25.285714285714285,5.777777777777778
22,h,0.275273,1.07703,0.275273,1.07703,3,7,1,0,0.5963,w,2020-02-04 18:00:00,1,0,0,3,-0.8017569999999999,13.85,17.11764705882353
23,a,1.28092,0.436377,1.28092,0.436377,6,4,2,1,2.1416,w,2020-02-08 19:00:00,1,0,0,3,0.844543,4.25,9.44
24,h,1.9344,0.982861,1.9344,0.982861,17,2,1,0,2.0902,w,2020-02-14 19:45:00,1,0,0,3,0.9515389999999999,8.485714285714286,20.25
25,a,2.2089,1.58624,2.2089,1.58624,10,1,1,1,1.8696000000000002,d,2020-02-22 19:00:00,0,1,0,1,0.6226599999999998,8.558823529411764,13.56
26,h,1.97379,1.14998,1.21369,1.14998,11,6,1,1,2.0139,d,2020-02-29 19:00:00,0,1,0,1,0.06370999999999993,6.794871794871795,15.947368421052632
27,a,1.30497,1.63512,1.30497,1.63512,3,3,1,2,1.0811,l,2020-03-07 18:00:00,0,0,1,0,-0.33014999999999994,10.161290322580646,13.48
