,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.5183,1.20625,0.5183,1.20625,2,3,1,2,0.7424,l,2019-08-11 14:00:00,0,0,1,0,-0.6879500000000001,12.904761904761905,8.384615384615385
1,h,0.333103,1.34033,0.333103,0.580233,3,2,0,0,0.3975,d,2019-08-17 16:30:00,0,1,0,1,-0.24713000000000002,10.0,12.7
2,a,2.0807,0.377125,2.0807,0.377125,5,2,2,1,2.6271,w,2019-08-24 19:00:00,1,0,0,3,1.7035750000000003,7.294117647058823,15.5
3,h,0.825226,0.767321,0.825226,0.767321,3,6,1,0,1.3698000000000001,w,2019-08-31 18:00:00,1,0,0,3,0.057904999999999984,12.115384615384615,12.714285714285714
4,h,0.250307,0.693027,0.250307,0.693027,2,4,1,0,0.7934,w,2019-09-15 13:00:00,1,0,0,3,-0.44271999999999995,8.607142857142858,15.052631578947368
5,a,0.553506,1.87224,0.553506,1.11215,3,5,1,2,0.3638,l,2019-09-20 18:45:00,0,0,1,0,-0.5586439999999999,13.375,8.619047619047619
6,h,1.42973,1.05701,0.669636,0.296919,5,5,1,0,1.6877,w,2019-09-25 17:00:00,1,0,0,3,0.372717,10.407407407407407,9.95
7,a,0.515732,0.962876,0.515732,0.962876,4,7,1,0,0.9072,w,2019-09-28 11:30:00,1,0,0,3,-0.447144,23.6,9.0
8,h,1.33771,0.269194,1.33771,0.269194,16,2,1,0,2.3366,w,2019-10-05 19:00:00,1,0,0,3,1.068516,12.305555555555555,10.153846153846153
9,a,0.428008,0.766702,0.428008,0.766702,2,5,0,1,0.9308000000000001,l,2019-10-19 19:00:00,0,0,1,0,-0.338694,16.0,12.5
10,h,1.46548,0.904065,1.46548,0.904065,2,4,0,1,1.8361,l,2019-10-25 19:45:00,0,0,1,0,0.5614149999999999,10.26086956521739,12.166666666666666
11,a,0.792992,0.828927,0.792992,0.828927,4,5,0,2,1.2718,l,2019-11-03 14:00:00,0,0,1,0,-0.03593499999999994,9.296296296296296,14.944444444444445
12,h,0.932768,0.853131,0.932768,0.853131,6,1,2,3,1.4184,l,2019-11-10 16:00:00,0,0,1,0,0.07963700000000007,9.391304347826088,13.48
13,a,1.50416,0.565279,1.50416,0.565279,4,7,1,1,2.24,d,2019-11-23 19:00:00,0,1,0,1,0.938881,15.590909090909092,6.24
14,h,2.87667,1.01185,2.11657,0.251757,6,5,2,1,2.6423,w,2019-12-01 14:00:00,1,0,0,3,1.8648129999999998,6.785714285714286,15.227272727272727
15,a,0.471802,2.04225,0.471802,1.28216,4,8,0,2,0.26839999999999997,l,2019-12-04 20:05:00,0,0,1,0,-0.8103579999999999,13.628571428571428,6.966666666666667
16,h,0.982949,0.641251,0.982949,0.641251,4,3,1,0,1.6147,w,2019-12-08 16:00:00,1,0,0,3,0.34169799999999995,11.64,10.652173913043478
17,a,1.31851,0.848701,1.31851,0.848701,2,1,1,0,1.7650000000000001,w,2019-12-14 19:00:00,1,0,0,3,0.46980900000000003,7.814814814814815,6.607142857142857
18,h,0.280352,1.07283,0.280352,1.07283,1,6,1,2,0.5916,l,2019-12-21 19:45:00,0,0,1,0,-0.792478,15.105263157894736,17.75
19,a,1.21513,0.380112,1.21513,0.380112,5,1,2,0,2.1534999999999997,w,2020-01-12 14:00:00,1,0,0,3,0.835018,12.4375,6.903225806451613
20,h,0.201093,0.750449,0.201093,0.750449,0,1,0,1,0.6573,l,2020-01-26 16:00:00,0,0,1,0,-0.5493560000000001,14.88888888888889,8.206896551724139
21,a,0.876406,2.21888,0.876406,1.32365,3,5,2,3,0.3488,l,2020-01-31 18:00:00,0,0,1,0,-0.447244,12.5,6.0625
22,h,2.78308,3.65633,2.78308,3.65633,7,15,1,2,0.9313,l,2020-02-04 20:05:00,0,0,1,0,-0.8732500000000001,37.416666666666664,5.742857142857143
23,a,0.571797,1.33878,0.571797,1.33878,3,4,3,3,0.6974,d,2020-02-08 19:00:00,0,1,0,1,-0.7669830000000001,11.791666666666666,6.171428571428572
24,h,1.12669,0.296838,1.12669,0.296838,4,1,0,0,2.1191,d,2020-02-15 19:00:00,0,1,0,1,0.829852,7.53125,12.545454545454545
25,a,0.72099,0.804027,0.72099,0.804027,1,8,3,1,1.2476,w,2020-02-22 16:30:00,1,0,0,3,-0.08303700000000003,13.928571428571429,6.285714285714286
26,h,0.260158,2.01916,0.260158,2.01916,1,4,0,1,0.2118,l,2020-03-01 13:00:00,0,0,1,0,-1.7590019999999997,8.428571428571429,7.777777777777778
27,a,1.16092,0.717772,1.16092,0.717772,8,2,0,2,1.7369999999999999,l,2020-03-07 18:00:00,0,0,1,0,0.443148,11.518518518518519,16.0
