,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.305387,3.61599,0.305387,2.8559,3,12,0,3,0.0266,l,2019-08-11 20:00:00,0,0,1,0,-2.550513,52.77777777777778,4.0588235294117645
1,h,1.26223,2.00012,0.502131,1.24002,9,4,1,2,0.7054,l,2019-08-17 19:00:00,0,0,1,0,-0.7378889999999999,8.2,15.714285714285714
2,a,2.24062,2.40125,2.24062,2.40125,2,10,2,2,1.2823,d,2019-08-25 14:00:00,0,1,0,1,-0.16063000000000027,9.304347826086957,9.25925925925926
3,h,2.334,0.8598,2.334,0.8598,6,4,3,0,2.3896,w,2019-08-31 18:00:00,1,0,0,3,1.4742000000000002,15.681818181818182,8.941176470588236
4,a,0.342108,0.789744,0.342108,0.789744,4,3,0,0,0.8263,d,2019-09-14 18:00:00,0,1,0,1,-0.447636,11.962962962962964,7.818181818181818
5,h,1.62783,0.844257,1.62783,0.844257,7,7,1,0,1.9608000000000003,w,2019-09-21 18:00:00,1,0,0,3,0.7835730000000001,11.407407407407407,12.266666666666667
6,a,0.719947,0.579923,0.719947,0.579923,6,5,0,1,1.4499,l,2019-09-25 17:00:00,0,0,1,0,0.14002400000000004,7.161290322580645,7.173913043478261
7,h,1.71161,0.856429,1.71161,0.856429,4,3,0,1,2.0194,l,2019-09-29 15:00:00,0,0,1,0,0.8551810000000001,6.619047619047619,14.65
8,a,1.76186,2.57207,1.00176,2.57207,4,7,2,2,0.7771,d,2019-10-06 14:00:00,0,1,0,1,-1.57031,17.294117647058822,5.571428571428571
9,h,0.317325,0.941379,0.317325,0.941379,4,9,1,1,0.7115,d,2019-10-19 19:00:00,0,1,0,1,-0.6240539999999999,10.32,4.5
10,a,0.409188,0.327724,0.409188,0.327724,0,2,0,0,1.3267,d,2019-10-26 19:00:00,0,1,0,1,0.08146399999999998,13.4375,9.333333333333334
11,a,0.728859,3.34398,0.728859,3.34398,2,7,1,4,0.14129999999999998,l,2019-11-09 19:00:00,0,0,1,0,-2.6151210000000003,16.533333333333335,4.653846153846154
12,a,0.569399,1.13196,0.569399,1.13196,4,5,0,1,0.8577999999999999,l,2019-11-23 19:00:00,0,0,1,0,-0.5625610000000001,12.15,15.115384615384615
13,h,0.467733,0.605779,0.467733,0.605779,3,3,1,1,1.1362,d,2019-11-30 19:00:00,0,1,0,1,-0.13804599999999995,8.125,9.708333333333334
14,a,0.192769,2.0996,0.192769,2.0996,3,5,0,6,0.1627,l,2019-12-03 18:00:00,0,0,1,0,-1.9068310000000002,27.80952380952381,6.9523809523809526
15,h,0.455948,2.68047,0.455948,1.92037,0,17,0,4,0.1178,l,2019-12-06 19:45:00,0,0,1,0,-1.464422,18.625,3.1153846153846154
16,h,0.848701,1.31851,0.848701,1.31851,1,2,0,1,0.9391,l,2019-12-14 19:00:00,0,0,1,0,-0.46980900000000003,6.607142857142857,7.814814814814815
17,a,1.14972,1.97361,1.14972,1.97361,3,7,1,3,0.728,l,2019-12-21 19:45:00,0,0,1,0,-0.82389,16.15,10.894736842105264
18,h,1.63031,0.504333,1.63031,0.504333,3,4,2,0,2.3535,w,2020-01-11 19:00:00,1,0,0,3,1.1259769999999998,4.805555555555555,5.52
19,h,0.190223,0.666492,0.190223,0.666492,4,2,0,1,0.7223999999999999,l,2020-01-15 18:00:00,0,0,1,0,-0.47626899999999994,4.138888888888889,8.045454545454545
20,a,0.690494,2.13523,0.690494,1.37514,3,2,1,2,0.3575,l,2020-01-25 19:00:00,0,0,1,0,-0.684646,7.1,10.75
21,h,1.72671,0.732842,1.72671,0.732842,9,2,3,1,2.1284,w,2020-02-01 19:00:00,1,0,0,3,0.993868,5.777777777777778,25.285714285714285
22,h,1.43959,0.500338,1.43959,0.500338,2,8,2,0,2.185,w,2020-02-05 18:00:00,1,0,0,3,0.939252,4.418181818181818,2.388888888888889
23,a,1.71921,0.704132,1.71921,0.704132,4,9,3,1,2.209,w,2020-02-08 19:00:00,1,0,0,3,1.015078,11.290322580645162,11.555555555555555
24,h,0.977294,0.480458,0.977294,0.480458,3,4,1,0,1.7965,w,2020-02-15 19:00:00,1,0,0,3,0.496836,8.043478260869565,8.26086956521739
25,a,0.3864,2.42942,0.3864,2.42942,6,8,1,2,0.18430000000000002,l,2020-02-23 16:00:00,0,0,1,0,-2.04302,15.818181818181818,9.95
26,h,2.4154,1.97133,2.4154,1.97133,3,3,2,3,1.7126000000000001,l,2020-02-28 19:45:00,0,0,1,0,0.44406999999999996,7.433333333333334,7.95
27,a,1.57289,1.40623,1.57289,1.40623,7,5,1,2,1.4799000000000002,l,2020-03-07 18:00:00,0,0,1,0,0.1666599999999998,9.80952380952381,6.285714285714286
