,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.305387,3.61599,0.305387,2.8559,3,12,0,3,0.0266,0,0,1,0,-2.550513,52.77777777777778,4.0588235294117645
1,1.567617,5.61611,0.807518,4.09592,12,16,1,5,0.732,0,0,2,0,-3.288402,30.488888888888887,9.886554621848738
2,3.808237,8.01736,3.048138,6.49717,14,26,3,7,2.0143,0,1,2,1,-3.4490320000000003,23.427375201288243,9.677456167652245
3,6.142237,8.87716,5.382137999999999,7.35697,20,30,6,7,4.4039,1,1,2,4,-1.9748320000000001,21.49098594642073,9.493386243386244
4,6.484344999999999,9.666904,5.724245999999999,8.146714,24,33,6,7,5.2302,1,2,2,5,-2.4224680000000003,19.585381349729175,9.15834535834536
5,8.112174999999999,10.511161000000001,7.352075999999999,8.990971,31,40,7,7,7.191000000000001,2,2,2,8,-1.6388950000000002,18.222385692675548,9.676398909732244
6,8.832121999999998,11.091084000000002,8.072023,9.570894,37,45,7,8,8.6409,2,2,3,8,-1.4988710000000003,16.642229211233417,9.318900928838817
7,10.543731999999999,11.947513000000002,9.783633,10.427323,41,48,7,9,10.6603,2,2,4,8,-0.6436900000000002,15.389331512210193,9.985288312733966
8,12.305591999999999,14.519583000000003,10.785393,12.999393,45,55,9,11,11.4374,2,3,4,9,-2.2140000000000004,15.600974416082263,9.494859452588921
9,12.622917,15.460962000000002,11.102718,13.940771999999999,49,64,10,12,12.148900000000001,2,4,4,10,-2.8380540000000005,15.072876974474037,8.99537350733003
10,13.032105,15.788686000000002,11.511906,14.268495999999999,49,66,10,12,13.475600000000002,2,5,4,11,-2.7565900000000005,14.924206340430942,9.026097127875785
11,13.760964,19.132666,12.240765,17.612476,51,73,11,16,13.616900000000001,2,5,5,11,-5.371711000000001,15.058300256506142,8.661742880039982
12,14.330363,20.264626,12.810164,18.744436,55,78,11,17,14.4747,2,5,6,11,-5.934272000000002,14.834584852159516,9.158176859681877
13,14.798096000000001,20.870404999999998,13.277897000000001,19.350215,58,81,12,18,15.6109,2,6,6,12,-6.072318000000002,14.355328791290978,9.19747375065698
14,14.990865000000001,22.970004999999997,13.470666000000001,21.449814999999997,61,86,12,24,15.7736,2,6,7,12,-7.979149000000002,15.252275125839834,9.047800897438579
15,15.446813,25.650474999999997,13.926614,23.370184999999996,61,103,12,28,15.8914,2,6,8,12,-9.443571000000002,15.463070430474843,8.677024879810206
16,16.295514,26.968984999999996,14.775315,24.688694999999996,62,105,12,29,16.8305,2,6,9,12,-9.913380000000002,14.942133514396492,8.62630664069283
17,17.445234,28.942594999999997,15.925035000000001,26.662304999999996,65,112,13,32,17.558500000000002,2,6,10,12,-10.737270000000002,15.009237208041132,8.752330540771299
18,19.075544,29.446927999999996,17.555345000000003,27.166637999999995,68,116,15,32,19.912000000000003,3,6,10,15,-9.611293000000003,14.47220133159452,8.582207880730705
19,19.265767,30.113419999999998,17.745568000000002,27.833129999999997,72,118,15,33,20.634400000000003,3,6,11,15,-10.087562000000004,13.955535709459241,8.555370213966896
20,19.956261,32.24865,18.436062000000003,29.20827,75,120,16,35,20.991900000000005,3,6,12,15,-10.772208000000004,13.62908162805642,8.659876394254187
21,21.682971000000002,32.981491999999996,20.162772000000004,29.941112,84,122,19,36,23.120300000000004,4,6,12,18,-9.778340000000004,13.272204180316482,9.415596298411463
22,23.122561,33.481829999999995,21.602362000000003,30.44145,86,130,21,36,25.305300000000003,5,6,12,21,-8.839088000000004,12.887246686310629,9.110087280606134
23,24.841771,34.185961999999996,23.321572000000003,31.145582,90,139,24,37,27.514300000000002,6,6,12,24,-7.824010000000004,12.820708181907902,9.211981792062359
24,25.819065000000002,34.666419999999995,24.298866000000004,31.62604,93,143,25,37,29.3108,7,6,12,27,-7.327174000000004,12.629618985066367,9.173937302988561
25,26.205465,37.095839999999995,24.685266000000002,34.05546,99,151,26,39,29.4951,7,6,13,27,-9.370194000000003,12.75225601710927,9.203785868258231
26,28.620865000000002,39.06717,27.100666000000004,36.02679,102,154,28,42,31.207700000000003,7,6,14,27,-8.926124000000003,12.555258880673124,9.157349354619036
27,30.193755000000003,40.4734,28.673556000000005,37.43302,109,159,29,44,32.6876,7,6,15,27,-8.759464000000003,12.457196913846362,9.05479095930101
