,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.17033,2.56158,1.17033,1.80149,2,11,1,0,0.4745,w,2019-08-10 19:00:00,1,0,0,3,-0.6311599999999999,10.227272727272727,8.827586206896552
1,h,1.18588,0.844939,1.18588,0.844939,5,5,2,1,1.6477,w,2019-08-18 20:00:00,1,0,0,3,0.34094100000000005,18.94736842105263,8.214285714285714
2,a,0.496085,1.62131,0.496085,0.861212,2,6,2,0,0.4273,w,2019-08-25 16:00:00,1,0,0,3,-0.365127,8.583333333333334,10.076923076923077
3,h,0.592177,1.68646,0.592177,0.926364,1,1,1,2,0.44699999999999995,l,2019-09-01 14:00:00,0,0,1,0,-0.334187,13.956521739130435,8.782608695652174
4,a,0.424593,0.388148,0.424593,0.388148,1,7,0,0,1.2839,d,2019-09-14 18:00:00,0,1,0,1,0.036445000000000005,11.545454545454545,15.882352941176471
5,h,0.645681,1.10925,0.645681,1.10925,4,6,1,1,0.877,d,2019-09-22 13:00:00,0,1,0,1,-0.4635690000000001,16.25,11.956521739130435
6,a,1.05701,1.42973,0.296919,0.669636,5,5,0,1,0.9557,l,2019-09-25 17:00:00,0,0,1,0,-0.372717,9.95,10.407407407407407
7,a,0.682156,0.674547,0.682156,0.674547,6,6,1,1,1.2926,d,2019-09-29 19:00:00,0,1,0,1,0.007608999999999977,10.148148148148149,7.3428571428571425
8,h,1.01154,1.89057,1.01154,1.89057,5,6,0,1,0.7461,l,2019-10-06 16:00:00,0,0,1,0,-0.87903,4.305555555555555,13.7
9,a,1.32184,1.72675,1.32184,1.72675,1,13,2,3,0.9979,l,2019-10-20 16:00:00,0,0,1,0,-0.4049100000000001,14.55,10.842105263157896
10,h,2.20537,0.98473,2.20537,0.98473,5,3,3,2,2.2836,w,2019-10-27 14:00:00,1,0,0,3,1.22064,5.761904761904762,5.533333333333333
11,h,3.40531,0.473376,2.64522,0.473376,6,5,3,1,2.929,w,2019-11-10 14:00:00,1,0,0,3,2.171844,12.65,8.625
12,a,0.672553,0.614922,0.672553,0.614922,6,4,1,2,1.3692,l,2019-11-23 19:00:00,0,0,1,0,0.05763099999999999,14.434782608695652,8.620689655172415
13,h,1.48946,0.681836,1.48946,0.681836,4,1,2,1,2.0512,w,2019-12-01 16:00:00,1,0,0,3,0.807624,7.32258064516129,9.75
14,a,1.13014,0.732116,1.13014,0.732116,4,7,1,0,1.7456,w,2019-12-04 18:00:00,1,0,0,3,0.39802399999999993,14.047619047619047,10.318181818181818
15,h,1.28615,0.929726,1.28615,0.929726,6,2,2,1,1.6572999999999998,w,2019-12-07 19:00:00,1,0,0,3,0.35642399999999985,14.75,10.777777777777779
16,a,0.939364,0.529236,0.939364,0.529236,4,3,1,0,1.683,w,2019-12-15 16:00:00,1,0,0,3,0.41012799999999994,12.708333333333334,9.222222222222221
17,h,1.07897,0.540713,1.07897,0.540713,7,3,1,0,1.8613,w,2019-12-21 19:45:00,1,0,0,3,0.538257,10.555555555555555,5.621621621621622
18,h,0.494628,0.831327,0.494628,0.831327,1,0,0,1,0.9141,l,2020-01-10 19:45:00,0,0,1,0,-0.336699,6.5,7.290322580645161
19,a,0.666492,0.190223,0.666492,0.190223,2,4,1,0,1.8213,w,2020-01-15 18:00:00,1,0,0,3,0.47626899999999994,8.045454545454545,4.138888888888889
20,a,2.01285,2.04075,2.01285,2.04075,11,4,1,1,1.36,d,2020-01-24 19:00:00,0,1,0,1,-0.027900000000000258,11.518518518518519,7.821428571428571
21,h,2.21888,0.876406,1.32365,0.876406,5,3,3,2,2.4686,w,2020-01-31 18:00:00,1,0,0,3,0.447244,6.0625,12.5
22,a,0.391231,0.948652,0.391231,0.948652,0,2,0,1,0.7698,l,2020-02-04 18:00:00,0,0,1,0,-0.557421,12.941176470588236,13.45
23,h,0.829419,0.39852,0.829419,0.39852,6,4,0,0,1.7261,d,2020-02-08 19:00:00,0,1,0,1,0.43089900000000003,8.37037037037037,13.666666666666666
24,a,0.137662,1.29988,0.137662,0.539786,1,5,0,1,0.2366,l,2020-02-16 16:00:00,0,0,1,0,-0.402124,14.217391304347826,10.038461538461538
25,h,2.42942,0.3864,2.42942,0.3864,8,6,2,1,2.7154,w,2020-02-23 16:00:00,1,0,0,3,2.04302,9.95,15.818181818181818
26,a,1.20906,0.81746,1.20906,0.81746,3,5,2,0,1.6956000000000002,w,2020-02-29 19:00:00,1,0,0,3,0.39160000000000006,7.6521739130434785,19.833333333333332
27,h,3.18379,0.940729,1.6636,0.940729,10,5,5,0,2.7386999999999997,w,2020-03-08 15:00:00,1,0,0,3,0.7228709999999999,13.8,18.944444444444443
