,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,3.03614,0.180464,2.27604,0.180464,5,3,1,2,2.9621,l,2020-08-23 15:00:00,0,0,1,0,2.095576,12.413793103448276,7.266666666666667
1,h,1.71747,0.344198,1.71747,0.344198,5,4,1,0,2.5627999999999997,w,2020-09-10 21:00:00,1,0,0,3,1.373272,15.371428571428572,4.875
2,a,1.98746,0.919743,1.22737,0.159648,8,3,3,2,2.2647,w,2020-09-13 13:00:00,1,0,0,3,1.067722,7.148148148148148,6.909090909090909
3,h,3.02331,0.359182,2.26321,0.359182,6,2,2,1,2.8739999999999997,w,2020-09-19 15:00:00,1,0,0,3,1.9040279999999998,10.0,11.758620689655173
4,a,1.37195,0.370624,1.37195,0.370624,6,5,1,1,2.2236000000000002,d,2020-09-27 13:00:00,0,1,0,1,1.001326,10.590909090909092,12.5
5,h,2.13387,0.0932933,1.37384,0.0932933,8,0,2,0,2.8573,w,2020-10-03 15:00:00,1,0,0,3,1.2805467,3.0980392156862746,22.0
6,a,0.254965,2.90262,0.254965,2.90262,1,4,0,4,0.0744,l,2020-10-18 19:00:00,0,0,1,0,-2.6476550000000003,11.592592592592593,10.952380952380953
7,h,2.04125,1.02999,2.04125,1.02999,5,0,4,4,2.1571000000000002,d,2020-11-08 14:00:00,0,1,0,1,1.0112599999999998,6.655172413793103,20.823529411764707
8,a,1.28012,0.672083,1.28012,0.672083,4,3,1,0,1.9935,w,2020-11-22 14:00:00,1,0,0,3,0.6080369999999999,25.076923076923077,9.566666666666666
9,h,0.875771,2.16695,0.875771,1.40692,6,6,1,1,0.40059999999999996,d,2020-11-25 12:00:00,0,1,0,1,-0.531149,9.535714285714286,8.444444444444445
10,h,1.3761,2.62737,1.3761,2.62737,8,6,1,3,0.5294,l,2020-11-29 14:00:00,0,0,1,0,-1.2512699999999999,10.045454545454545,15.625
11,a,0.927878,0.503822,0.927878,0.503822,3,7,2,0,1.7981000000000003,w,2020-12-05 16:00:00,1,0,0,3,0.424056,16.58823529411765,5.851851851851852
12,h,1.38862,1.61719,0.628522,1.61719,9,1,2,3,1.1409,l,2020-12-12 20:00:00,0,0,1,0,-0.9886679999999999,9.08695652173913,19.0625
13,a,0.963125,0.928491,0.963125,0.928491,1,2,3,0,1.3683,w,2020-12-16 20:00:00,1,0,0,3,0.034634000000000054,5.676470588235294,20.36
14,a,1.14532,1.16038,1.14532,1.16038,9,3,0,2,1.3422,l,2020-12-19 16:00:00,0,0,1,0,-0.015060000000000073,9.368421052631579,11.333333333333334
15,h,2.02607,1.17648,1.26597,0.416387,8,3,2,1,2.0437,w,2020-12-23 18:00:00,1,0,0,3,0.849583,13.181818181818182,9.225806451612904
16,a,0.947234,1.82314,0.947234,1.06305,6,9,2,3,0.6762999999999999,l,2021-01-06 20:00:00,0,0,1,0,-0.11581600000000003,10.826086956521738,21.833333333333332
17,h,0.57533,1.57769,0.57533,1.57769,5,4,0,1,0.5408,l,2021-01-09 20:00:00,0,0,1,0,-1.00236,5.6923076923076925,17.6
18,a,1.35642,1.15976,0.596322,0.399669,6,2,1,1,1.5172,d,2021-01-17 14:00:00,0,1,0,1,0.19665300000000002,6.333333333333333,9.741935483870968
19,a,1.55004,0.118724,1.55004,0.118724,1,1,1,0,2.6590000000000003,w,2021-01-20 22:00:00,1,0,0,3,1.431316,7.735294117647059,11.851851851851851
20,h,1.18896,0.547266,1.18896,0.547266,3,4,0,1,1.9651,l,2021-01-23 16:00:00,0,0,1,0,0.641694,10.0,11.307692307692308
21,a,1.07049,1.03811,1.07049,1.03811,3,4,2,1,1.4015000000000002,w,2021-01-30 16:00:00,1,0,0,3,0.03237999999999985,12.529411764705882,6.821428571428571
22,h,1.53188,1.3201,1.53188,1.3201,7,7,2,2,1.4781,d,2021-02-03 20:00:00,0,1,0,1,0.21177999999999986,5.206896551724138,12.652173913043478
23,h,1.09008,0.549443,1.09008,0.549443,3,4,0,0,1.9491,d,2021-02-06 20:00:00,0,1,0,1,0.5406369999999999,13.428571428571429,12.481481481481481
24,a,3.15679,0.679141,2.39676,0.679141,8,1,1,1,2.8074999999999997,d,2021-02-13 18:00:00,0,1,0,1,1.717619,6.653846153846154,15.15
25,h,1.29752,0.88646,1.29752,0.88646,4,2,2,1,1.7293,w,2021-02-21 14:00:00,1,0,0,3,0.41106,8.666666666666666,13.285714285714286
26,a,1.0798,1.71598,1.0798,0.955884,3,2,2,2,0.8029000000000001,d,2021-02-28 14:00:00,0,1,0,1,0.12391600000000014,4.923076923076923,11.136363636363637
27,a,1.97268,1.73128,1.21258,0.971182,4,7,3,2,1.5586,w,2021-03-03 18:00:00,1,0,0,3,0.241398,19.75,5.448275862068965
